@T,hru_override
@H,ID,soilPolRed,BetaW,soilMaxInfSummer,soilMaxInfWinter,soilMaxInfSnow,soilOutLPS
,2,0.8,1,120,60,50,1
,3,0.8,1,20,5,10,0.2
