@T,climate
name,tmax
descr,max temperature

missing_val,-9999
date_start,01.01.2008
date_end,31.12.2014
date_format,dd.MM.yyyy

tres,d
unit,C

@H,date,tmax[1]
name,-,Greeley LIRF
ID,-,1
elevation,-,1427
x,-,530809
,12.09.2008,20.6
,13.09.2008,26.2
,14.09.2008,24.1
,15.09.2008,24.4
,16.09.2008,27.0
,17.09.2008,25.7
,18.09.2008,24.7
,19.09.2008,26.7
,20.09.2008,26.8
,21.09.2008,22.7
,22.09.2008,24.2
,23.09.2008,23.9
,24.09.2008,25.7
,25.09.2008,26.6
,26.09.2008,27.6
,27.09.2008,23.0
,28.09.2008,26.3
,29.09.2008,24.7
,30.09.2008,27.0
,01.10.2008,23.5
,02.10.2008,24.9
,03.10.2008,24.6
,04.10.2008,17.3
,05.10.2008,18.1
,06.10.2008,18.0
,07.10.2008,21.5
,08.10.2008,18.2
,09.10.2008,14.3
,10.10.2008,12.6
,11.10.2008,14.3
,12.10.2008,13.2
,13.10.2008,16.9
,14.10.2008,17.5
,15.10.2008,21.3
,16.10.2008,19.6
,17.10.2008,17.2
,18.10.2008,18.4
,19.10.2008,20.6
,20.10.2008,17.1
,21.10.2008,16.7
,22.10.2008,15.5
,23.10.2008,20.0
,24.10.2008,17.5
,25.10.2008,14.6
,26.10.2008,9.7
,27.10.2008,12.1
,28.10.2008,11.7
,29.10.2008,14.2
,30.10.2008,17.0
,31.10.2008,18.7
,01.11.2008,16.0
,02.11.2008,14.8
,03.11.2008,15.4
,04.11.2008,13.3
,05.11.2008,15.2
,06.11.2008,16.3
,07.11.2008,16.9
,08.11.2008,15.8
,09.11.2008,12.7
,10.11.2008,10.4
,11.11.2008,9.6
,12.11.2008,11.3
,13.11.2008,12.6
,14.11.2008,8.0
,15.11.2008,9.8
,16.11.2008,11.1
,17.11.2008,12.0
,18.11.2008,17.3
,19.11.2008,10.4
,20.11.2008,7.8
,21.11.2008,8.9
,22.11.2008,9.7
,23.11.2008,9.8
,24.11.2008,8.4
,25.11.2008,7.7
,26.11.2008,9.0
,27.11.2008,10.7
,28.11.2008,10.3
,29.11.2008,10.2
,30.11.2008,10.8
,01.12.2008,10.9
,02.12.2008,9.8
,03.12.2008,4.5
,04.12.2008,-0.9
,05.12.2008,-1.0
,06.12.2008,0.3
,07.12.2008,1.1
,08.12.2008,1.4
,09.12.2008,-1.6
,10.12.2008,5.1
,11.12.2008,3.9
,12.12.2008,6.4
,13.12.2008,9.6
