@T,climate
name,rainfall
desc,measured rainfall

missing_val,-9999
date_start,01.01.2008
date_end,31.12.2014
date_format,dd.MM.yyyy

tres,d
unit,mm

@H,date,Greeley LIRF
ID,-,1
elevation,-,1427
x,-,530809
,13.09.2008,8.89
,14.09.2008,3.56
,15.09.2008,15.24
,16.09.2008,0.00
,17.09.2008,0.00
,18.09.2008,0.51
,19.09.2008,0.76
,20.09.2008,0.00
,21.09.2008,0.00
,22.09.2008,6.35
,23.09.2008,16.00
,24.09.2008,0.00
,25.09.2008,0.00
,26.09.2008,0.00
,27.09.2008,4.32
,28.09.2008,0.25
,29.09.2008,0.00
,30.09.2008,0.00
,01.10.2008,0.00
,02.10.2008,0.00
,03.10.2008,1.78
,04.10.2008,3.56
,05.10.2008,0.00
,06.10.2008,0.00
,07.10.2008,0.00
,08.10.2008,0.00
,09.10.2008,0.00
,10.10.2008,5.08
,11.10.2008,0.00
,12.10.2008,0.00
,13.10.2008,0.00
,14.10.2008,1.02
,15.10.2008,0.00
,16.10.2008,0.00
,17.10.2008,0.00
,18.10.2008,7.11
,19.10.2008,0.00
,20.10.2008,2.79
,21.10.2008,0.25
,22.10.2008,0.00
,23.10.2008,0.00
,24.10.2008,0.00
,25.10.2008,0.00
,26.10.2008,0.00
,27.10.2008,0.00
,28.10.2008,0.25
,29.10.2008,0.00
,30.10.2008,4.83
,31.10.2008,0.00
,01.11.2008,0.00
,02.11.2008,0.00
,03.11.2008,0.00
,04.11.2008,0.00
,05.11.2008,0.00
,06.11.2008,0.00
,07.11.2008,0.00
,08.11.2008,0.00
,09.11.2008,0.00
,10.11.2008,0.00
,11.11.2008,0.00
,12.11.2008,0.00
,13.11.2008,0.00
,14.11.2008,0.00
,15.11.2008,0.00
,16.11.2008,0.00
,17.11.2008,0.00
,18.11.2008,0.00
,19.11.2008,0.00
,20.11.2008,0.00
,21.11.2008,0.00
,22.11.2008,2.29
,23.11.2008,0.51
,24.11.2008,0.00
,25.11.2008,0.00
,26.11.2008,0.00
,27.11.2008,0.00
,28.11.2008,0.00
,29.11.2008,0.00
,30.11.2008,0.00
,01.12.2008,0.00
,02.12.2008,0.00
,03.12.2008,0.00
,04.12.2008,0.00
,05.12.2008,0.00
,06.12.2008,0.00
,07.12.2008,0.00
,08.12.2008,0.25
,09.12.2008,0.00
,10.12.2008,0.25
,11.12.2008,0.00
,12.12.2008,0.00
,13.12.2008,0.00
,14.12.2008,0.00
,15.12.2008,0.00
,16.12.2008,0.00
,17.12.2008,0.00
,18.12.2008,0.00
,19.12.2008,0.00
,20.12.2008,0.00
,21.12.2008,0.00
,22.12.2008,0.00
