@T,climate,,,,,,,,,,,,,
name,wind,,,,,,,,,,,,,
desc,wind speed,,,,,,,,,,,,,
,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,
date_start,01.01.1960,,,,,,,,,,,,,
date_end,04.08.2013,,,,,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tres,d,,,,,,,,,,,,,
unit,m/s,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,date,wind[0],wind[1],wind[2],wind[3],wind[4],wind[5],wind[6],wind[7],wind[8],wind[9],wind[10],wind[11],wind[12]
name,,Artern,Erfurt,Schmuecke,Leinefelde,Eichelborn-ILMS,Geraberg-ILMS,Gossel-ILMS,Kirchheim-ILMS,Oberhof-ILMS,Ohrdruf-ILMS,Riechheim-ILMS,Wandersleben-ILMS,Wipfra-ILMS
ID,,198,1270,4501,2925,1,2,3,4,5,6,7,8,9
elevation,,164,316,937,356,297,481,495,265,753,334,385,268,390
,06.02.1960,3.3,3.3,4.04019,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.02.1960,3.3,2.7,3.30561,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.02.1960,0.3,2,2.4486,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.02.1960,0.7,1.7,2.08131,0.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.02.1960,3,4.3,5.26449,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.02.1960,2.3,3.3,4.04019,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.02.1960,1.3,2,2.4486,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.02.1960,0.7,1.7,2.08131,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.02.1960,5.3,4.3,5.26449,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.02.1960,5.7,5.3,6.48879,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.02.1960,5,3.7,4.52991,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.02.1960,3.7,3.7,4.52991,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.02.1960,1.3,2,2.4486,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.02.1960,1.7,1.7,2.08131,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.02.1960,2.7,3.7,4.52991,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.02.1960,2.7,4,4.8972,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.02.1960,1,2,2.4486,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.02.1960,1,2,2.4486,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.02.1960,2.7,3.7,4.52991,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.02.1960,2.7,2.7,3.30561,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.02.1960,1.3,2.7,3.30561,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.02.1960,2,3.7,4.52991,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.02.1960,4,3.7,4.52991,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.02.1960,1.7,1.3,1.59159,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.03.1960,2,4,4.8972,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.03.1960,2.3,3.7,4.52991,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.03.1960,3,3.7,4.52991,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.03.1960,2.3,3,3.6729,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
