@T,climate,,,,,,,,,,,,,
name,wind,,,,,,,,,,,,,
desc,wind speed,,,,,,,,,,,,,
,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,
date_start,01.01.1960,,,,,,,,,,,,,
date_end,04.08.2013,,,,,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tres,d,,,,,,,,,,,,,
unit,m/s,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,date,wind[0],wind[1],wind[2],wind[3],wind[4],wind[5],wind[6],wind[7],wind[8],wind[9],wind[10],wind[11],wind[12]
name,,Artern,Erfurt,Schmuecke,Leinefelde,Eichelborn-ILMS,Geraberg-ILMS,Gossel-ILMS,Kirchheim-ILMS,Oberhof-ILMS,Ohrdruf-ILMS,Riechheim-ILMS,Wandersleben-ILMS,Wipfra-ILMS
ID,,198,1270,4501,2925,1,2,3,4,5,6,7,8,9
elevation,,164,316,937,356,297,481,495,265,753,334,385,268,390
,19.12.1974,3.5,3.6,4.40748,4.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.12.1974,3.7,3.6,4.40748,4.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.12.1974,3.7,3.5,4.28505,3.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.12.1974,2.3,2.3,2.81589,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.12.1974,1.3,2.2,2.69346,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.12.1974,1.3,3.3,4.04019,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.12.1974,3.4,4.1,5.01963,4.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.12.1974,5.2,5.3,6.48879,5.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.12.1974,3.4,4,4.8972,4.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.12.1974,4.3,4.3,5.26449,5.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.12.1974,5.7,5.4,6.61122,6.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.12.1974,4.2,4.8,5.87664,5.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,31.12.1974,3.5,3.3,4.04019,4.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.01.1975,3.5,4,4.8972,4.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.01.1975,0.7,1,1.2243,1.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.01.1975,1.6,1.7,2.08131,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.01.1975,3.9,3.5,4.28505,4.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.01.1975,4.8,4.2,5.14206,4.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.01.1975,4.4,4.8,5.87664,5.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.01.1975,3.9,4.8,5.87664,5.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.01.1975,2.8,3.2,3.91776,3.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.01.1975,2.2,2.9,3.55047,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.01.1975,3.9,3.6,4.40748,4.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.01.1975,2.9,3.3,4.04019,3.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.01.1975,2.3,3.2,3.91776,2.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.01.1975,1.8,2.8,3.42804,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.01.1975,0.6,3,3.6729,3.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.01.1975,1.3,2.1,2.57103,4.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.01.1975,0.2,2.2,2.69346,3.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.01.1975,1.6,3.6,4.40748,3.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.01.1975,1.2,3.3,4.04019,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.01.1975,1.8,2.4,2.93832,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.01.1975,1,1.3,1.59159,1.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.01.1975,3,3.7,4.52991,3.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.01.1975,3.8,4.3,5.26449,4.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.01.1975,3.2,3.9,4.77477,3.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.01.1975,3.8,4,4.8972,4.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.01.1975,2.7,3.3,4.04019,3.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.01.1975,3.7,3.3,4.04019,4.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.01.1975,1.5,3.7,4.52991,3.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.01.1975,2.9,3.6,4.40748,3.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.01.1975,3.4,3.2,3.91776,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.01.1975,0.8,1.2,1.46916,1.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,31.01.1975,1.1,2.3,2.81589,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.02.1975,1.8,2.7,3.30561,3.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.02.1975,1.5,2.4,2.93832,3.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.02.1975,3.5,3.6,4.40748,3.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.02.1975,3.4,3.6,4.40748,4.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.02.1975,1.9,2.5,3.06075,3.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.02.1975,0.2,1.2,1.46916,1.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.02.1975,1.6,1.7,2.08131,1.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.02.1975,1,1.9,2.32617,3.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.02.1975,0,1.1,1.34673,1.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.02.1975,0.7,1.5,1.83645,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.02.1975,1,1.4,1.71402,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.02.1975,1.4,2.3,2.81589,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.02.1975,2.3,2.7,3.30561,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.02.1975,3,3.2,3.91776,3.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.02.1975,2.9,2.7,3.30561,3.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.02.1975,1.2,1.7,2.08131,2.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.02.1975,0.8,2.1,2.57103,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.02.1975,1.2,2.2,2.69346,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.02.1975,2.8,2.7,3.30561,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.02.1975,0.8,1.6,1.95888,2.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.02.1975,0.7,1.5,1.83645,3.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.02.1975,1,1.5,1.83645,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.02.1975,0,1.1,1.34673,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.02.1975,0.2,0.8,0.97944,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.02.1975,2,2,2.4486,2.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.02.1975,2,1.7,2.08131,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.02.1975,0.2,1.2,1.46916,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.02.1975,1.2,1.4,1.71402,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.03.1975,0.8,0.8,0.97944,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.03.1975,1,1.8,2.20374,1.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.03.1975,1.3,2.4,2.93832,2.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.03.1975,0.2,1.1,1.34673,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.03.1975,0.8,2.3,2.81589,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.03.1975,1.7,2.3,2.81589,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.03.1975,2.5,3.3,4.04019,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.03.1975,2.8,3.6,4.40748,3.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.03.1975,1,1.9,2.32617,1.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.03.1975,0.8,2,2.4486,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.03.1975,0.7,2.3,2.81589,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.03.1975,3.6,3.8,4.65234,3.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.03.1975,4.4,4.5,5.50935,3.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.03.1975,3.5,3.2,3.91776,3.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.03.1975,1.5,2.4,2.93832,2.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.03.1975,1.7,2.2,2.69346,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.03.1975,1.5,1.8,2.20374,2.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.03.1975,4.5,4.1,5.01963,3.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.03.1975,6.4,5.2,6.36636,4.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.03.1975,5.8,4.5,5.50935,5.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.03.1975,3.9,4,4.8972,3.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.03.1975,2.6,1.9,2.32617,3.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.03.1975,2.2,2.5,3.06075,2.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.03.1975,1.5,1.8,2.20374,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.03.1975,4.5,4.2,5.14206,5.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.03.1975,4.3,4.1,5.01963,4.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.03.1975,2.3,1.5,1.83645,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.03.1975,4.9,4.5,5.50935,4.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.03.1975,3.4,3.2,3.91776,4.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.03.1975,2.3,1.9,2.32617,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,31.03.1975,2.3,2.4,2.93832,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.04.1975,2.4,2.6,3.18318,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.04.1975,3.7,3.5,4.28505,3.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.04.1975,2.1,1.3,1.59159,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.04.1975,2.6,2.8,3.42804,3.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.04.1975,1.2,1.2,1.46916,1.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.04.1975,3.2,2.3,2.81589,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.04.1975,3.2,2.8,3.42804,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.04.1975,4.5,3.8,4.65234,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.04.1975,3.6,3.5,4.28505,3.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.04.1975,2.4,2.3,2.81589,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.04.1975,2.6,2.8,3.42804,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.04.1975,3.1,3.4,4.16262,3.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.04.1975,4.3,4.4,5.38692,5.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.04.1975,2.6,2.8,3.42804,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.04.1975,3.2,3,3.6729,3.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.04.1975,2.7,3,3.6729,3.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.04.1975,2.2,2.3,2.81589,2.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.04.1975,3,2.3,2.81589,3.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.04.1975,2.6,2.5,3.06075,3.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.04.1975,0.8,2.2,2.69346,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.04.1975,1,1.4,1.71402,0.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.04.1975,1.2,1.7,2.08131,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.04.1975,1.3,1.4,1.71402,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.04.1975,3.2,3.6,4.40748,3.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.04.1975,3.5,4.4,5.38692,4.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.04.1975,2.1,2.7,3.30561,3.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.04.1975,1.6,1.9,2.32617,1.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.04.1975,1.1,1.9,2.32617,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.04.1975,2.5,3.3,4.04019,2.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.04.1975,3.3,3.5,4.28505,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.05.1975,1.8,2,2.4486,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.05.1975,2.7,2.8,3.42804,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.05.1975,3.2,2.8,3.42804,2.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.05.1975,3.2,3.1,3.79533,2.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.05.1975,4.6,4.1,5.01963,3.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.05.1975,4.7,4,4.8972,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.05.1975,3.5,3.2,3.91776,3.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.05.1975,2.1,2.3,2.81589,3.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.05.1975,2.9,2.6,3.18318,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.05.1975,2.7,2.8,3.42804,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.05.1975,1.6,1.7,2.08131,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.05.1975,3.4,3.3,4.04019,3.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.05.1975,1.5,1.7,2.08131,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.05.1975,1.4,1.1,1.34673,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.05.1975,1.7,1,1.2243,1.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.05.1975,1.9,1.8,2.20374,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.05.1975,1.2,0.8,0.97944,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.05.1975,1.6,1.3,1.59159,1.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.05.1975,2.2,1.7,2.08131,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.05.1975,1.7,1,1.2243,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.05.1975,2.3,1.9,2.32617,2.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.05.1975,3.3,2.8,3.42804,3.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.05.1975,2.5,1.6,1.95888,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.05.1975,1.7,1.7,2.08131,1.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.05.1975,4.2,3.1,3.79533,3.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.05.1975,3.7,3.2,3.91776,2.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.05.1975,3.7,3.3,4.04019,3.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.05.1975,1.8,1,1.2243,1.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.05.1975,2.8,2.3,2.81589,3.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.05.1975,1.8,1.9,2.32617,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,31.05.1975,2.6,2.2,2.69346,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.06.1975,2.8,1.9,2.32617,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.06.1975,1.6,1.6,1.95888,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.06.1975,4.3,3.7,4.52991,3.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.06.1975,3.9,2.5,3.06075,3.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.06.1975,1.9,1.5,1.83645,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.06.1975,1.5,1.5,1.83645,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.06.1975,2.8,2.1,2.57103,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.06.1975,3.2,2.7,3.30561,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.06.1975,1.9,1.9,2.32617,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.06.1975,1.4,1.1,1.34673,2.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.06.1975,2.6,2.2,2.69346,2.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.06.1975,2.3,1.3,1.59159,1.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.06.1975,2.1,1.7,2.08131,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.06.1975,2.2,1.8,2.20374,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.06.1975,1.9,1,1.2243,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.06.1975,2.7,2,2.4486,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.06.1975,1.9,1.6,1.95888,1.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.06.1975,2.2,1.7,2.08131,1.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.06.1975,1.8,1.9,2.32617,2.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.06.1975,1.9,1.3,1.59159,1.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.06.1975,2.8,2.1,2.57103,1.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.06.1975,2.5,0.7,0.85701,1.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.06.1975,2.5,1.5,1.83645,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.06.1975,1.9,1.4,1.71402,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.06.1975,2.5,1.7,2.08131,3.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.06.1975,1.2,0.6,0.73458,1.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.06.1975,2.2,1.7,2.08131,2.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.06.1975,2.2,1.5,1.83645,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.06.1975,2.9,1.9,2.32617,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.06.1975,3.6,3.1,3.79533,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.07.1975,3.2,3.6,4.40748,4.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.07.1975,3,2.4,2.93832,2.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.07.1975,1.9,1.6,1.95888,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.07.1975,2.5,1.9,2.32617,1.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.07.1975,2.3,2.2,2.69346,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.07.1975,1.6,1.3,1.59159,1.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.07.1975,1.2,1.5,1.83645,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.07.1975,1.5,1.4,1.71402,1.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.07.1975,1.6,1.7,2.08131,1.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.07.1975,1.4,1.8,2.20374,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.07.1975,1.7,1.2,1.46916,1.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.07.1975,2.5,2.2,2.69346,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.07.1975,1.9,1.4,1.71402,1.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.07.1975,1.8,1.4,1.71402,2.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.07.1975,3,2.5,3.06075,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.07.1975,3.6,2.3,2.81589,3.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.07.1975,1.8,1.4,1.71402,1.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.07.1975,1.2,1.3,1.59159,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.07.1975,3.3,2.5,3.06075,3.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.07.1975,2.3,1.9,2.32617,2.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.07.1975,1.1,1.7,2.08131,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.07.1975,1.2,0.8,0.97944,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.07.1975,2.6,2.2,2.69346,2.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.07.1975,2.5,2.5,3.06075,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.07.1975,2.6,2.1,2.57103,3.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.07.1975,2.7,2.2,2.69346,2.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.07.1975,2.3,1.8,2.20374,2.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.07.1975,1.9,1.5,1.83645,2.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.07.1975,1.6,0.8,0.97944,1.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
