@T,climate
name,rainfall
desc,measured rainfall

missing_val,-9999
date_start,01.01.1980
date_end,13.08.2013
date_format,dd.MM.yyyy

tres,d
unit,mm

@H,date,Alperstedt,Artern,Arnstadt,Boesleben,Crawinkel,Dachwig,Dienstedt,Dosdorf,Eichelborn-ILMS,Elgersburg,Erfurt (Flugwewa),Erfurt-Egstedt,Erfurt-Frienstedt,Erfurt-Weimar,Finsterbergen,Floh,Frankenhain,Gehlberg,Geraberg-ILMS,Gossel-ILMS,Graefenroda,Graefinau-Angstedt,Herrenhof,Ilmenau,Kirchheim-ILMS,Kleiner Inselsberg,Luisenthal,Luisenthal Talsperre,Martinroda,Moenchenholzhausen,Molschleben,Muehlberg,Oberhof,Oberhof (Forsth. Sattelbach,Oberhof-ILMS,Oberschoenau,Ohrdruf-ILMS,Riechheim-ILMS,Schmuecke (WST),Sondershausen,Stadtilm,Stuetzerbach,Tambach-Dietharz,Tambach-Dietharz (Forsthaus,Tambach-Dietharz (Talsperre,Tuettleben,Waltershausen,Wandersleben-ILMS,Wipfra-ILMS
,16.02.1992,8.6,3,4.63,5.5,5.6,3,4.8,3.9,-9999,2.1,3.1,8,1.6,-9999,7.2,1.5,5.8,7.7,-9999,-9999,4.3,2.5,5,9.8,-9999,6.3,5.1,5.1,3.8,7.7,5.6,1.5,6.6,6.45,-9999,2.9,-9999,-9999,6.6,2.7,0.4,10.3,5,4.8,4.4,3.2,5,-9999,-9999
,17.02.1992,2.1,0.2,2.78,3.3,2.9,0.1,1.2,3.4,-9999,6,0.6,3,2.7,-9999,6.4,5.7,5.6,5.6,-9999,-9999,3.1,2.2,2.4,6.4,-9999,6.3,4.1,5.3,5.8,1,0.9,3.5,5.3,5.18,-9999,8.7,-9999,-9999,6.7,0.6,0.3,5.1,4,2,5.4,2,2.4,-9999,-9999
,18.02.1992,0.2,0.1,0.42,0.5,0.4,0,0.5,0.2,-9999,0.4,0.4,0.4,0.1,-9999,0.8,1.1,1.2,1,-9999,-9999,0.4,0.5,0.6,0.3,-9999,3.1,0.4,1.2,0.6,0.3,0.1,0,1,0.98,-9999,1,-9999,-9999,1.2,0.4,0,0.8,0.5,0.4,0.6,0.3,0.4,-9999,-9999
,19.02.1992,0.2,0.2,0.34,0.4,1.5,0.5,0.6,1,-9999,0.6,0.2,0.3,0.5,-9999,0.3,2.9,1.5,1.9,-9999,-9999,1.2,1.3,1,3.7,-9999,1.9,1.6,1.8,1,0.6,0.9,1.1,2.4,2.35,-9999,1.8,-9999,-9999,2.6,0.2,0,2.5,0.6,1,0.7,0.8,0.5,-9999,-9999
,20.02.1992,0.3,0.6,1.77,2.1,0.6,0,0.9,0.4,-9999,0.4,0.9,0.4,0.2,-9999,0,0.9,1.1,0.1,-9999,-9999,0.5,0.7,0.2,1.3,-9999,0.8,0.5,1.1,0.6,0.4,0,0.8,1.7,1.66,-9999,2,-9999,-9999,1.9,0.2,0.9,2,0.2,0.5,0,0.4,0,-9999,-9999
,21.02.1992,0.3,0,0.17,0.2,0.7,0,2.4,0.4,-9999,0.6,0,0.5,0.4,-9999,0,0.6,0,0.9,-9999,-9999,0.8,1.4,0.6,0.7,-9999,0.2,0.4,0.6,0.7,0.7,0,0,1.2,1.17,-9999,0.9,-9999,-9999,1.9,0,11.8,1.5,0.8,0.3,0.5,0.5,0,-9999,-9999
,22.02.1992,0.5,0.8,0,0,0,0.7,0,0,-9999,0,1,0.3,0.8,-9999,2.4,1.5,1.3,0.8,-9999,-9999,0,0.3,0.2,0,-9999,4,0,0.3,0,1.5,0,0,0.7,0.68,-9999,2.7,-9999,-9999,1.8,0.2,1.8,0,5,2.6,0.6,0.8,0.6,-9999,-9999
,23.02.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0.3,0.5,0,0.1,-9999,-9999,0,0,0,0,-9999,0.6,0.1,0,0,0,0,0,0.2,0.2,-9999,1.1,-9999,-9999,1.3,0,3.4,0,0.2,0.3,0,0,0,-9999,-9999
,24.02.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0.2,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,25.02.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,23.9,0,0,0,0,0,0,-9999,-9999
,26.02.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,10.9,0,0,0,0,0,0,-9999,-9999
,27.02.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0.2,0,0,0,0,0,0,-9999,-9999
,28.02.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0.1,-9999,-9999,0,0,4.1,0,0,0,0,0,0,-9999,-9999
,29.02.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0.1,-9999,-9999,0,0,1.9,0,0,0,0,0,0,-9999,-9999
,01.03.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0.5,0,0,0,0,0,0,-9999,-9999
,02.03.1992,0,0.1,0.34,0.4,2.3,0.3,1.2,1,-9999,3.1,0.3,0.3,0.5,-9999,0.7,0.8,3.1,4.4,-9999,-9999,2.3,2.3,0.9,4.3,-9999,2.1,2.69,2.6,2.2,0,0,0.3,3.1,3.03,-9999,1,-9999,-9999,2.1,0.9,0,5.4,2.3,2.9,1.8,0,0.9,-9999,-9999
,03.03.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0.2,-9999,-9999,0.1,0,0,0,0,0,0,0,0,-9999,-9999
,04.03.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,9.9,0,0,0,0,0,0,-9999,-9999
,05.03.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0.8,0,0,-9999,-9999,0,0,0,0,-9999,0.8,0,0,0,0,0.1,0,0,0,-9999,0.3,-9999,-9999,0.1,0,0.5,0,0.2,0.1,0,0,0,-9999,-9999
,06.03.1992,3.1,3.5,0.93,1.1,4,2.3,2.3,1,-9999,2.5,2.4,2.4,1.5,-9999,5.8,5,2.1,5,-9999,-9999,2.7,4.4,5.4,0,-9999,5.2,2.38,2.3,2,3.2,1.9,0.5,5.9,5.76,-9999,6.4,-9999,-9999,6.9,3.4,0,4.2,4.4,3.9,4.6,1.1,2.6,-9999,-9999
,07.03.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,08.03.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,09.03.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,10.03.1992,0.9,0.5,1.26,1.5,4.4,2.2,2.7,3.2,-9999,0.9,2.5,2.4,2.7,-9999,2.3,3.6,4.6,5.4,-9999,-9999,4,2.7,3.1,4.3,-9999,4.9,4.66,4.5,2.7,2,1.6,3.6,4.1,4.01,-9999,3.4,-9999,-9999,3.2,0.6,0,4.2,4.9,5.4,5.4,3.8,2.6,-9999,-9999
,11.03.1992,2.1,1.9,0.42,0.5,5.3,2.5,0.5,2.3,-9999,6.4,2.8,1,2.5,-9999,7.5,5.7,7.1,6.7,-9999,-9999,4.9,3.6,2.6,17.2,-9999,5.1,6.22,6,5.4,3.5,3.9,3.4,8.8,8.6,-9999,6.2,-9999,-9999,6,3.3,0,10.2,7.1,5.3,4.4,2.8,1.7,-9999,-9999
,12.03.1992,1.9,4.4,3.54,4.2,17.7,3.9,3.2,8.8,-9999,13.1,6.7,3.8,3.5,-9999,8.7,4.4,31.1,32.8,-9999,-9999,17.6,13.9,15.2,18.1,-9999,11,20.93,20.2,21.2,3.5,2.3,6.9,17,16.61,-9999,11.7,-9999,-9999,16.1,6.6,0,20.2,16.3,18.7,17.8,3.8,12.4,-9999,-9999
,13.03.1992,8.7,11.5,12.98,15.4,23.3,14.3,16.7,22,-9999,23.3,11.6,13,13.6,-9999,17,22.6,20.8,28.9,-9999,-9999,18.1,14.5,15.2,34.6,-9999,20.2,30.26,29.2,24.4,12.7,11.3,17,26.6,25.99,-9999,24.1,-9999,-9999,24.7,10.8,0,28.9,23.4,19.6,21.4,3.7,17.1,-9999,-9999
,14.03.1992,0.6,3,1.01,1.2,2.6,1.1,1.6,1.5,-9999,4.1,1.1,0.8,1.2,-9999,5.3,1.9,4.9,5.8,-9999,-9999,5,2.7,4.4,3.7,-9999,7.1,6.01,5.8,3.6,2.8,2.1,2.1,7.2,7.04,-9999,4.3,-9999,-9999,7,4.8,0,6.5,5.6,4.7,1.5,2.1,4,-9999,-9999
,15.03.1992,0.6,0.3,0,0,0.4,0.3,0.6,0.4,-9999,0.5,0.2,0,1.6,-9999,0,1.6,1.6,0.5,-9999,-9999,0.6,0.3,0.3,0.4,-9999,1.5,1.35,1.3,0.4,0.3,0.1,0.4,1,0.98,-9999,2.3,-9999,-9999,1.9,0.7,0.4,1.1,1,0.9,0.7,0,0.8,-9999,-9999
,16.03.1992,0,0.1,0.59,0.7,0.4,0,0.9,0.3,-9999,0.3,0,0.2,0.7,-9999,0,0.8,0.4,0,-9999,-9999,0.4,0.5,1,0,-9999,0,0.31,0.3,0.3,0,0.6,0.5,0.4,0.39,-9999,0.5,-9999,-9999,0.2,0.2,0,0,0.2,0,0,0.8,0.6,-9999,-9999
,17.03.1992,0,0,0,0,0,0.3,0.6,0,-9999,0,0.1,0,0,-9999,0,0.3,0,0,-9999,-9999,0,0,0.3,0,-9999,0,0,0,0,0,0.2,0.3,0.2,0.2,-9999,0,-9999,-9999,0,0,0.4,0,0,0,0,0,0.2,-9999,-9999
,18.03.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,1.6,0,0,0,0,0,0,-9999,-9999
,19.03.1992,0.7,0.6,1.43,1.7,0.4,0.4,1.1,1,-9999,1,0.4,1.5,0.8,-9999,1.3,0,0,0.5,-9999,-9999,0.6,0.9,0.5,0,-9999,0.3,0.62,0.6,0.6,1.3,0.2,0.3,0.5,0.49,-9999,0.6,-9999,-9999,0.8,0.2,3.9,0.9,0,0.1,0.1,0,0.2,-9999,-9999
,20.03.1992,1.5,0.4,7.67,9.1,6.5,2.3,11.4,8,-9999,6.4,3.7,4.5,5.6,-9999,9.1,3,10.1,6.5,-9999,-9999,7.4,6.6,5.1,7.9,-9999,7.9,8.7,8.4,5.7,5.5,4.4,11.2,11.7,11.43,-9999,13.1,-9999,-9999,11.3,1.1,3,8.5,8.8,8.7,9.1,3.8,6.3,-9999,-9999
,21.03.1992,2.9,4.4,4.04,4.8,5.7,5.2,0.6,4.3,-9999,5.4,8.5,5,8.1,-9999,13,8.5,3.1,6.7,-9999,-9999,5.4,2,6.3,5.9,-9999,18.5,6.43,6.2,4.1,5,4.9,5.1,8.1,7.91,-9999,4.8,-9999,-9999,7.5,4.3,2.9,5.1,18,14.5,9.4,3.2,8.3,-9999,-9999
,22.03.1992,5.5,5.4,3.29,3.9,10,5.2,4.8,3.7,-9999,7.4,5.5,6,5.2,-9999,5.6,7.9,2.9,22.8,-9999,-9999,11.3,5.1,8.7,13.6,-9999,26.4,16.89,16.3,9.4,5.6,4.6,2.1,13.5,13.19,-9999,17.3,-9999,-9999,22.5,8.3,0,18.2,16.4,18.8,15.7,5.2,10,-9999,-9999
,23.03.1992,0.2,0.3,0,0,1.9,1.4,0.9,1.4,-9999,2.6,0.3,0.4,1.2,-9999,0.3,12.4,2.1,0.3,-9999,-9999,2,1.7,1.7,3.7,-9999,3.4,2.69,2.6,2,0.7,1.8,3,4.1,4.01,-9999,3,-9999,-9999,4.9,0,0,6.1,1.5,2.3,1.7,5.4,2.2,-9999,-9999
,24.03.1992,15.4,6.9,13.9,16.5,35.1,14,26.4,36.1,-9999,28.6,24.2,26.5,25.4,-9999,6.1,9,20.2,36.5,-9999,-9999,21.2,19.6,29,24.6,-9999,27.3,26.43,25.5,31.5,25.6,24.9,31.2,20.6,20.13,-9999,45.3,-9999,-9999,36,2.7,0,17.9,19.9,13.7,19.7,27.2,20.1,-9999,-9999
,25.03.1992,0.3,5.4,8.51,10.1,10.8,6.2,7.2,9.9,-9999,12.8,13.9,17.5,13.2,-9999,0.4,15.1,4.2,11.2,-9999,-9999,9.2,4.9,7.3,7.4,-9999,19.4,12.95,12.5,7.9,14.3,8.4,4.8,10.2,9.97,-9999,8.6,-9999,-9999,10.5,6.5,2,12.1,9.7,4.7,8.5,5.7,7.7,-9999,-9999
,26.03.1992,0,0,0,0,0.1,0,0,0.2,-9999,0.6,0,0,0,-9999,0,0,0,0.8,-9999,-9999,0.4,0.2,0,0.1,-9999,0,0.21,0.2,0.4,0,0.3,0,0,0,-9999,0.4,-9999,-9999,0.8,0,3.9,0,0,0,0,0,0,-9999,-9999
,27.03.1992,0,0.5,3.88,4.6,2.9,1.4,5.2,3.1,-9999,0.4,1.5,2.8,3.1,-9999,0.2,8.2,2.4,0.2,-9999,-9999,2.1,1.6,2.5,1.6,-9999,5.2,4.25,4.1,1.8,2.5,2.1,0.3,3,2.93,-9999,6,-9999,-9999,3.5,0.6,0,4.1,3.1,2.6,1.4,4.2,2.7,-9999,-9999
,28.03.1992,2.5,0.8,1.52,1.8,2.5,4.2,3.9,2.9,-9999,3.3,1.3,2.8,4.2,-9999,0.3,7.4,3.2,7.5,-9999,-9999,1.9,1.9,3.9,3.2,-9999,5.3,3.73,3.6,2,1.9,1.4,0.8,8.1,7.91,-9999,9.7,-9999,-9999,11.4,1.6,0,8.1,4.6,2.7,3.4,1.9,2.6,-9999,-9999
,29.03.1992,1.2,0,0.84,1,0.1,1.2,0.9,0,-9999,0,0.5,1,0.5,-9999,0,4.4,1.4,0,-9999,-9999,0,0,0.5,0.7,-9999,1.6,0.62,0.6,0.1,0.4,0.9,0,1,0.98,-9999,0.8,-9999,-9999,1.2,0.4,1.6,0.8,0.5,1.3,0.5,0,0.2,-9999,-9999
,30.03.1992,0,0.8,0,0,0,0.4,0,0,-9999,0,0,0,0,-9999,0.2,0.4,0.8,0,-9999,-9999,0,0,0,0,-9999,0.9,0.31,0.3,0,0.2,0,0.5,0,0,-9999,0.4,-9999,-9999,0.1,0.8,6.6,0,0,0.1,0,0,0,-9999,-9999
,31.03.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0.9,0,0,0,0,0,0,-9999,-9999
,01.04.1992,6.8,8.5,7.75,9.2,8.8,8.9,9.4,9,-9999,8.7,8.5,1.8,10.4,-9999,9.9,14.9,7.1,12.5,-9999,-9999,8.8,7.9,6.5,14.3,-9999,16.8,9.53,9.2,10.2,9.7,6.5,6.1,14.1,13.78,-9999,17.2,-9999,-9999,19.8,9,0,6,11.1,13.6,9.8,6.7,9.1,-9999,-9999
,02.04.1992,3.2,2.4,0,0,1.1,0.9,0.6,0.2,-9999,1.8,1.1,0.8,1.1,-9999,4.3,0.9,1.3,2.9,-9999,-9999,1.2,0.7,1.4,3.2,-9999,5.1,1.35,1.3,0,1.7,1.7,0,1.3,1.27,-9999,1.5,-9999,-9999,1.8,1.8,0,5.5,5.1,2.4,1.1,0,3.3,-9999,-9999
,03.04.1992,1.2,0,0,0,0.2,0,0.3,0,-9999,0.4,0.6,0.3,1.5,-9999,0.2,0.4,0,0.2,-9999,-9999,0,0.2,2.4,0.3,-9999,3.2,0,0,0.1,0,0.5,0,0,0,-9999,0.4,-9999,-9999,0.2,0,1.1,2.2,0.6,2.2,0.4,1.2,0.5,-9999,-9999
,04.04.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0.2,0,0,0.3,0,0,0,0,0,-9999,0,-9999,-9999,0,0,5.9,0,0.1,0,0,0,0,-9999,-9999
,05.04.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,06.04.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,07.04.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,08.04.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,09.04.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,4.9,0,0,0,0,0,0,-9999,-9999
,10.04.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,2.1,0,0,0,0,0,0,-9999,-9999
,11.04.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0.6,0,0,0,0,0,0,-9999,-9999
,12.04.1992,0.6,0,0,0,0.3,0.6,0,0,-9999,1.1,3,0.5,0,-9999,0.9,0.3,0.2,2.5,-9999,-9999,1.2,2.6,1.4,0,-9999,0.8,1.04,1,1.5,1.6,0,0.5,2,1.95,-9999,2.6,-9999,-9999,3.8,0,0.4,0.9,0,0.5,0,4.3,2.3,-9999,-9999
,13.04.1992,0,0,0,0,3.4,0.2,1.4,1.5,-9999,2.1,0.3,0,5,-9999,3.1,0.7,1.5,2.6,-9999,-9999,2.5,0.5,2.6,4.7,-9999,2.4,4.66,4.5,1.2,0,0.9,0,1.9,1.86,-9999,0.9,-9999,-9999,2.6,0.1,6.9,0,5.5,4.7,4.8,1.2,1.8,-9999,-9999
,14.04.1992,0,0,0,0,0,0,0,0,-9999,1,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,3.1,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,9.9,0,0,0,0,0,-9999,-9999
,15.04.1992,0.9,2.9,0.25,0.3,5.2,1.7,0.9,0.6,-9999,4,0.3,0.2,0,-9999,2.7,0.8,0.9,6.9,-9999,-9999,3,4.3,3,4.2,-9999,3.7,7.56,7.3,3.1,0,0,0.9,2.9,2.83,-9999,2.6,-9999,-9999,5.3,2.3,0,7.4,1.8,3.3,3.8,4,4.9,-9999,-9999
,16.04.1992,0.8,0.9,0.93,1.1,3.4,0.6,5.4,1.9,-9999,2.1,1.5,3,2.5,-9999,0.4,5.3,4.5,3.8,-9999,-9999,2.3,1.7,1.5,5.1,-9999,7.3,4.04,3.9,1.8,3.6,0.2,1.4,5.3,5.18,-9999,4.9,-9999,-9999,7.2,0.8,0,1.8,4.8,3.7,2.6,1.3,1.5,-9999,-9999
,17.04.1992,0.6,0,0.59,0.7,0.5,0.3,0.7,0.6,-9999,0,0.2,0.3,0.5,-9999,0.3,1.6,0.7,1.3,-9999,-9999,0.2,0.1,0,2.1,-9999,2.8,0.41,0.4,0,1.3,0.3,0,2.6,2.54,-9999,3.1,-9999,-9999,3.9,0.2,0,4,4.3,1.7,4.2,0.3,0,-9999,-9999
,18.04.1992,2.9,1,0,0,0.6,6.1,0.3,0.4,-9999,0,1.6,0.7,1.7,-9999,8.2,5,0.2,4.7,-9999,-9999,0.6,0.4,1.1,1.2,-9999,7.7,2.59,2.5,1.2,3.8,3.5,6,5.9,5.76,-9999,9.4,-9999,-9999,11.7,0.6,0,5,6.8,6.1,1.9,1.3,0.6,-9999,-9999
,19.04.1992,0,0,0,0,2.3,0,2.1,0.4,-9999,0,0.1,0,0,-9999,2.8,1.2,2.2,0,-9999,-9999,3.5,2.1,0,4.7,-9999,0,4.04,3.9,2,0,0.9,0.3,1.9,1.86,-9999,2,-9999,-9999,0.2,0,0,0,0.8,0.3,4,2,0.3,-9999,-9999
,20.04.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,21.04.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,22.04.1992,0.2,0.2,0,0,2.4,0.2,0.7,2.4,-9999,3.6,0,0,0,-9999,2.2,0,1.1,1,-9999,-9999,1.4,0.7,3.8,0.4,-9999,0.6,2.18,2.1,1.3,0,0.2,0,2,1.95,-9999,1.6,-9999,-9999,3.7,0,0,3.6,1.8,3.6,2.6,0,0.2,-9999,-9999
,23.04.1992,1.1,1.4,2.19,2.6,4.7,1,1.9,2.3,-9999,2.7,1.9,1.6,1.8,-9999,4.2,4.1,2.2,1.9,-9999,-9999,3,3.1,4,2.4,-9999,4.8,3.42,3.3,3.7,2.5,2.1,2.5,2.9,2.83,-9999,4,-9999,-9999,3.1,0.9,0,0.4,3.4,3.6,3,2.2,3.5,-9999,-9999
,24.04.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,25.04.1992,0.5,0.8,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0.2,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0.3,0,0,0,0,0,0,0,-9999,-9999
,26.04.1992,0.7,4.3,0,0,0,2.6,0.2,0,-9999,2.4,1.4,0,0,-9999,0,0.2,1.2,2.8,-9999,-9999,0.4,1.9,3.5,2.4,-9999,8,0,0,1.5,0,0,0,0.2,0.2,-9999,1.9,-9999,-9999,3.3,2.2,0,3.9,0,0.9,0,0,1.4,-9999,-9999
,27.04.1992,0,0,3.03,3.6,3.8,0,6.2,3.7,-9999,1.9,0,5,2.6,-9999,4.5,5.5,2.8,5.6,-9999,-9999,3.8,1,0.6,2.1,-9999,1,6.74,6.5,0,3.5,0.7,6.5,5,4.89,-9999,2.7,-9999,-9999,2.8,0,0,0,4.3,4.3,4.8,3.7,0,-9999,-9999
,28.04.1992,2.7,1.4,0,0,2.1,1.1,1.7,1.1,-9999,3.8,1,0.5,1.2,-9999,4.4,2.9,1.2,5.5,-9999,-9999,1.8,1.4,1.5,1.9,-9999,5.1,4.25,4.1,0,1.9,1.4,1.2,4.6,4.49,-9999,4.4,-9999,-9999,3.7,1.1,0,0.2,6.2,5.1,6.7,1.6,1.7,-9999,-9999
,29.04.1992,0,0,0,0,0.1,0,0,0,-9999,1.9,0,0,0,-9999,0.3,3.5,0,0.5,-9999,-9999,0.5,0.9,0,2.4,-9999,0.1,0,0,2.3,0,0,0,0.8,0.78,-9999,2.3,-9999,-9999,2.4,0,0,0,0.3,0.1,0,0,0,-9999,-9999
,30.04.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,01.05.1992,1,0.4,0,0,3,1.1,0,0.8,-9999,1.4,0.8,0.4,1.4,-9999,3.4,4.9,0,5.8,-9999,-9999,1.3,2.1,2.6,3.7,-9999,6.6,3.83,3.7,1.5,0,3.4,1.8,3.4,3.32,-9999,3.3,-9999,-9999,5.4,0.2,0,13.3,4,5.1,3.7,1.4,3.5,-9999,-9999
,02.05.1992,4.4,4.8,5.56,6.6,6.8,5.8,8.7,6.6,-9999,7.5,5.5,4.7,5.6,-9999,8.3,9,9,6.8,-9999,-9999,6.4,7,6.1,10.2,-9999,8.3,6.32,6.1,6.6,5.3,6.8,6.5,6.4,6.25,-9999,4.1,-9999,-9999,6.5,4.2,0,5.3,7.3,6.4,6.9,4.8,6.9,-9999,-9999
,03.05.1992,0,0,0,0,0,0,0,0,-9999,0,0,0.3,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,04.05.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,05.05.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0.3,0,0,0,0,0,0,-9999,-9999
,06.05.1992,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0.2,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,17.6,0,0,0,0,0,0,-9999,-9999
,07.05.1992,1.8,1.2,3.62,4.3,1,1.5,3.4,1.4,-9999,0.8,3,5,1.6,-9999,0.2,0.4,4.1,0,-9999,-9999,0.3,0.7,0.2,1.4,-9999,0.2,0.31,0.3,1.1,2.5,0.9,0.5,0.2,0.2,-9999,0.1,-9999,-9999,0,1.2,1.1,0,0,0,0,1.1,0.2,-9999,-9999
