@T,climate
name,rainfall
desc,measured rainfall

missing_val,-9999
date_start,01.01.1980
date_end,13.08.2013
date_format,dd.MM.yyyy

tres,d
unit,mm

@H,date,Alperstedt,Artern,Arnstadt,Boesleben,Crawinkel,Dachwig,Dienstedt,Dosdorf,Eichelborn-ILMS,Elgersburg,Erfurt (Flugwewa),Erfurt-Egstedt,Erfurt-Frienstedt,Erfurt-Weimar,Finsterbergen,Floh,Frankenhain,Gehlberg,Geraberg-ILMS,Gossel-ILMS,Graefenroda,Graefinau-Angstedt,Herrenhof,Ilmenau,Kirchheim-ILMS,Kleiner Inselsberg,Luisenthal,Luisenthal Talsperre,Martinroda,Moenchenholzhausen,Molschleben,Muehlberg,Oberhof,Oberhof (Forsth. Sattelbach,Oberhof-ILMS,Oberschoenau,Ohrdruf-ILMS,Riechheim-ILMS,Schmuecke (WST),Sondershausen,Stadtilm,Stuetzerbach,Tambach-Dietharz,Tambach-Dietharz (Forsthaus,Tambach-Dietharz (Talsperre,Tuettleben,Waltershausen,Wandersleben-ILMS,Wipfra-ILMS
,12.01.1980,0,0.1,0,0.1,0,0.1,0.1,0.1,-9999,0.1,0.6,0.5,0.7,-9999,0,0,0,0.3,-9999,-9999,0.2,0.1,0,0,-9999,0,0.1,0,0.1,0.4,0.5,0.2,0.29,0.6,-9999,0,-9999,-9999,0.2,0.1,0,0.2,0,0.1,0,0.2,0,-9999,-9999
,13.01.1980,0,0.1,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,2.7,0,0,0,0,0,0,-9999,-9999
,14.01.1980,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,1.1,0,0,0,0,0,0,-9999,-9999
,15.01.1980,0,0.1,0,0,0,0,0.1,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0.3,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0.1,0.5,0,0,0,0,0,0,-9999,-9999
,16.01.1980,0.8,0.4,0.8,0.8,1.4,1,0.2,0.9,-9999,2.3,0.8,1,1,-9999,0,0,1.3,1.7,-9999,-9999,1.1,1,0.4,0,-9999,1,0.1,1,2.31,0.6,0.8,0.8,1.67,0.6,-9999,0.1,-9999,-9999,0.6,0,0,1,1.6,1.5,1.4,1.3,0.4,-9999,-9999
,17.01.1980,0,0,0,0.2,0,0,0,0.1,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,18.01.1980,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,19.01.1980,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0.9,0,0,0,0,0,0,-9999,-9999
,20.01.1980,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0.3,0,0,0,0,0,0,-9999,-9999
,21.01.1980,0,0.4,0.2,0.3,2.3,0,0.8,0.3,-9999,0.9,0.3,0,0,-9999,7.2,1.9,2,3.2,-9999,-9999,1,2.5,0.3,4.1,-9999,2.2,1.7,1.7,0.9,0,0.5,1.5,3.14,8.3,-9999,3.8,-9999,-9999,2.9,0.3,0,2.5,3.5,1.2,1.5,0.8,2.3,-9999,-9999
,22.01.1980,0,0.3,0.2,0.5,1.5,0,0.2,0.5,-9999,2.2,0.2,0,0,-9999,4.1,1.6,1.8,4.2,-9999,-9999,1.5,0.6,0.4,0,-9999,2.6,1.9,2.4,2.21,0,0,0,4.13,6.9,-9999,2.7,-9999,-9999,3,0.7,0,2.5,2.4,3.2,2.5,2,2.6,-9999,-9999
,23.01.1980,0.2,0.4,5.2,3,6.5,0,1,3.5,-9999,3.9,0.6,2.3,2,-9999,4.6,5.4,3.9,8,-9999,-9999,4.2,1.4,1.2,6.3,-9999,7.6,7.1,9.2,3.92,0.3,0.4,0.3,7.86,9.3,-9999,9.2,-9999,-9999,5.4,1,0,3.1,7,6.2,3,1,3.7,-9999,-9999
,24.01.1980,0,1,0,0.2,0,0.3,0,0.2,-9999,0,0.9,0,0,-9999,0,0.5,0.5,1.6,-9999,-9999,0,0,0.1,0,-9999,0.6,0.2,0,0,0,0.1,0.1,1.57,2,-9999,0.7,-9999,-9999,1.2,0.2,0,0,1.2,0.5,1.5,0.8,0,-9999,-9999
,25.01.1980,3,1,1.9,2,2.5,2.3,2.2,2,-9999,0.5,2.6,1.9,2,-9999,4.7,2.9,9.8,0.7,-9999,-9999,1,2,2.6,0,-9999,4,1.2,1.7,0.5,1.8,2.6,2.6,0.69,1,-9999,4.5,-9999,-9999,9,3.2,0,3.1,3.6,2.7,3.5,1.5,1.3,-9999,-9999
,26.01.1980,0.4,1.3,1.7,1,2.4,1.3,3,1.4,-9999,0.5,1.6,1.6,1.7,-9999,3.4,8.1,2,5.2,-9999,-9999,0.4,1.6,1.8,1.6,-9999,5.7,1.3,1.7,0.5,1,3.3,3.7,5.11,8.8,-9999,8.2,-9999,-9999,4,3.6,0,1.4,3.2,3.1,3,0.5,2.5,-9999,-9999
,27.01.1980,0.3,0,0.3,0.2,0,1.5,1,0.7,-9999,2,2,1.1,1.5,-9999,3.2,0.9,2.6,2.8,-9999,-9999,1,1.1,0,2.1,-9999,2.5,0.2,0,2.01,1.5,0.2,0.2,2.75,0.3,-9999,2.3,-9999,-9999,3.1,2.2,0,1.5,0.9,0.5,0.8,0.1,0,-9999,-9999
,28.01.1980,0.3,1,0.1,0,0.5,0.3,0.1,0.6,-9999,1,0.3,0.7,0,-9999,0.2,0.9,1,1.2,-9999,-9999,0.3,0.4,0.2,0,-9999,1.4,0.3,0,1,0,0.2,0.3,1.18,0.2,-9999,1.4,-9999,-9999,1,0.4,0,0,0.3,0.6,0.2,1,0.4,-9999,-9999
,29.01.1980,0,0,0,0,0,0,0,0,-9999,0,0.1,0,0,-9999,0,0,0,0.4,-9999,-9999,0,0,0,0.1,-9999,0.5,0,0,0,0,0,0,0.39,0,-9999,0.2,-9999,-9999,4,0,0,1.3,0,0.1,0,0,1.2,-9999,-9999
,30.01.1980,1.6,0.5,1.6,0.6,6.7,1,1.8,1.5,-9999,5.9,0.5,1.3,2.1,-9999,8.6,4.4,9,0.2,-9999,-9999,14.4,2.9,2,6.2,-9999,5.5,4.2,7,5.92,2.2,4.5,4.7,0.2,2,-9999,8.2,-9999,-9999,3,2,0,4.3,7,8.9,10,0.4,0.9,-9999,-9999
,31.01.1980,1.7,3.8,3.7,4.8,18.3,3.8,2.1,8.3,-9999,21.5,2.9,0.3,0.9,-9999,12.1,4.5,11,7.9,-9999,-9999,14,11.8,13.4,31.5,-9999,12.3,24.3,29,21.58,2.1,3,2.5,7.76,12,-9999,5,-9999,-9999,18.8,5.8,0.7,27.3,5.2,25.4,13,3,18.3,-9999,-9999
,01.02.1980,4.7,1.1,2.4,2.7,6.4,5,2,2.9,-9999,15.8,3.8,4,3.8,-9999,8,2.2,7.1,47,-9999,-9999,3.2,2.6,4.2,6.1,-9999,8,4,6.8,15.86,5.9,4.2,1.1,46.17,48,-9999,14,-9999,-9999,10.1,3.1,0.2,4.1,3.6,8.5,3.6,3.1,2,-9999,-9999
