@T,routing
name,routing_mf.csv
descr,multi-flow routing configuration

# Multiflow Routing,
# Thu Sep 12 14:23:39 MDT 2013,
@H, from, to, weight
,1,-1,0.99985,-12,0.00015
,2,6,1
,3,-10,0.00059,-5,0.99941
,4,8,1
,5,39,1
,6,1,1
,7,1,1
,8,5,1
,9,21,0.4717,23,0.4766,-2,0.01434,41,0.03736
,10,32,1
,11,7,1
,12,34,1
,13,22,1
,14,33,1
,15,31,1
,16,27,1
,17,22,0.03125,25,0.96875
,18,30,0.12581,28,0.87419
,19,40,0.07027,43,0.0973,29,0.83243
,20,22,1
,21,-2,0.24433,23,0.75567
,22,27,1
,23,-2,1
,24,18,1
,25,22,1
,26,99,1
,27,-3,1
,28,48,0.19127,30,0.80873
,29,40,1
,30,48,1
,31,42,1
,32,-9,0.99943,-10,0.00057
,33,41,1
,34,41,1
,35,54,1
,36,54,0.17978,35,0.82022
,37,46,1
,38,27,0.40074,62,0.3125,-3,0.28676
,39,-4,0.55892,59,0.44108
,40,57,0.93608,43,0.06392
,41,-2,0.00933,58,0.61334,23,0.13989,128,0.23745
,42,51,1
,43,57,0.92593,76,0.07407
,44,62,0.13514,61,0.86486
,45,52,1
,46,93,0.29002,-6,0.67369,108,0.03629
,47,30,0.47297,48,0.18243,57,0.34459
,48,60,0.06273,75,0.93727
,49,-15,0.00167,-10,0.99833
,50,45,1
,51,56,1
,52,119,0.27096,-11,0.72904
,53,63,1
,54,65,1
,55,108,0.00619,92,0.99381
,56,69,1
,57,76,0.84644,60,0.15356
,58,-2,1
,59,-13,0.00062,-4,0.99938
,60,76,0.48156,75,0.44902,-7,0.06941
,61,62,1
,62,-8,0.0008,-3,0.9992
,63,85,1
,64,-8,1
,65,-7,0.78099,75,0.21901
,66,-13,0.00058,-12,0.99942
,67,88,1
,68,80,0.86957,85,0.13043
,69,65,1
,70,128,1
,71,85,1
,72,-8,0.69316,64,0.30464,-12,0.00221
,73,97,0.61889,74,0.38111
,74,97,1
,75,-7,1
,76,-7,1
,77,62,1
,78,111,1
,79,83,0.0044,153,0.9956
,80,112,0.27599,105,0.2736,136,0.45042
,81,69,0.47619,95,0.52381
,82,120,0.87169,170,0.12831
,83,153,1
,84,-13,0.99916,-15,0.00084
,85,105,1
,86,148,1
,87,186,1
,88,46,1
,89,103,1
,90,146,1
,91,165,0.46009,170,0.53991
,92,108,1
,93,-6,1
,94,95,1
