@T,climate  
descr,relative humidity  
unit,%  
 missing_value,-9999 
 date_start, 01.08.2002  
 date_end,   01.10.2003  
 date_format,dd.MM.yyyy  

@H,date,rehum[1]
name,-,Drake
ID,-,1
elevation,-,1572
x,-,512701
y,-,4495474
,25.02.2003,85.44
,26.02.2003,89.55
,27.02.2003,96.34
,28.02.2003,95.13
,01.03.2003,80.46
,02.03.2003,70.62
,03.03.2003,49.64
,04.03.2003,90.79
,05.03.2003,71.79
,06.03.2003,43.54
,07.03.2003,56.2
,08.03.2003,49.65
,09.03.2003,54.16
,10.03.2003,40.17
,11.03.2003,36.46
,12.03.2003,34.81
,13.03.2003,31.79
,14.03.2003,25.55
,15.03.2003,22.7
,16.03.2003,37.03
,17.03.2003,85.59
,18.03.2003,99
,19.03.2003,93.34
,20.03.2003,83.15
,21.03.2003,82.7
,22.03.2003,59.06
,23.03.2003,52.86
,24.03.2003,93.86
,25.03.2003,63
,26.03.2003,58.52
,27.03.2003,66.17
,28.03.2003,56.04
,29.03.2003,59.94
,30.03.2003,53.68
,31.03.2003,38.07
,01.04.2003,24.75
,02.04.2003,24.32
,03.04.2003,49.33
,04.04.2003,36.96
,05.04.2003,84.58
,06.04.2003,97.48
,07.04.2003,86.69
,08.04.2003,66.03
,09.04.2003,36.21
,10.04.2003,25.21
,11.04.2003,43.48
,12.04.2003,29.63
,13.04.2003,22.04
,14.04.2003,22.75
,15.04.2003,49.95
,16.04.2003,46.77
,17.04.2003,68.77
,18.04.2003,66.97
,19.04.2003,68.7
,20.04.2003,56.9
,21.04.2003,62.49
,22.04.2003,74.55
,23.04.2003,98.7
,24.04.2003,97.68
,25.04.2003,94.41
,26.04.2003,69.32
,27.04.2003,55.73
,28.04.2003,84.26
,29.04.2003,85.16
,30.04.2003,82.97
,01.05.2003,79.2
,02.05.2003,70.64
,03.05.2003,53.97
,04.05.2003,42.88
,05.05.2003,39.73
,06.05.2003,58.9
,07.05.2003,66.65
,08.05.2003,86.14
,09.05.2003,93.43
,10.05.2003,95.11
,11.05.2003,83.15
,12.05.2003,64.98
,13.05.2003,46.22
,14.05.2003,46.86
,15.05.2003,70.26
,16.05.2003,68.77
,17.05.2003,56.24
,18.05.2003,59.78
,19.05.2003,66.69
,20.05.2003,60.53
,21.05.2003,52.75
,22.05.2003,51.53
,23.05.2003,75.45
,24.05.2003,81.7
,25.05.2003,85.67
,26.05.2003,83.78
,27.05.2003,68.63
,28.05.2003,72.05
,29.05.2003,43.1
,30.05.2003,59.94
,31.05.2003,90.53
,01.06.2003,72.6
,02.06.2003,73.46
,03.06.2003,83.12
,04.06.2003,95.84
,05.06.2003,81.21
,06.06.2003,85.18
,07.06.2003,69.78
,08.06.2003,61.53
,09.06.2003,65.54
,10.06.2003,74.28
,11.06.2003,57.56
,12.06.2003,58.48
,13.06.2003,76.16
,14.06.2003,68.39
,15.06.2003,63.06
,16.06.2003,64.4
,17.06.2003,81.92
,18.06.2003,87.93
,19.06.2003,83.4
,20.06.2003,79.33
,21.06.2003,53.03
,22.06.2003,57.67
,23.06.2003,66.53
,24.06.2003,86.26
,25.06.2003,73.66
,26.06.2003,49.81
,27.06.2003,41.78
,28.06.2003,52.01
,29.06.2003,82.16
,30.06.2003,63.07
,01.07.2003,46.17
,02.07.2003,26.62
,03.07.2003,22.22
,04.07.2003,20.21
,05.07.2003,22.2
,06.07.2003,27.06
,07.07.2003,49.9
,08.07.2003,36.13
,09.07.2003,37.31
,10.07.2003,30.21
,11.07.2003,42.42
,12.07.2003,52.48
,13.07.2003,33.03
,14.07.2003,22.87
,15.07.2003,46.76
,16.07.2003,34.94
,17.07.2003,29.67
,18.07.2003,42.91
,19.07.2003,58.53
,20.07.2003,47.63
,21.07.2003,35.29
,22.07.2003,59.31
,23.07.2003,50.13
,24.07.2003,30
,25.07.2003,32.07
,26.07.2003,46.57
,27.07.2003,62.78
,28.07.2003,75.23
,29.07.2003,70.93
,30.07.2003,61.05
,31.07.2003,46.41
,01.08.2003,53.97
,02.08.2003,55.86
,03.08.2003,54.76
,04.08.2003,43.31
,05.08.2003,39.25
,06.08.2003,42.62
,07.08.2003,52.39
,08.08.2003,53.17
,09.08.2003,49.11
,10.08.2003,52.14
,11.08.2003,56.73
,12.08.2003,55.27
,13.08.2003,45.12
,14.08.2003,44.45
,15.08.2003,47.12
,16.08.2003,38.73
,17.08.2003,44.41
,18.08.2003,76.46
,19.08.2003,54.68
,20.08.2003,34.08
,21.08.2003,38.93
,22.08.2003,49.21
,23.08.2003,52.75
,24.08.2003,54.91
,25.08.2003,48.92
,26.08.2003,42.88
,27.08.2003,50.01
,28.08.2003,38.02
,29.08.2003,75.16
,30.08.2003,98.23
,31.08.2003,91.93
,01.09.2003,65.6
,02.09.2003,60.51
,03.09.2003,69.93
,04.09.2003,67.93
,05.09.2003,46.45
,06.09.2003,51.48
,07.09.2003,71.15
,08.09.2003,75.53
,09.09.2003,73.91
,10.09.2003,66.92
,11.09.2003,63.98
,12.09.2003,55.62
,13.09.2003,61.53
,14.09.2003,61.3
,15.09.2003,36.04
,16.09.2003,30.82
,17.09.2003,59.53
,18.09.2003,68.19
,19.09.2003,47.74
,20.09.2003,38.01
,21.09.2003,51.03
,22.09.2003,48.37
,23.09.2003,25.5
,24.09.2003,47.61
,25.09.2003,38.82
,26.09.2003,35.78
,27.09.2003,53.63
,28.09.2003,47.78
,29.09.2003,54.59
,30.09.2003,80.2
,01.10.2003,72.79
