@T,climate  
name,sunh  

missing_val,-9999 
date_start,01.08.2002  
date_end,01.10.2003  
date_format,dd.MM.yyyy  

tres,d  
unit,MJ_m2  

@H,date,sunh[0]
name,-,Drake
ID,-,1
elevation,-,1572
x,-,512701
y,-,4495474
,10.03.2003,18.5170104
,11.03.2003,20.2734504
,12.03.2003,21.0214872
,13.03.2003,21.6496728
,14.03.2003,19.6576632
,15.03.2003,21.149604
,16.03.2003,13.9399344
,17.03.2003,5.7528576
,18.03.2003,7.8688512
,19.03.2003,9.8794584
,20.03.2003,17.4900096
,21.03.2003,22.5010296
,22.03.2003,21.0173544
,23.03.2003,18.9943488
,24.03.2003,8.7656688
,25.03.2003,23.3110584
,26.03.2003,21.4533648
,27.03.2003,12.2103576
,28.03.2003,21.8273832
,29.03.2003,19.0253448
,30.03.2003,21.1144752
,31.03.2003,22.606416
,01.04.2003,17.0870616
,02.04.2003,18.5542056
,03.04.2003,18.8724312
,04.04.2003,21.7860552
,05.04.2003,11.7412848
,06.04.2003,23.7966624
,07.04.2003,14.5205928
,08.04.2003,25.3815912
,09.04.2003,27.421128
,10.04.2003,27.0305784
,11.04.2003,26.4044592
,12.04.2003,24.5550312
,13.04.2003,27.5182488
,14.04.2003,19.52748
,15.04.2003,15.3574848
,16.04.2003,28.0534464
,17.04.2003,22.761396
,18.04.2003,17.006472
,19.04.2003,20.5875432
,20.04.2003,21.4946928
,21.04.2003,25.5117744
,22.04.2003,19.155528
,23.04.2003,2.3928912
,24.04.2003,5.6474712
,25.04.2003,9.0219024
,26.04.2003,22.0815504
,27.04.2003,27.94806
,28.04.2003,13.1877648
,29.04.2003,18.215316
,30.04.2003,15.4856016
,01.05.2003,14.8408848
,02.05.2003,25.8671952
,03.05.2003,29.2994856
,04.05.2003,19.8601704
,05.05.2003,25.0220376
,06.05.2003,22.3419168
,07.05.2003,21.5484192
,08.05.2003,10.6171632
,09.05.2003,7.7820624
,10.05.2003,10.352664
,11.05.2003,25.3505952
,12.05.2003,28.846944
,13.05.2003,31.2212376
,14.05.2003,30.1033152
,15.05.2003,20.4904224
,16.05.2003,27.0615744
,17.05.2003,24.827796
,18.05.2003,18.1760544
,19.05.2003,7.7634648
,20.05.2003,17.0498664
,21.05.2003,28.7911512
,22.05.2003,26.0883
,23.05.2003,29.6879688
,24.05.2003,14.8202208
,25.05.2003,15.7501008
,26.05.2003,16.1013888
,27.05.2003,27.855072
,28.05.2003,28.0059192
,29.05.2003,26.563572
,30.05.2003,20.633004
,31.05.2003,16.148916
,01.06.2003,16.7461056
,02.06.2003,26.2990728
,03.06.2003,17.7255792
,04.06.2003,9.6645528
,05.06.2003,16.6076568
,06.06.2003,19.57914
,07.06.2003,27.6133032
,08.06.2003,30.8864808
,09.06.2003,17.2833696
,10.06.2003,25.5902976
,11.06.2003,20.0833416
,12.06.2003,23.2449336
,13.06.2003,20.5875432
,14.06.2003,23.8276584
,15.06.2003,25.9291872
,16.06.2003,22.9122432
,17.06.2003,22.6622088
,18.06.2003,13.9482
,19.06.2003,17.967348
