@T,B4D1D2D3D4,,,,
descr,average observed soil water content at probe B4 D1 D2 D3 D4 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1577,,,
x,,513649,,,
y,,4495037.6,,,
,23.01.2005,0.219006347,0.297673866,0.253198004,0.210658851
,24.01.2005,0.226336969,0.297561771,0.253243201,0.210520421
,25.01.2005,0.234286289,0.297540178,0.253311586,0.210411308
,26.01.2005,0.240186728,0.297853455,0.253431118,0.210300481
,27.01.2005,0.242306622,0.298343398,0.253677694,0.210211017
,28.01.2005,0.24414869,0.298890827,0.253975764,0.210142237
,29.01.2005,0.246506187,0.299792291,0.254378342,0.210100435
,30.01.2005,0.22291625,0.300949756,0.254948719,0.210100201
,31.01.2005,0.248608908,0.301921668,0.255631501,0.210128793
,01.02.2005,0.247581063,0.302180407,0.256174568,0.21022135
,02.02.2005,0.246690523,0.301773837,0.256383039,0.210342184
,03.02.2005,0.247409509,0.301642928,0.256337698,0.210456548
,04.02.2005,0.249388964,0.302462524,0.256434832,0.210539673
,05.02.2005,0.250392438,0.3036723,0.256884819,0.210591644
,06.02.2005,0.249695127,0.304464249,0.257445209,0.210690965
,07.02.2005,0.248041632,0.304331937,0.2233952,0.248048256
,08.02.2005,0.246981747,0.303811895,0.25771083,0.210930607
,09.02.2005,0.246358051,0.303377768,0.257465838,0.211006191
,10.02.2005,0.245714292,0.302958537,0.257164484,0.211034398
,11.02.2005,0.245222303,0.302598019,0.256842959,0.211035918
,12.02.2005,0.24559701,0.302445028,0.256585955,0.21101191
,13.02.2005,0.249181909,0.303478585,0.256526328,0.210963631
,14.02.2005,0.250621896,0.305314065,0.257116021,0.21095916
,15.02.2005,0.25061043,0.306542968,0.257907825,0.210967974
,16.02.2005,0.248413735,0.306448576,0.258491677,0.211047412
,17.02.2005,0.24690571,0.305756919,0.258546806,0.211165631
,18.02.2005,0.245671626,0.304836374,0.258276053,0.211272953
,19.02.2005,0.245165753,0.304109682,0.257851478,0.211333719
,20.02.2005,0.245896583,0.303847546,0.257501069,0.211318015
,21.02.2005,0.247490583,0.304426096,0.257408402,0.211267683
,22.02.2005,0.248939657,0.305412363,0.257710132,0.211222348
,23.02.2005,0.248646133,0.306091156,0.258189989,0.211194386
,24.02.2005,0.248485336,0.30632974,0.258563187,0.211225781
,25.02.2005,0.248769011,0.306471689,0.258813729,0.211282955
,26.02.2005,0.249247657,0.306870385,0.259086443,0.211346294
,27.02.2005,0.25036168,0.307451445,0.259441341,0.211438536
,28.02.2005,0.250903558,0.308277206,0.259951492,0.211574733
,01.03.2005,0.250383058,0.3086575,0.260492251,0.211789713
,02.03.2005,0.250396482,0.308794705,0.260884815,0.211935178
,03.03.2005,0.250361041,0.308997384,0.261204902,0.212078514
,04.03.2005,0.251091921,0.309305555,0.261530012,0.212229394
,05.03.2005,0.251843329,0.309923279,0.261976041,0.21244188
,06.03.2005,0.253437497,0.310780608,0.262551276,0.207350672
,07.03.2005,0.25432549,0.311907594,0.263367701,0.207518271
,08.03.2005,0.254072446,0.312773837,0.264255799,0.207732102
,09.03.2005,0.253030046,0.312822897,0.264960198,0.207981577
,10.03.2005,0.253746804,0.313068239,0.265443266,0.21355587
,11.03.2005,0.251916821,0.312978459,0.265938163,0.213839662
,12.03.2005,0.253302441,0.312725815,0.26620756,0.21411097
,13.03.2005,0.252960646,0.313596254,0.266735463,0.21437366
,14.03.2005,0.248943061,0.312896081,0.267220348,0.209221479
,15.03.2005,0.246006776,0.311099471,0.26694721,0.209457966
,16.03.2005,0.244314852,0.309222331,0.266212499,0.209630791
,17.03.2005,0.244637259,0.307816479,0.265397753,0.209711273
,18.03.2005,0.245078379,0.307541854,0.264899257,0.209708629
,19.03.2005,0.244563663,0.307117879,0.264674423,0.209639275
,20.03.2005,0.24658294,0.307093774,0.264486422,0.209577589
,21.03.2005,0.249979482,0.308181049,0.26473923,0.209502723
,22.03.2005,0.256406146,0.308646934,0.265242905,0.209484459
,23.03.2005,0.260985313,0.309338866,0.265625534,0.20951971
,24.03.2005,0.262688651,0.31023128,0.266105956,0.209606616
,25.03.2005,0.261745018,0.310361951,0.2663559,0.209716318
,26.03.2005,0.262128671,0.309967533,0.266073741,0.209840473
,27.03.2005,0.263969844,0.310352862,0.265615714,0.209908321
,28.03.2005,0.267670209,0.311948245,0.265523192,0.209929709
,29.03.2005,0.270125854,0.31446514,0.266087208,0.209910903
,30.03.2005,0.268680405,0.316072361,0.266987167,0.209971492
,31.03.2005,0.267440058,0.316495317,0.267523822,0.210103531
,01.04.2005,0.266327142,0.316464268,0.267757072,0.210306082
,02.04.2005,0.267641454,0.316828541,0.267847532,0.210450421
,03.04.2005,0.268641217,0.317830492,0.268253612,0.210591662
,04.04.2005,0.269837116,0.319000527,0.268943874,0.210741747
,05.04.2005,0.269691944,0.320449138,0.27000539,0.210923343
,06.04.2005,0.266723651,0.320245857,0.270947486,0.211177331
,07.04.2005,0.266325285,0.319540136,0.271392132,0.211482001
,08.04.2005,0.265957843,0.319650221,0.271933407,0.211779619
,09.04.2005,0.26381765,0.319217844,0.272564863,0.212070495
,10.04.2005,0.261772155,0.319086788,0.273040751,0.212407257
,11.04.2005,0.257122735,0.316839718,0.273150442,0.212706173
,12.04.2005,0.256324197,0.314026679,0.272509185,0.213039763
,13.04.2005,0.256524631,0.312854361,0.272122903,0.213338464
,14.04.2005,0.256449436,0.312526238,0.272232388,0.21355511
,15.04.2005,0.255955533,0.312272981,0.272672241,0.213736166
,16.04.2005,0.253526302,0.311542349,0.273265555,0.213956836
,17.04.2005,0.252491872,0.310008464,0.273581243,0.21421344
,18.04.2005,0.250541767,0.308369073,0.273878841,0.21450478
,19.04.2005,0.247973387,0.306975168,0.274306775,0.214831029
,20.04.2005,0.243878894,0.307129734,0.275165142,0.215259023
,21.04.2005,0.238925195,0.30537699,0.275466601,0.215687164
,22.04.2005,0.238800519,0.303072014,0.274849959,0.216090807
,23.04.2005,0.240911998,0.301656278,0.274146724,0.216418252
,24.04.2005,0.242264985,0.30164278,0.273803489,0.216647294
,25.04.2005,0.240857922,0.300666447,0.273635423,0.216819659
,26.04.2005,0.238943959,0.2987709,0.273084596,0.216963211
,27.04.2005,0.237449695,0.297352397,0.272615075,0.217149863
,28.04.2005,0.233388397,0.296937387,0.272629423,0.217415709
,29.04.2005,0.228362462,0.294349346,0.27204361,0.2176368
,30.04.2005,0.230146197,0.291598856,0.270629404,0.217809981
,01.05.2005,0.234264461,0.289806076,0.269077136,0.217818687
,02.05.2005,0.23685922,0.288765283,0.267486503,0.217625326
,03.05.2005,0.240004203,0.289423031,0.266406816,0.21736781
,04.05.2005,0.242678814,0.291106977,0.266017167,0.217032926
,05.05.2005,0.243720174,0.29259055,0.265987106,0.216728281
,06.05.2005,0.256551741,0.294025065,0.266274756,0.216551891
,07.05.2005,0.243397765,0.295762969,0.267209582,0.216579573
,08.05.2005,0.239639067,0.295269215,0.267637462,0.216721343
,09.05.2005,0.23656858,0.292705534,0.266982225,0.216893159
,10.05.2005,0.234559668,0.290543478,0.265925996,0.217023028
,11.05.2005,0.232007815,0.291101509,0.266448486,0.217351739
,12.05.2005,0.225698104,0.289669855,0.266701218,0.217687195
,13.05.2005,0.223042446,0.285893738,0.264883468,0.217805689
,14.05.2005,0.219199805,0.282440393,0.262650776,0.217746252
,15.05.2005,0.215618824,0.279893062,0.260950795,0.217575134
,16.05.2005,0.211512335,0.277704984,0.259530233,0.217271917
,17.05.2005,0.206211425,0.275838549,0.258481755,0.216975411
,18.05.2005,0.19850815,0.272760974,0.257109783,0.216658693
,19.05.2005,0.192785318,0.269379624,0.254920339,0.216335611
,20.05.2005,0.187476977,0.266707458,0.251626767,0.215891418
,21.05.2005,0.182104246,0.264603226,0.248944169,0.215374195
,22.05.2005,0.177214993,0.263028577,0.247301854,0.214951006
,23.05.2005,0.173153491,0.261609057,0.245451158,0.214562527
,24.05.2005,0.169151678,0.260378854,0.244048779,0.21428746
,25.05.2005,0.165563248,0.259014336,0.242794561,0.214132617
,26.05.2005,0.162426685,0.256970107,0.240952833,0.2138243
,27.05.2005,0.16012906,0.254887911,0.238653741,0.213407081
,28.05.2005,0.158025597,0.252961039,0.236232041,0.212897015
,29.05.2005,0.156831347,0.252284075,0.235135655,0.212621017
,30.05.2005,0.15020702,0.251722423,0.235907861,0.213286144
,31.05.2005,0.142320064,0.248973448,0.235778103,0.213986804
,01.06.2005,0.145097981,0.247370007,0.234661835,0.214352981
,02.06.2005,0.148164729,0.248013083,0.234262889,0.214617096
,03.06.2005,0.148282574,0.248043046,0.234414618,0.214851464
,04.06.2005,0.286503492,0.247201909,0.234331776,0.215145022
,05.06.2005,0.33877666,0.243779107,0.233865212,0.215484825
,06.06.2005,0.330848454,0.251385746,0.233157324,0.215648838
,07.06.2005,0.325083622,0.272931012,0.233307318,0.215668105
,08.06.2005,0.319225419,0.289346892,0.234047672,0.215687985
,09.06.2005,0.314510926,0.297752134,0.234870543,0.215795681
,10.06.2005,0.309888857,0.303328637,0.235739083,0.216000731
,11.06.2005,0.306844532,0.305012001,0.236205901,0.216303874
,12.06.2005,0.331880401,0.312096548,0.236142419,0.216560715
,13.06.2005,0.335226417,0.384379948,0.236162964,0.216889576
,14.06.2005,0.326874979,0.400375052,0.235506291,0.216997599
,15.06.2005,0.322677854,0.399424816,0.235152689,0.217051558
,16.06.2005,0.319244283,0.396888685,0.235490354,0.217094948
,17.06.2005,0.31625185,0.393248623,0.236337215,0.217158684
,18.06.2005,0.313347536,0.388575085,0.237631242,0.217289814
,19.06.2005,0.310885745,0.384104574,0.239359236,0.217531365
,20.06.2005,0.307166887,0.379033145,0.241459941,0.217867087
,21.06.2005,0.301156038,0.372756036,0.243607407,0.218288533
,22.06.2005,0.293628719,0.364965648,0.245458364,0.218721117
,23.06.2005,0.284183861,0.356479619,0.247048877,0.219165419
,24.06.2005,0.273326465,0.348683355,0.248374103,0.219652566
,25.06.2005,0.262709642,0.34164538,0.249328642,0.220077849
,26.06.2005,0.249866054,0.332399653,0.249866483,0.22027732
,27.06.2005,0.236923229,0.32711085,0.2503292,0.220345558
,28.06.2005,0.226135834,0.320967702,0.250583312,0.220275753
,29.06.2005,0.216197583,0.316134024,0.250850253,0.220178082
,30.06.2005,0.208216182,0.312222094,0.251002647,0.220013643
,01.07.2005,0.202789765,0.309553394,0.251052231,0.219897941
,02.07.2005,0.198824099,0.30758555,0.250972529,0.219610956
,03.07.2005,0.195731625,0.307374325,0.251572771,0.219535182
,04.07.2005,0.192009375,0.306817973,0.25240033,0.219746781
,05.07.2005,0.191248869,0.306059814,0.252683831,0.219908149
,06.07.2005,0.191490956,0.306351295,0.253027197,0.220082719
,07.07.2005,0.192102384,0.307415185,0.253647237,0.220263203
,08.07.2005,0.19241034,0.308544678,0.254526096,0.220478248
,09.07.2005,0.193397699,0.309902955,0.255507435,0.220725069
,10.07.2005,0.194358506,0.311517225,0.256640346,0.221034752
,11.07.2005,0.194537054,0.312778308,0.257823974,0.22140433
,12.07.2005,0.19525431,0.313783576,0.258898941,0.221813082
,13.07.2005,0.196650271,0.314973034,0.259955402,0.222248783
,14.07.2005,0.19815834,0.31617655,0.261044548,0.222720642
,15.07.2005,0.198579975,0.317028102,0.262058635,0.223288816
,16.07.2005,0.19900214,0.317727889,0.262931843,0.223878687
,17.07.2005,0.198827535,0.318107698,0.263690188,0.224410107
,18.07.2005,0.197347608,0.317981725,0.264236041,0.224940772
,19.07.2005,0.197399763,0.317925876,0.264577906,0.225457212
,20.07.2005,0.198614263,0.318361618,0.264932909,0.225940631
,21.07.2005,0.198977989,0.318919814,0.265440612,0.226372633
,22.07.2005,0.200765628,0.319725739,0.266006956,0.226799609
,23.07.2005,0.201627595,0.320835481,0.266753182,0.227229019
,24.07.2005,0.201656599,0.32170882,0.267540594,0.227686076
,25.07.2005,0.199207897,0.321953405,0.268248013,0.228149794
,26.07.2005,0.191534174,0.320401851,0.268482078,0.228649702
,27.07.2005,0.184502741,0.317120098,0.267845614,0.229111464
,28.07.2005,0.184978297,0.31542543,0.280300985,0.22944723
,29.07.2005,0.186021336,0.315307631,0.266125998,0.229632818
,30.07.2005,0.187938484,0.315965086,0.266020013,0.229745201
,31.07.2005,0.190117607,0.317022696,0.266312902,0.229855559
,01.08.2005,0.192656042,0.318020767,0.266815536,0.230000815
,02.08.2005,0.193431139,0.318754542,0.26738987,0.230184441
,03.08.2005,0.192842617,0.319249892,0.267921183,0.230438228
,04.08.2005,0.188016319,0.319021115,0.268325186,0.230701281
,05.08.2005,0.180552324,0.316368465,0.268101534,0.23101167
,06.08.2005,0.179697723,0.314337282,0.267141526,0.231251226
,07.08.2005,0.179426867,0.313742966,0.266428348,0.23137373
,08.08.2005,0.179696068,0.313975762,0.266152396,0.231422487
,09.08.2005,0.17929561,0.314670379,0.266305267,0.231419234
,10.08.2005,0.177548396,0.314519705,0.266484044,0.231478682
,11.08.2005,0.176806786,0.313842629,0.266426617,0.23155812
,12.08.2005,0.175214239,0.313350638,0.266253595,0.231646427
,13.08.2005,0.172745538,0.3119818,0.265926247,0.230781789
,14.08.2005,0.169281062,0.309286469,0.26513949,0.231770003
,15.08.2005,0.168802649,0.307024237,0.263913979,0.231747589
,16.08.2005,0.169933181,0.306437974,0.275816356,0.231638521
,17.08.2005,0.170316305,0.306652694,0.262487675,0.230513884
,18.08.2005,0.170901309,0.307060686,0.262382672,0.23131267
,19.08.2005,0.171283328,0.307617573,0.262508438,0.231180047
,20.08.2005,0.171819325,0.308238515,0.262757801,0.231102793
,21.08.2005,0.172292409,0.309002559,0.263128504,0.231079268
,22.08.2005,0.171798401,0.309440615,0.263560652,0.231111076
,23.08.2005,0.171358726,0.309482034,0.263881132,0.231185601
,24.08.2005,0.170833841,0.309345252,0.26406542,0.231293476
,25.08.2005,0.171347248,0.309504635,0.264203872,0.231388762
,26.08.2005,0.170275805,0.309471874,0.264438129,0.231514048
,27.08.2005,0.170226589,0.309247963,0.264499696,0.231640499
,28.08.2005,0.169569227,0.308965175,0.264549617,0.23175958
,29.08.2005,0.169524129,0.308687915,0.264537025,0.231885646
,30.08.2005,0.169569593,0.308589345,0.264549374,0.230891023
,31.08.2005,0.169362206,0.308753682,0.264681954,0.232116049
,01.09.2005,0.167216636,0.307978224,0.264790068,0.232276085
,02.09.2005,0.166889027,0.306836037,0.264486706,0.23243528
,03.09.2005,0.166837823,0.306333142,0.264152487,0.232561834
,04.09.2005,0.166796513,0.306086277,0.263962006,0.232653876
,05.09.2005,0.166156304,0.305714581,0.263878684,0.232748218
,06.09.2005,0.164630344,0.305130631,0.263815847,0.232848225
,07.09.2005,0.16325442,0.303658399,0.263500962,0.232965005
,08.09.2005,0.163649196,0.30305569,0.262988763,0.233050175
,09.09.2005,0.164069068,0.303021135,0.262731928,0.233101683
,10.09.2005,0.16374302,0.303179821,0.26271729,0.233152303
,11.09.2005,0.163036522,0.302964393,0.26272318,0.233227794
,12.09.2005,0.162625485,0.302578259,0.262641885,0.233325465
,13.09.2005,0.160970961,0.302198354,0.262610665,0.233410264
,14.09.2005,0.158070435,0.300632549,0.262359408,0.233507086
,15.09.2005,0.156174052,0.29840678,0.261541585,0.233593976
,16.09.2005,0.155422137,0.296836801,0.260478052,0.233572705
,17.09.2005,0.155150934,0.295648835,0.259552798,0.233476544
,18.09.2005,0.15521366,0.295248193,0.25883612,0.23333541
,19.09.2005,0.15457224,0.294858473,0.258381031,0.233176013
,20.09.2005,0.15393773,0.294311894,0.257924245,0.233016223
,21.09.2005,0.153981018,0.29392619,0.257505909,0.232872767
,22.09.2005,0.152804062,0.293754083,0.257321688,0.232738848
,23.09.2005,0.150389331,0.292317413,0.256914519,0.23261987
,24.09.2005,0.150050843,0.271609968,0.262939524,0.146125231
,25.09.2005,0.165483591,0.2706855,0.262190871,0.146023707
,26.09.2005,0.164703024,0.269921066,0.261437182,0.145895174
,27.09.2005,0.163946943,0.268999969,0.260750825,0.145766703
,28.09.2005,0.146871068,0.288019954,0.25367198,0.23167769
,29.09.2005,0.159876523,0.266716099,0.25948179,0.145487454
,30.09.2005,0.143731794,0.284575324,0.25197861,0.231215439
,01.10.2005,0.145299934,0.284276132,0.251039042,0.230925182
,02.10.2005,0.14613436,0.284991092,0.250690472,0.230607517
,03.10.2005,0.146077627,0.285600554,0.250700749,0.230304256
,04.10.2005,0.144934852,0.285637101,0.250819453,0.230088459
,05.10.2005,0.139793324,0.283777329,0.250605866,0.229909089
,06.10.2005,0.13617619,0.280035069,0.249404232,0.229746388
,07.10.2005,0.134463681,0.276877759,0.247619683,0.229504263
,08.10.2005,0.134580944,0.274852073,0.245871634,0.229156232
,09.10.2005,0.135188287,0.274410354,0.244623014,0.228676232
,10.10.2005,0.130127175,0.272691934,0.243787807,0.228185439
,11.10.2005,0.142764215,0.26770008,0.24200195,0.227689039
,12.10.2005,0.173098811,0.264954557,0.239661049,0.227123613
,13.10.2005,0.190482445,0.263840404,0.237973902,0.22646529
,14.10.2005,0.200047914,0.263300493,0.236818338,0.225752688
,15.10.2005,0.2065729,0.26351111,0.236123547,0.225044963
,16.10.2005,0.211349923,0.263815593,0.235786061,0.224413492
,17.10.2005,0.216085859,0.264510763,0.235672249,0.223867603
,18.10.2005,0.219551316,0.265437335,0.235854845,0.22340644
,19.10.2005,0.22142908,0.266131691,0.236159604,0.223010634
,20.10.2005,0.223777281,0.264877032,0.236194175,0.222719412
,21.10.2005,0.231333364,0.263588499,0.235609828,0.222444317
,22.10.2005,0.235955013,0.262861367,0.235038846,0.222188647
,23.10.2005,0.238669455,0.261508562,0.234383428,0.221864549
,24.10.2005,0.239380992,0.2596206,0.233488296,0.221533236
,25.10.2005,0.242478576,0.25800862,0.232346678,0.221168606
,26.10.2005,0.245210362,0.257927781,0.231518125,0.220764981
,27.10.2005,0.246538135,0.257902497,0.231096872,0.220300333
,28.10.2005,0.247191944,0.257339214,0.230712647,0.219920103
,29.10.2005,0.248792638,0.257268738,0.230327671,0.219545048
,30.10.2005,0.247555851,0.257024489,0.230101738,0.219192727
,31.10.2005,0.244948811,0.255234563,0.229561689,0.21885388
,01.11.2005,0.244520961,0.253218004,0.22848762,0.218536896
,02.11.2005,0.245521366,0.252666606,0.227492516,0.21815821
,03.11.2005,0.246180309,0.252652358,0.226922671,0.217721701
,04.11.2005,0.245724186,0.252749686,0.226595304,0.217306753
,05.11.2005,0.244765118,0.25221334,0.226256612,0.216927254
,06.11.2005,0.242143385,0.250946043,0.225733599,0.214641149
,07.11.2005,0.242018283,0.249420586,0.22483107,0.214289154
,08.11.2005,0.24302785,0.249253135,0.224039506,0.213891391
,09.11.2005,0.243218969,0.249803344,0.223704625,0.213471571
,10.11.2005,0.241625262,0.249362046,0.223484394,0.213087336
,11.11.2005,0.242668439,0.249264888,0.223084809,0.21273625
,12.11.2005,0.243103407,0.250150561,0.222991624,0.21239573
,13.11.2005,0.23976696,0.249953188,0.223051179,0.212096166
,14.11.2005,0.236907832,0.248015283,0.22250615,0.211830621
,15.11.2005,0.233828558,0.245878517,0.221455794,0.213499429
,16.11.2005,0.230229197,0.242873246,0.219993404,0.213167564
,17.11.2005,0.228517202,0.240125574,0.218166662,0.212738025
,18.11.2005,0.227720264,0.238352518,0.216419764,0.212205911
,19.11.2005,0.228474234,0.237446395,0.214984402,0.21159532
,20.11.2005,0.228470854,0.237516572,0.214040225,0.208952538
,21.11.2005,0.229265851,0.237625262,0.213403771,0.210338715
,22.11.2005,0.229893456,0.238390648,0.213047779,0.209755147
,23.11.2005,0.229430408,0.23884258,0.212914917,0.207226449
,24.11.2005,0.229148877,0.238970817,0.212732822,0.206772382
,25.11.2005,0.228451095,0.239004733,0.212503131,0.208387437
,26.11.2005,0.227794034,0.238790943,0.212213007,0.208027321
,27.11.2005,0.227852787,0.238795204,0.211846306,0.207681007
,28.11.2005,0.226066392,0.238545047,0.211540573,0.207337642
,29.11.2005,0.223973016,0.237389146,0.210978313,0.207007732
,30.11.2005,0.222536889,0.235970635,0.210127432,0.206655174
,01.12.2005,0.221703539,0.234939155,0.209163354,0.20627215
,02.12.2005,0.220867098,0.233981253,0.208216208,0.205845746
,03.12.2005,0.221009504,0.233451313,0.20735958,0.205383485
,04.12.2005,0.220669006,0.233442684,0.206714825,0.204915951
,05.12.2005,0.219577046,0.232949988,0.206158492,0.204452717
,06.12.2005,0.218758175,0.232272153,0.20549279,0.204024062
,07.12.2005,0.217637909,0.23163213,0.204779261,0.203568693
,08.12.2005,0.215041948,0.230897556,0.204043925,0.203095777
,09.12.2005,0.208737967,0.230008534,0.203266857,0.202625857
,10.12.2005,0.204096665,0.229345194,0.202472359,0.202140994
,11.12.2005,0.200894321,0.228939063,0.201765185,0.201651833
,12.12.2005,0.198901468,0.228664838,0.20116245,0.20115529
,13.12.2005,0.200359436,0.228546042,0.200624285,0.20069054
,14.12.2005,0.203289509,0.228603987,0.200191799,0.200224236
,15.12.2005,0.197563733,0.228638954,0.199861432,0.199782999
,16.12.2005,0.185797366,0.228494352,0.199538918,0.199362067
,17.12.2005,0.171005391,0.228211901,0.199146824,0.198975129
,18.12.2005,0.159706125,0.227844134,0.198701597,0.198587256
,19.12.2005,0.152690721,0.227530786,0.198257326,0.198198862
,20.12.2005,0.149110608,0.227300586,0.19783632,0.197811264
,21.12.2005,0.152765224,0.227200081,0.197454814,0.197465148
,22.12.2005,0.162362581,0.227326803,0.197160772,0.197093397
,23.12.2005,0.17354991,0.227524348,0.196949904,0.196731047
,24.12.2005,0.184843158,0.227762397,0.196822203,0.196414786
,25.12.2005,0.194369184,0.228072363,0.196727795,0.196120478
,26.12.2005,0.200813215,0.228352642,0.196703038,0.195833752
,27.12.2005,0.206996026,0.22866138,0.196679349,0.195590106
,28.12.2005,0.212476256,0.228951349,0.196687773,0.195363408
,29.12.2005,0.216070121,0.229220162,0.196709727,0.195165457
,30.12.2005,0.217409283,0.229559899,0.196748311,0.194968561
,31.12.2005,0.223086706,0.229904116,0.196817499,0.194795259
,01.01.2006,0.218486303,0.230246341,0.196888373,0.194640659
,02.01.2006,0.219100553,0.230992087,0.197034888,0.194505397
,03.01.2006,0.219388933,0.231506343,0.197266357,0.194386868
,04.01.2006,0.219516721,0.232069687,0.19749654,0.194307964
,05.01.2006,0.219300298,0.232284564,0.197686455,0.194232679
,06.01.2006,0.219641959,0.232424212,0.197775213,0.194198165
,07.01.2006,0.220998047,0.233004693,0.19788496,0.194147888
,08.01.2006,0.222935566,0.234356334,0.198217204,0.194082026
,09.01.2006,0.222091185,0.235439008,0.198817519,0.194070732
,10.01.2006,0.220746266,0.235169012,0.19916319,0.194085766
,11.01.2006,-9999,-9999,-9999,-9999
,12.01.2006,-9999,-9999,-9999,-9999
,13.01.2006,-9999,-9999,-9999,-9999
,14.01.2006,-9999,-9999,-9999,-9999
,15.01.2006,-9999,-9999,-9999,-9999
,16.01.2006,-9999,-9999,-9999,-9999
,17.01.2006,-9999,-9999,-9999,-9999
,18.01.2006,0.220195019,0.235702559,0.200599197,0.19403707
,19.01.2006,0.221412458,0.236117813,0.200190051,0.19400578
,20.01.2006,0.220494281,0.236422654,0.199319627,0.193941143
,21.01.2006,0.219481729,0.23599613,0.199243126,0.193869878
,22.01.2006,0.218880728,0.235439222,0.19897832,0.193808786
,23.01.2006,0.218516077,0.235067301,0.198618421,0.193716375
,24.01.2006,0.218174256,0.234773143,0.198277787,0.193604412
,25.01.2006,-9999,-9999,-9999,-9999
,26.01.2006,-9999,-9999,-9999,-9999
,27.01.2006,-9999,-9999,-9999,-9999
,28.01.2006,-9999,-9999,-9999,-9999
,29.01.2006,-9999,-9999,-9999,-9999
,30.01.2006,-9999,-9999,-9999,-9999
,31.01.2006,-9999,-9999,-9999,-9999
,01.02.2006,-9999,-9999,-9999,-9999
,02.02.2006,-9999,-9999,-9999,-9999
,03.02.2006,-9999,-9999,-9999,-9999
,04.02.2006,-9999,-9999,-9999,-9999
,05.02.2006,-9999,-9999,-9999,-9999
,06.02.2006,-9999,-9999,-9999,-9999
,07.02.2006,-9999,-9999,-9999,-9999
,08.02.2006,-9999,-9999,-9999,-9999
,09.02.2006,-9999,-9999,-9999,-9999
,10.02.2006,-9999,-9999,-9999,-9999
,11.02.2006,-9999,-9999,-9999,-9999
,12.02.2006,-9999,-9999,-9999,-9999
,13.02.2006,-9999,-9999,-9999,-9999
,14.02.2006,-9999,-9999,-9999,-9999
,15.02.2006,-9999,-9999,-9999,-9999
,16.02.2006,-9999,-9999,-9999,-9999
,17.02.2006,-9999,-9999,-9999,-9999
,18.02.2006,-9999,-9999,-9999,-9999
,19.02.2006,-9999,-9999,-9999,-9999
,20.02.2006,-9999,-9999,-9999,-9999
,21.02.2006,-9999,-9999,-9999,-9999
,22.02.2006,-9999,-9999,-9999,-9999
,23.02.2006,-9999,-9999,-9999,-9999
,24.02.2006,-9999,-9999,-9999,-9999
,25.02.2006,-9999,-9999,-9999,-9999
,26.02.2006,-9999,-9999,-9999,-9999
,27.02.2006,-9999,-9999,-9999,-9999
,28.02.2006,-9999,-9999,-9999,-9999
,01.03.2006,-9999,-9999,-9999,-9999
,02.03.2006,-9999,-9999,-9999,-9999
,03.03.2006,0.216558502,0.22058162,0.15185154,0.160027956
,04.03.2006,0.217704415,0.222164204,0.152664004,0.160187001
,05.03.2006,0.218005843,0.223408151,0.153335918,0.16039315
,06.03.2006,-9999,-9999,-9999,-9999
,07.03.2006,0.204855693,0.211311607,0.169673662,0.161154276
,08.03.2006,0.203552097,0.212299921,0.170704016,0.161466981
,09.03.2006,0.199618248,0.211950722,0.171351426,0.16179384
,10.03.2006,0.197505545,0.210597658,0.171334833,0.162131546
,11.03.2006,0.194595437,0.208955333,0.170916159,0.16240152
,12.03.2006,0.193169214,0.207430759,0.170209537,0.162578602
,13.03.2006,0.192265566,0.206496977,0.169534966,0.162646816
,14.03.2006,0.191475469,0.205785626,0.168958967,0.162639352
,15.03.2006,0.191653695,0.205364989,0.168486643,0.162573113
,16.03.2006,0.192384211,0.205558938,0.16820815,0.162482434
,17.03.2006,0.19354092,0.213990832,0.168193752,0.162379613
,18.03.2006,0.193932983,0.207144258,0.168429171,0.162310806
,19.03.2006,0.193561324,0.207840186,0.168743698,0.162297724
,20.03.2006,0.191993514,0.207808031,0.16896459,0.162320011
,21.03.2006,0.190479464,0.207036445,0.168844005,0.162348551
,22.03.2006,0.189623528,0.206341926,0.16849875,0.162366668
,23.03.2006,0.189222377,0.205840108,0.168120926,0.162332705
,24.03.2006,0.190763908,0.206151467,0.167871764,0.162272405
,25.03.2006,0.192595973,0.207272542,0.167985081,0.162186274
,26.03.2006,0.194701356,0.208831189,0.168452614,0.162130316
,27.03.2006,0.195370923,0.2102641,0.169126666,0.162135392
,28.03.2006,0.197064066,0.211639219,0.16980964,0.16221388
,29.03.2006,0.199287512,0.213335276,0.170603805,0.16234439
,30.03.2006,0.200568404,0.215240755,0.171567367,0.162519985
,31.03.2006,0.200821379,0.216579806,0.172548842,0.162761945
,01.04.2006,0.201780306,0.217718675,0.173373158,0.163063732
,02.04.2006,0.202074761,0.218898628,0.174166403,0.163371613
,03.04.2006,0.201311915,0.219377195,0.174835579,0.163706766
,04.04.2006,0.202346417,0.219937889,0.175291314,0.164047831
,05.04.2006,0.204742683,0.22115098,0.175821112,0.164364761
,06.04.2006,0.206493294,0.22325152,0.17667298,0.164666108
,07.04.2006,0.205248003,0.224249178,0.177648609,0.165015767
,08.04.2006,0.20424963,0.22437632,0.178219815,0.165384707
