@T,B4D1D2D3D4,,,,
descr,average observed soil water content at probe B4 D1 D2 D3 D4 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1577,,,
x,,513649,,,
y,,4495037.6,,,
,23.12.2002,0.126737654,0.192727598,0.174144018,0.191502001
,24.12.2002,0.125361778,0.192016326,0.173674057,0.191214017
,25.12.2002,0.123788362,0.190931367,0.173114178,0.19091171
,26.12.2002,0.121963154,0.189783407,0.172437484,0.190579317
,27.12.2002,0.120721193,0.188720893,0.171663903,0.190219648
,28.12.2002,0.122288351,0.188285232,0.170967101,0.189830528
,29.12.2002,0.123842577,0.188460839,0.170544341,0.18940951
,30.12.2002,0.125489821,0.188835031,0.170364125,0.189006313
,31.12.2002,0.126036062,0.18935559,0.170382338,0.188654575
,01.01.2003,0.126673752,0.189648816,0.170442417,0.188360848
,02.01.2003,0.127003199,0.190116839,0.170553718,0.188115127
,03.01.2003,0.127516582,0.190292769,0.170673936,0.18791359
,04.01.2003,0.129586374,0.191170894,0.170840186,0.187758036
,05.01.2003,0.130530396,0.192249139,0.171267273,0.18762719
,06.01.2003,0.131353497,0.193143227,0.171754202,0.187548927
,07.01.2003,0.131134921,0.19368245,0.172214292,0.187527465
,08.01.2003,0.139463486,0.190770087,0.156759343,0.173386388
,09.01.2003,0.139926102,0.191512838,0.157097325,0.173417909
,10.01.2003,0.13761948,0.191229731,0.157390936,0.173458722
,11.01.2003,0.134573402,0.18968229,0.1572198,0.173513851
,12.01.2003,0.133417711,0.188151912,0.156635853,0.173501216
,13.01.2003,0.133645127,0.187297406,0.15600988,0.173405111
,14.01.2003,0.134766334,0.187143012,0.155559766,0.173238514
,15.01.2003,0.135517332,0.187484986,0.155375848,0.173042986
,16.01.2003,0.135193096,0.18758876,0.155351829,0.172850643
,17.01.2003,0.135142436,0.18747041,0.15528874,0.172686588
,18.01.2003,0.134492021,0.1873123,0.155203851,0.17254937
,19.01.2003,0.134449455,0.186916733,0.155036551,0.1724057
,20.01.2003,0.135730454,0.18705214,0.154883588,0.172264399
,21.01.2003,0.136930513,0.187755361,0.15493912,0.172121305
,22.01.2003,0.136469866,0.188179788,0.155154698,0.172005591
,23.01.2003,0.134675007,0.187651721,0.155215479,0.171921574
,24.01.2003,0.134662964,0.186988243,0.154996069,0.171847866
,25.01.2003,0.135553981,0.186951385,0.154791359,0.171762726
,26.01.2003,0.136352465,0.187365272,0.154767599,0.171645182
,27.01.2003,0.137921025,0.187836787,0.154871684,0.171526656
,28.01.2003,0.140469532,0.189326954,0.155185215,0.171450455
,29.01.2003,0.140300926,0.190419038,0.155802025,0.171404867
,30.01.2003,0.140249225,0.190691319,0.156249882,0.171434077
,31.01.2003,0.141458167,0.191153982,0.156556006,0.171498524
,01.02.2003,0.143520827,0.192133654,0.156950583,0.171573833
,02.02.2003,0.145807035,0.193902217,0.1575805,0.171662104
,03.02.2003,0.143629347,0.194547697,0.15835317,0.1717883
,04.02.2003,0.140335504,0.193328502,0.158603952,0.171965265
,05.02.2003,0.138540033,0.191597292,0.158235688,0.172145415
,06.02.2003,0.137378996,0.190364618,0.157675556,0.172241046
,07.02.2003,0.135473183,0.189120538,0.157091451,0.172236592
,08.02.2003,0.133634445,0.187692466,0.156421137,0.172157204
,09.02.2003,0.133699579,0.186660309,0.15568304,0.172010674
,10.02.2003,0.132904774,0.186065991,0.155117322,0.171808939
,11.02.2003,0.13277536,0.185418835,0.154606511,0.171565874
,12.02.2003,0.133023937,0.18510548,0.154164322,0.171309215
,13.02.2003,0.133817174,0.18504899,0.153863801,0.17105203
,14.02.2003,0.135161151,0.185301051,0.153701691,0.170790475
,15.02.2003,0.136816562,0.186113364,0.153731653,0.170580456
,16.02.2003,0.137360753,0.186803667,0.153967003,0.170397262
,17.02.2003,0.13823361,0.18740377,0.154240242,0.170270129
,18.02.2003,0.139362416,0.188286084,0.154562644,0.17021201
,19.02.2003,0.140109023,0.189069801,0.154990249,0.170185179
,20.02.2003,0.139381302,0.189432114,0.155380766,0.170204403
,21.02.2003,0.131819773,0.19258769,0.171352057,0.184296282
,22.02.2003,0.132181494,0.192875596,0.171487446,0.184344984
,23.02.2003,0.131204486,0.192895163,0.171641679,0.184393439
,24.02.2003,0.128131419,0.191701223,0.171552785,0.184437069
,25.02.2003,0.125653185,0.18988064,0.170965814,0.184450125
,26.02.2003,0.125237456,0.18851393,0.170161994,0.184369321
,27.02.2003,0.126255563,0.188022398,0.169492384,0.184209378
,28.02.2003,0.12705996,0.188130464,0.1691283,0.183983422
,01.03.2003,0.127228235,0.188326953,0.168992932,0.183751966
,02.03.2003,0.127353107,0.188321956,0.168906826,0.183550578
,03.03.2003,0.128669488,0.188635469,0.168854719,0.183379336
,04.03.2003,0.12973563,0.189553536,0.169035278,0.183240893
,05.03.2003,0.12841159,0.18955822,0.169295564,0.183141072
,06.03.2003,0.128848674,0.189272192,0.169276175,0.183084508
,07.03.2003,0.130833658,0.189918518,0.169313242,0.183027451
,08.03.2003,0.133492353,0.191367614,0.169699661,0.182973981
,09.03.2003,0.135230983,0.193202789,0.170454155,0.182971473
,10.03.2003,0.136223657,0.190970195,0.171289093,0.183044732
,11.03.2003,0.138827839,0.195895779,0.17208466,0.183182159
,12.03.2003,0.141443955,0.197895095,0.173083446,0.183373387
,13.03.2003,0.143725706,0.20000982,0.174277269,0.183627878
,14.03.2003,0.146011527,0.20201272,0.17554184,0.183950453
,15.03.2003,0.149231566,0.204221864,0.176853859,0.184323202
,16.03.2003,0.150310368,0.206485477,0.178346396,0.184773855
,17.03.2003,0.150441046,0.20769213,0.179663501,0.185293952
,18.03.2003,0.146252938,0.207374855,0.180587438,0.18585263
,19.03.2003,0.141625223,0.204659604,0.180572595,0.186412721
,20.03.2003,0.140626424,0.202210598,0.179758179,0.186849683
,21.03.2003,0.143481311,0.201863348,0.179025208,0.187112258
,22.03.2003,0.145869847,0.203072291,0.179001409,0.187243487
,23.03.2003,0.147303606,0.20399068,0.179385265,0.187343676
,24.03.2003,0.14929795,0.205411757,0.179910467,0.187482078
,25.03.2003,0.146891425,0.205016345,0.180442923,0.187654292
,26.03.2003,0.148627299,0.204646457,0.180427452,0.187874025
,27.03.2003,0.149473202,0.205347776,0.18059308,0.18806389
,28.03.2003,0.146158236,0.204130544,0.180718856,0.188236193
,29.03.2003,0.144703531,0.202331142,0.180191862,0.188399692
,30.03.2003,0.144493554,0.200728194,0.179431161,0.188470963
