@T,A1A2A3,,,,
descr,average observed soil water content at probes A1 A2 A3 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,18.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1570.333333,,,
x,,513651,,,
y,,4495344.667,,,
,06.01.2003,0.228590799,0.179360301,0.126396869,0.116503881
,07.01.2003,0.228249789,0.179843929,0.126738005,0.11667748
,08.01.2003,-9999,-9999,-9999,-9999
,09.01.2003,-9999,-9999,-9999,-9999
,10.01.2003,-9999,-9999,-9999,-9999
,11.01.2003,-9999,-9999,-9999,-9999
,12.01.2003,-9999,-9999,-9999,-9999
,13.01.2003,-9999,-9999,-9999,-9999
,14.01.2003,-9999,-9999,-9999,-9999
,15.01.2003,-9999,-9999,-9999,-9999
,16.01.2003,-9999,-9999,-9999,-9999
,17.01.2003,-9999,-9999,-9999,-9999
,18.01.2003,-9999,-9999,-9999,-9999
,19.01.2003,-9999,-9999,-9999,-9999
,20.01.2003,-9999,-9999,-9999,-9999
,21.01.2003,-9999,-9999,-9999,-9999
,22.01.2003,-9999,-9999,-9999,-9999
,23.01.2003,-9999,-9999,-9999,-9999
,24.01.2003,-9999,-9999,-9999,-9999
,25.01.2003,-9999,-9999,-9999,-9999
,26.01.2003,-9999,-9999,-9999,-9999
,27.01.2003,-9999,-9999,-9999,-9999
,28.01.2003,-9999,-9999,-9999,-9999
,29.01.2003,-9999,-9999,-9999,-9999
,30.01.2003,-9999,-9999,-9999,-9999
,31.01.2003,-9999,-9999,-9999,-9999
,01.02.2003,-9999,-9999,-9999,-9999
,02.02.2003,-9999,-9999,-9999,-9999
,03.02.2003,-9999,-9999,-9999,-9999
,04.02.2003,-9999,-9999,-9999,-9999
,05.02.2003,-9999,-9999,-9999,-9999
,06.02.2003,-9999,-9999,-9999,-9999
,07.02.2003,-9999,-9999,-9999,-9999
,08.02.2003,-9999,-9999,-9999,-9999
,09.02.2003,-9999,-9999,-9999,-9999
,10.02.2003,-9999,-9999,-9999,-9999
,11.02.2003,-9999,-9999,-9999,-9999
,12.02.2003,-9999,-9999,-9999,-9999
,13.02.2003,-9999,-9999,-9999,-9999
,14.02.2003,-9999,-9999,-9999,-9999
,15.02.2003,-9999,-9999,-9999,-9999
,16.02.2003,-9999,-9999,-9999,-9999
,17.02.2003,-9999,-9999,-9999,-9999
,18.02.2003,-9999,-9999,-9999,-9999
,19.02.2003,-9999,-9999,-9999,-9999
,20.02.2003,-9999,-9999,-9999,-9999
,21.02.2003,0.224534045,0.181230133,0.127492285,0.116085375
,22.02.2003,0.224802185,0.181528015,0.127621177,0.116225213
,23.02.2003,0.223555976,0.18152979,0.127778573,0.11636427
,24.02.2003,0.220473247,0.180339248,0.127721964,0.116481003
,25.02.2003,0.218292905,0.178726468,0.127286285,0.11642591
,26.02.2003,0.217246669,0.177469502,0.126657555,0.116185609
,27.02.2003,0.217666956,0.176993868,0.126118601,0.115848531
,28.02.2003,0.218625571,0.177148363,0.125857706,0.115552812
,01.03.2003,0.21883106,0.177387893,0.125812449,0.115369792
,02.03.2003,0.219160979,0.177428863,0.125795321,0.115258604
,03.03.2003,0.220723779,0.177899129,0.125812132,0.115162115
,04.03.2003,0.221763766,0.178936998,0.126041683,0.115147392
,05.03.2003,0.219958587,0.178803602,0.126323498,0.115245233
,06.03.2003,0.220640157,0.178559908,0.126328135,0.115299414
,07.03.2003,0.222962039,0.179343807,0.126406339,0.115309639
,08.03.2003,0.225635596,0.180847136,0.126797796,0.115405157
,09.03.2003,0.227184191,0.182523115,0.127466776,0.115662539
,10.03.2003,0.228091205,0.183626316,0.128198168,0.116060563
,11.03.2003,0.230655967,0.185047895,0.128905,0.116518364
,12.03.2003,0.233132902,0.186893076,0.129779832,0.117050466
,13.03.2003,0.235349694,0.188831782,0.130821284,0.11771049
,14.03.2003,0.237443549,0.190711815,0.131921283,0.118429689
,15.03.2003,0.240630705,0.192774111,0.133082231,0.119201116
,16.03.2003,0.241497982,0.19490499,0.134381734,0.120049228
,17.03.2003,0.241399528,0.196045098,0.135546808,0.120936253
,18.03.2003,0.237041228,0.195795634,0.136375819,0.121743393
,19.03.2003,0.231886128,0.193401727,0.136445782,0.12229932
,20.03.2003,0.229302426,0.190937426,0.135794779,0.12244967
,21.03.2003,0.22947136,0.189403208,0.134960897,0.122274839
,22.03.2003,0.23916043,0.188516919,0.134199319,0.121984916
,23.03.2003,0.262598881,0.190081037,0.133715422,0.121716336
,24.03.2003,0.279836262,0.221819363,0.133635913,0.121619632
,25.03.2003,0.281346713,0.227343882,0.14362112,0.121690943
,26.03.2003,0.285332482,0.233093125,0.175314952,0.121917073
,27.03.2003,0.282242622,0.23811294,0.191015455,0.130052464
,28.03.2003,0.275521304,0.233326686,0.189452444,0.16600078
,29.03.2003,0.272432692,0.229450714,0.18774712,0.168702135
,30.03.2003,0.271008832,0.226252494,0.186105683,0.168558373
,31.03.2003,0.273152481,0.225157901,0.184762908,0.167996236
,01.04.2003,0.276429831,0.226126842,0.184172579,0.167522758
,02.04.2003,0.278457925,0.227537945,0.184263577,0.167377288
,03.04.2003,0.279167541,0.2287772,0.184615025,0.167491372
,04.04.2003,0.277979108,0.229069735,0.184932164,0.167738288
,05.04.2003,0.275852158,0.228448705,0.184956923,0.167964684
,06.04.2003,0.273500251,0.22711869,0.18461181,0.168077241
,07.04.2003,0.272092294,0.225534487,0.18402594,0.168072276
,08.04.2003,0.272695824,0.224393905,0.183553473,0.167907814
,09.04.2003,0.275491338,0.224527348,0.183242976,0.167726222
,10.04.2003,0.279183991,0.226035367,0.183335036,0.167622539
,11.04.2003,0.281498147,0.228228231,0.18390609,0.167701514
,12.04.2003,0.283091055,0.230338338,0.18475294,0.168015485
,13.04.2003,0.284526575,0.232211678,0.185673389,0.168512501
,14.04.2003,0.285497108,0.233793646,0.186569291,0.169105096
,15.04.2003,0.285696573,0.234939569,0.187375129,0.169712801
,16.04.2003,0.283068876,0.234866803,0.187968242,0.170343253
,17.04.2003,0.282205491,0.233817505,0.188026441,0.170830087
,18.04.2003,0.283393832,0.233732391,0.187853977,0.1710809
,19.04.2003,0.282388829,0.233707723,0.187898856,0.171273261
,20.04.2003,0.28058359,0.232763741,0.187776014,0.171454762
,21.04.2003,0.280896052,0.23208005,0.187413154,0.171529205
,22.04.2003,0.282783753,0.232468849,0.187195221,0.171490493
,23.04.2003,0.291269865,0.238153646,0.189569828,0.17172382
,24.04.2003,0.308264563,0.24684986,0.203784661,0.183120924
,25.04.2003,0.314104604,0.241974536,0.200554731,0.185591489
,26.04.2003,0.315468531,0.24036167,0.197608373,0.184266298
,27.04.2003,0.316188603,0.241906222,0.1957031,0.182912648
,28.04.2003,0.316436502,0.244788703,0.19468912,0.181914094
,29.04.2003,0.316543604,0.247677239,0.194142774,0.181284596
,30.04.2003,0.31477805,0.250519363,0.193873174,0.180897273
,01.05.2003,0.312129746,0.252017602,0.193482803,0.180684869
,02.05.2003,0.311732975,0.25318107,0.192760578,0.180393925
,03.05.2003,0.314081882,0.255951332,0.192151795,0.179980989
,04.05.2003,0.316161504,0.259966033,0.192153202,0.17963927
,05.05.2003,0.314957892,0.26247835,0.192448191,0.179623266
,06.05.2003,0.313440026,0.263910038,0.192362251,0.179691479
,07.05.2003,0.312981445,0.265433829,0.192044645,0.179673952
,08.05.2003,0.312922348,0.267225938,0.191777238,0.179592786
,09.05.2003,0.310850153,0.268530727,0.191574426,0.179485845
,10.05.2003,0.322021023,0.27317102,0.191167861,0.179313401
,11.05.2003,0.336433196,0.295949525,0.194833601,0.180047441
,12.05.2003,0.334817259,0.300828111,0.1965191,0.183005236
,13.05.2003,0.335135706,0.31124226,0.195765853,0.183770836
,14.05.2003,0.335249677,0.318617506,0.195400876,0.183596721
,15.05.2003,0.336043759,0.32262361,0.195443194,0.183390833
,16.05.2003,0.335912151,0.324588005,0.195839539,0.183388706
,17.05.2003,0.337008264,0.326263168,0.196313195,0.183543142
,18.05.2003,0.336728691,0.327557718,0.197064412,0.183828453
,19.05.2003,0.333811415,0.327840792,0.197742896,0.184261894
,20.05.2003,0.329226128,0.325967551,0.197844139,0.184659473
,21.05.2003,0.328662782,0.324083647,0.197190193,0.184748136
,22.05.2003,0.331133571,0.324086916,0.196675321,0.184533935
,23.05.2003,0.332675143,0.325168412,0.196834664,0.184417869
,24.05.2003,0.333409424,0.326342107,0.197437502,0.184575891
,25.05.2003,0.332638347,0.326870077,0.198153196,0.184969464
,26.05.2003,0.332051154,0.32695215,0.198682824,0.185443517
,27.05.2003,0.331605743,0.326891473,0.199054749,0.185887082
,28.05.2003,0.333176736,0.327377732,0.199405347,0.186227548
,29.05.2003,0.334129806,0.328411587,0.200044428,0.186609141
,30.05.2003,0.334488944,0.329344035,0.200913691,0.187101407
,31.05.2003,0.332465319,0.329618737,0.20184324,0.187709964
,01.06.2003,0.330653556,0.328782496,0.202315314,0.188265602
,02.06.2003,0.329015962,0.327669128,0.202420381,0.188603666
,03.06.2003,0.328096269,0.326802686,0.2023586,0.188741508
,04.06.2003,0.326710859,0.325819165,0.202334598,0.188758355
,05.06.2003,0.326432566,0.325009277,0.202214881,0.188655924
,06.06.2003,0.326171925,0.324272598,0.202119228,0.188332344
,07.06.2003,0.328373389,0.32423783,0.202136887,0.187916502
,08.06.2003,0.33014417,0.325223726,0.20271034,0.187553567
,09.06.2003,0.332928661,0.326483233,0.203473403,0.187395273
,10.06.2003,0.333636835,0.327588688,0.204437985,0.187479808
,11.06.2003,0.335193114,0.328654204,0.205411301,0.187649222
,12.06.2003,0.335293689,0.329686361,0.206579605,0.187868388
,13.06.2003,0.335315482,0.330244835,0.207808052,0.188194543
,14.06.2003,0.335193099,0.33049284,0.209003283,0.188536132
,15.06.2003,0.335583926,0.330784111,0.210169823,0.188860803
,16.06.2003,0.336300306,0.331353167,0.211500658,0.189193801
,17.06.2003,0.335880399,0.331849854,0.213074301,0.189606964
,18.06.2003,0.334376208,0.331732966,0.214645126,0.190020451
,19.06.2003,0.333121046,0.330979969,0.215884737,0.190363844
,20.06.2003,0.332860154,0.33047319,0.21691188,0.190530772
,21.06.2003,0.33246328,0.330067505,0.217957962,0.190590723
,22.06.2003,0.332390354,0.330094995,0.199730997,0.19067683
,23.06.2003,0.331756533,0.330089738,0.220382707,0.190834688
,24.06.2003,0.331953072,0.329653965,0.221595344,0.191168349
,25.06.2003,0.329773795,0.328127401,0.222458552,0.191477406
