@T,A4C1C2C3C4,,,,
descr,average observed soil water content at probe A4 C1 C2 C3 C4 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,22.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1580.4,,,
x,,513568.6,,,
y,,4494995,,,
,22.01.2003,0.133990679,0.110657922,0.081608218,0.1053749
,23.01.2003,0.132178464,0.110141198,0.081618839,0.105391087
,24.01.2003,0.132260111,0.109626547,0.081401677,0.105329121
,25.01.2003,0.133169016,0.109752898,0.081252312,0.105191312
,26.01.2003,0.13379806,0.110174003,0.081270585,0.105091408
,27.01.2003,0.135002253,0.11058405,0.081361991,0.105048301
,28.01.2003,0.137040087,0.111648447,0.081606899,0.105074142
,29.01.2003,0.136909017,0.11244075,0.081989928,0.105197323
,30.01.2003,0.136712358,0.112619371,0.082251198,0.105391236
,31.01.2003,0.137524274,0.112899629,0.082408337,0.105540122
,01.02.2003,0.139011244,0.113584396,0.082617715,0.10567557
,02.02.2003,0.141000545,0.114792127,0.082993507,0.105853578
,03.02.2003,0.139442679,0.115345751,0.083470107,0.106132294
,04.02.2003,0.136778009,0.11454837,0.083630713,0.106416425
,05.02.2003,0.135191621,0.113373552,0.083413884,0.106540226
,06.02.2003,0.133976962,0.112474725,0.08305288,0.106484449
,07.02.2003,0.132139328,0.111501275,0.082652033,0.106323103
,08.02.2003,0.130536451,0.110314201,0.082145986,0.106065096
,09.02.2003,0.130456911,0.109495442,0.081579779,0.105721063
,10.02.2003,0.129674299,0.109082499,0.081168147,0.105338188
,11.02.2003,0.129322078,0.108615272,0.08079259,0.104987538
,12.02.2003,0.129287322,0.108502361,0.08050974,0.104656869
,13.02.2003,0.130052201,0.108643996,0.08035539,0.104383455
,14.02.2003,0.135073327,0.109028725,0.080329769,0.104180441
,15.02.2003,0.133380292,0.109832706,0.080473149,0.104077786
,16.02.2003,0.133759344,0.1104396,0.080726585,0.104080644
,17.02.2003,0.134371701,0.110883269,0.08093855,0.104145797
,18.02.2003,0.135217472,0.111462476,0.081157676,0.104246246
,19.02.2003,0.135703399,0.111974963,0.081404277,0.104379223
,20.02.2003,0.134926629,0.112164059,0.081619972,0.104521775
,21.02.2003,0.129356905,0.10427357,0.08176014,0.101282023
,22.02.2003,0.129695908,0.104466593,0.081815091,0.101359127
,23.02.2003,0.128811449,0.104473847,0.081892296,0.101435231
,24.02.2003,0.125678539,0.103530796,0.081820648,0.101485027
,25.02.2003,0.123249648,0.102005344,0.081410445,0.101390353
,26.02.2003,0.123091945,0.100951189,0.080811598,0.101101117
,27.02.2003,0.124361014,0.100878063,0.080386002,0.100730441
,28.02.2003,0.125183182,0.101206916,0.080241852,0.100437865
,01.03.2003,0.125290662,0.101441962,0.080239665,0.10026592
,02.03.2003,0.125407532,0.101455893,0.080224581,0.100155879
,03.03.2003,0.126717814,0.101791573,0.08022354,0.100071705
,04.03.2003,0.127737853,0.102517006,0.080376108,0.100059812
,05.03.2003,0.126132329,0.102460424,0.080559885,0.100116971
,06.03.2003,0.126612573,0.102217569,0.0805217,0.100150154
,07.03.2003,0.128471878,0.102729385,0.080533844,0.100131583
,08.03.2003,0.130623227,0.103742221,0.080427462,0.100167981
,09.03.2003,0.13208256,0.104950548,0.081170861,0.100322623
,10.03.2003,0.132835742,0.105753066,0.081627934,0.10057387
,11.03.2003,0.134875556,0.106724071,0.082057371,0.100868338
,12.03.2003,0.137027784,0.108048095,0.082593574,0.101202311
,13.03.2003,0.138978236,0.109494152,0.083252073,0.101608141
,14.03.2003,0.14087947,0.110871579,0.083972807,0.102091286
,15.03.2003,0.143517204,0.112390478,0.084722637,0.102644712
,16.03.2003,0.144760408,0.114001456,0.085577232,0.103267905
,17.03.2003,0.145040327,0.114905854,0.086368184,0.10394338
,18.03.2003,0.142076132,0.114841101,0.086955249,0.104598398
,19.03.2003,0.138098154,0.113237096,0.087049809,0.105105611
,20.03.2003,0.135906221,0.111461165,0.086666529,0.105315025
,21.03.2003,0.136090924,0.110423779,0.086138311,0.105259643
,22.03.2003,0.137899245,0.110608335,0.085813215,0.105104456
,23.03.2003,0.139605095,0.111297955,0.085832587,0.105021567
,24.03.2003,0.141855452,0.112550235,0.086096168,0.105080084
,25.03.2003,0.139509522,0.112562024,0.086467862,0.105287029
,26.03.2003,0.140550337,0.112371379,0.086508856,0.10547085
,27.03.2003,0.141419314,0.112965416,0.086642706,0.105595733
,28.03.2003,0.138316329,0.112299468,0.086775943,0.105762751
,29.03.2003,0.136882239,0.111064947,0.086520719,0.10583147
,30.03.2003,0.136511695,0.109969907,0.086106589,0.105724869
,31.03.2003,0.139517934,0.109990368,0.085738795,0.105506318
,01.04.2003,0.14405923,0.111384233,0.085766387,0.105336932
,02.04.2003,0.147680392,0.11314234,0.086217549,0.105375346
,03.04.2003,0.150301183,0.114712179,0.086878528,0.105641989
,04.04.2003,0.150799923,0.115485853,0.087534426,0.106052116
,05.04.2003,0.150222504,0.115465091,0.087945568,0.106475553
,06.04.2003,0.149060876,0.114860871,0.088071808,0.106801356
,07.04.2003,0.146629758,0.113535881,0.087934147,0.106982151
,08.04.2003,0.159421193,0.112268511,0.087503328,0.106973035
,09.04.2003,0.150236649,0.112302714,0.087136213,0.106799434
,10.04.2003,0.155480705,0.113634797,0.087176438,0.106672108
,11.04.2003,0.160207896,0.119237697,0.087670318,0.106740485
,12.04.2003,0.164326776,0.117560724,0.088449688,0.107068014
,13.04.2003,0.167790894,0.119328493,0.089342511,0.107572358
,14.04.2003,0.170916961,0.120908252,0.090239736,0.108187229
,15.04.2003,0.173025883,0.122216753,0.091117271,0.108862991
,16.04.2003,0.171614938,0.122584445,0.091857063,0.10956418
,17.04.2003,0.171027853,0.121902999,0.092185433,0.110157961
,18.04.2003,0.173126787,0.12189397,0.092270539,0.110552589
,19.04.2003,0.173341257,0.122091538,0.092484328,0.110869174
,20.04.2003,0.172376527,0.121599071,0.092603786,0.111161095
,21.04.2003,0.173518168,0.121231583,0.092533458,0.111347346
,22.04.2003,0.176346408,0.121673781,0.092548671,0.111468273
,23.04.2003,0.208911252,0.123378701,0.092864104,0.111591998
,24.04.2003,0.28223825,0.15744721,0.093041287,0.111755997
,25.04.2003,0.283261566,0.157437722,0.092513245,0.111801628
,26.04.2003,0.282351535,0.161993788,0.09210853,0.11160448
,27.04.2003,0.283807285,0.168854022,0.092210399,0.111409175
,28.04.2003,0.285387724,0.175326466,0.093548012,0.111392347
