@T,Climate,,,,,
descr,solar radiation,,,,,
unit,MJ/m2,,,,,
missing_val,-9999,,,,,
date_start,01.01.1990,,,,,
date_end,31.12.2008,,,,,
date_format,dd.MM.yyyy,,,,,
,,,,,,
@H,date,solrad[1],solrad[2],solrad[3],solrad[4],solrad[5]
name,,waterloo,ame,ass,blg,cme
ID,,1,2,3,4,5
elevation,,287,276,275,266,273
,16.04.1990,12.64,-9999,-9999,-9999,-9999
,17.04.1990,11.25,-9999,-9999,-9999,-9999
,18.04.1990,16.53,-9999,-9999,-9999,-9999
,19.04.1990,21.3,-9999,-9999,-9999,-9999
,20.04.1990,8.2,-9999,-9999,-9999,-9999
,21.04.1990,12.18,-9999,-9999,-9999,-9999
,22.04.1990,14.31,-9999,-9999,-9999,-9999
,23.04.1990,10.71,-9999,-9999,-9999,-9999
,24.04.1990,16.95,-9999,-9999,-9999,-9999
,25.04.1990,13.26,-9999,-9999,-9999,-9999
,26.04.1990,10.79,-9999,-9999,-9999,-9999
,27.04.1990,18.79,-9999,-9999,-9999,-9999
,28.04.1990,17.41,-9999,-9999,-9999,-9999
,29.04.1990,14.14,-9999,-9999,-9999,-9999
,30.04.1990,11.97,-9999,-9999,-9999,-9999
,01.05.1990,24.98,-9999,-9999,-9999,-9999
,02.05.1990,6.23,-9999,-9999,-9999,-9999
,03.05.1990,13.39,-9999,-9999,-9999,-9999
,04.05.1990,23.01,-9999,-9999,-9999,-9999
,05.05.1990,19.62,-9999,-9999,-9999,-9999
,06.05.1990,24.23,-9999,-9999,-9999,-9999
,07.05.1990,15.61,-9999,-9999,-9999,-9999
,08.05.1990,17.74,-9999,-9999,-9999,-9999
,09.05.1990,23.68,-9999,-9999,-9999,-9999
,10.05.1990,17.95,-9999,-9999,-9999,-9999
,11.05.1990,21.67,-9999,-9999,-9999,-9999
,12.05.1990,22.84,-9999,-9999,-9999,-9999
,13.05.1990,18.91,-9999,-9999,-9999,-9999
,14.05.1990,20.63,-9999,-9999,-9999,-9999
,15.05.1990,19.46,-9999,-9999,-9999,-9999
,16.05.1990,11.76,-9999,-9999,-9999,-9999
,17.05.1990,22.47,-9999,-9999,-9999,-9999
,18.05.1990,19.83,-9999,-9999,-9999,-9999
,19.05.1990,27.2,-9999,-9999,-9999,-9999
,20.05.1990,18.03,-9999,-9999,-9999,-9999
,21.05.1990,24.39,-9999,-9999,-9999,-9999
,22.05.1990,29.71,-9999,-9999,-9999,-9999
,23.05.1990,20,-9999,-9999,-9999,-9999
,24.05.1990,22.89,-9999,-9999,-9999,-9999
,25.05.1990,20.46,-9999,-9999,-9999,-9999
,26.05.1990,16.02,-9999,-9999,-9999,-9999
,27.05.1990,22.59,-9999,-9999,-9999,-9999
,28.05.1990,10.38,-9999,-9999,-9999,-9999
,29.05.1990,14.98,-9999,-9999,-9999,-9999
,30.05.1990,24.23,-9999,-9999,-9999,-9999
,31.05.1990,19.75,-9999,-9999,-9999,-9999
,01.06.1990,31.05,-9999,-9999,-9999,-9999
,02.06.1990,29,-9999,-9999,-9999,-9999
,03.06.1990,11.72,-9999,-9999,-9999,-9999
,04.06.1990,15.98,-9999,-9999,-9999,-9999
,05.06.1990,21.63,-9999,-9999,-9999,-9999
,06.06.1990,14.27,-9999,-9999,-9999,-9999
,07.06.1990,27.15,-9999,-9999,-9999,-9999
,08.06.1990,15.56,-9999,-9999,-9999,-9999
,09.06.1990,23.14,-9999,-9999,-9999,-9999
,10.06.1990,18.74,-9999,-9999,-9999,-9999
,11.06.1990,23.43,-9999,-9999,-9999,-9999
,12.06.1990,24.31,-9999,-9999,-9999,-9999
,13.06.1990,25.31,-9999,-9999,-9999,-9999
,14.06.1990,31.8,-9999,-9999,-9999,-9999
,15.06.1990,21.21,-9999,-9999,-9999,-9999
,16.06.1990,23.81,-9999,-9999,-9999,-9999
,17.06.1990,32.26,-9999,-9999,-9999,-9999
,18.06.1990,22.76,-9999,-9999,-9999,-9999
,19.06.1990,32.84,-9999,-9999,-9999,-9999
,20.06.1990,26.36,-9999,-9999,-9999,-9999
,21.06.1990,18.49,-9999,-9999,-9999,-9999
,22.06.1990,25.4,-9999,-9999,-9999,-9999
,23.06.1990,18.87,-9999,-9999,-9999,-9999
,24.06.1990,15.9,-9999,-9999,-9999,-9999
,25.06.1990,21.21,-9999,-9999,-9999,-9999
,26.06.1990,17.78,-9999,-9999,-9999,-9999
,27.06.1990,15.9,-9999,-9999,-9999,-9999
,28.06.1990,20.25,-9999,-9999,-9999,-9999
,29.06.1990,18.24,-9999,-9999,-9999,-9999
,30.06.1990,18.79,-9999,-9999,-9999,-9999
,01.07.1990,29.92,-9999,-9999,-9999,-9999
,02.07.1990,10,-9999,-9999,-9999,-9999
,03.07.1990,27.95,-9999,-9999,-9999,-9999
,04.07.1990,31.8,-9999,-9999,-9999,-9999
,05.07.1990,18.74,-9999,-9999,-9999,-9999
,06.07.1990,17.57,-9999,-9999,-9999,-9999
,07.07.1990,23.47,-9999,-9999,-9999,-9999
,08.07.1990,14.73,-9999,-9999,-9999,-9999
,09.07.1990,15.9,-9999,-9999,-9999,-9999
,10.07.1990,29.2,-9999,-9999,-9999,-9999
,11.07.1990,24.02,-9999,-9999,-9999,-9999
,12.07.1990,24.94,-9999,-9999,-9999,-9999
,13.07.1990,21.55,-9999,-9999,-9999,-9999
,14.07.1990,17.41,-9999,-9999,-9999,-9999
,15.07.1990,28.83,-9999,-9999,-9999,-9999
,16.07.1990,22.09,-9999,-9999,-9999,-9999
,17.07.1990,31,-9999,-9999,-9999,-9999
,18.07.1990,22.8,-9999,-9999,-9999,-9999
,19.07.1990,12.93,-9999,-9999,-9999,-9999
,20.07.1990,16.36,-9999,-9999,-9999,-9999
,21.07.1990,27.7,-9999,-9999,-9999,-9999
,22.07.1990,24.85,-9999,-9999,-9999,-9999
,23.07.1990,16.44,-9999,-9999,-9999,-9999
,24.07.1990,15.48,-9999,-9999,-9999,-9999
,25.07.1990,14.85,-9999,-9999,-9999,-9999
,26.07.1990,16.9,-9999,-9999,-9999,-9999
,27.07.1990,28.2,-9999,-9999,-9999,-9999
,28.07.1990,21.21,-9999,-9999,-9999,-9999
,29.07.1990,27.11,-9999,-9999,-9999,-9999
,30.07.1990,28.2,-9999,-9999,-9999,-9999
,31.07.1990,16.57,-9999,-9999,-9999,-9999
,01.08.1990,18.41,-9999,-9999,-9999,-9999
,02.08.1990,26.32,-9999,-9999,-9999,-9999
,03.08.1990,19.92,-9999,-9999,-9999,-9999
,04.08.1990,17.74,-9999,-9999,-9999,-9999
,05.08.1990,19.04,-9999,-9999,-9999,-9999
,06.08.1990,11.8,-9999,-9999,-9999,-9999
,07.08.1990,13.93,-9999,-9999,-9999,-9999
,08.08.1990,18.33,-9999,-9999,-9999,-9999
,09.08.1990,16.53,-9999,-9999,-9999,-9999
