@T,climate,,,,,,,,,,,,,,,,,
descr,relative humidity,,,,,,,,,,,,,,,,,
unit,%,,,,,,,,,,,,,,,,,
 missing_value,-9999,,,,,,,,,,,,,,,,,
date_start,01.01.1918,,,,,,,,,,,,,,,,,
date_end,31.12.2014,,,,,,,,,,,,,,,,,
 date_format,dd.MM.yyyy,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
@H,date,rehum[0],rehum[1],rehum[2],rehum[3],rehum[4],rehum[5],rehum[6],rehum[7],rehum[8],rehum[9],rehum[10],rehum[11],rehum[12],rehum[13],rehum[14],rehum[15],rehum[16]
name,,Greeley GLY03,Greeley LIRF GLY04,Greeley Generic,Drake,Drake Generic,Akron,Akron Generic,ARDEC,ARDEC Generic,Ft Collins,Ft Collins Generic,Ault,Ault Generic,Stratton,Stratton Generic,Sterling DAP,Sterling Generic
ID,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
elevation,,1426,1427,1427,1572,1572,1383,1383,1558,1558,1525,1525,1497,1497,1335,1335,1363,1363
x,,529937,530697,530697,512701,512701,658244,658244,500000,500000,492746,492746,523701,523701,736677,736677,658762,658762
y,,4476587,4477623,4477623,4495474,4495474,4446593,4446593,4500182,4500182,4491727,4491727,4490951,4490951,4340328,4340328,4470503,4470503
,03.02.1918,-9999,-9999,-9999,-9999,-9999,41.08,54.7,-9999,-9999,-9999,58.46,-9999,-9999,-9999,-9999,-9999,-9999
,04.02.1918,-9999,-9999,-9999,-9999,-9999,40.13,54.9,-9999,-9999,-9999,66.29,-9999,-9999,-9999,-9999,-9999,-9999
,05.02.1918,-9999,-9999,-9999,-9999,-9999,57.22,53.6,-9999,-9999,-9999,62.02,-9999,-9999,-9999,-9999,-9999,-9999
,06.02.1918,-9999,-9999,-9999,-9999,-9999,44.39,52.6,-9999,-9999,-9999,61.79,-9999,-9999,-9999,-9999,-9999,-9999
,07.02.1918,-9999,-9999,-9999,-9999,-9999,43.53,52.4,-9999,-9999,-9999,65.96,-9999,-9999,-9999,-9999,-9999,-9999
,08.02.1918,-9999,-9999,-9999,-9999,-9999,60.99,55.9,-9999,-9999,-9999,65.69,-9999,-9999,-9999,-9999,-9999,-9999
,09.02.1918,-9999,-9999,-9999,-9999,-9999,37.95,54.7,-9999,-9999,-9999,61.57,-9999,-9999,-9999,-9999,-9999,-9999
,10.02.1918,-9999,-9999,-9999,-9999,-9999,42.94,51.7,-9999,-9999,-9999,64.59,-9999,-9999,-9999,-9999,-9999,-9999
,11.02.1918,-9999,-9999,-9999,-9999,-9999,39.4,50.8,-9999,-9999,-9999,65.48,-9999,-9999,-9999,-9999,-9999,-9999
,12.02.1918,-9999,-9999,-9999,-9999,-9999,46.76,51.6,-9999,-9999,-9999,62.01,-9999,-9999,-9999,-9999,-9999,-9999
,13.02.1918,-9999,-9999,-9999,-9999,-9999,39.29,53.2,-9999,-9999,-9999,57.17,-9999,-9999,-9999,-9999,-9999,-9999
,14.02.1918,-9999,-9999,-9999,-9999,-9999,53.07,54.3,-9999,-9999,-9999,59.99,-9999,-9999,-9999,-9999,-9999,-9999
,15.02.1918,-9999,-9999,-9999,-9999,-9999,68.99,53.7,-9999,-9999,-9999,68.18,-9999,-9999,-9999,-9999,-9999,-9999
,16.02.1918,-9999,-9999,-9999,-9999,-9999,38.99,53.6,-9999,-9999,-9999,64.26,-9999,-9999,-9999,-9999,-9999,-9999
,17.02.1918,-9999,-9999,-9999,-9999,-9999,34.04,51.1,-9999,-9999,-9999,53.82,-9999,-9999,-9999,-9999,-9999,-9999
,18.02.1918,-9999,-9999,-9999,-9999,-9999,37.8,51.3,-9999,-9999,-9999,55.55,-9999,-9999,-9999,-9999,-9999,-9999
,19.02.1918,-9999,-9999,-9999,-9999,-9999,54.97,54.3,-9999,-9999,-9999,59.52,-9999,-9999,-9999,-9999,-9999,-9999
,20.02.1918,-9999,-9999,-9999,-9999,-9999,51.33,54.2,-9999,-9999,-9999,58.66,-9999,-9999,-9999,-9999,-9999,-9999
,21.02.1918,-9999,-9999,-9999,-9999,-9999,22.78,52.1,-9999,-9999,-9999,57.18,-9999,-9999,-9999,-9999,-9999,-9999
,22.02.1918,-9999,-9999,-9999,-9999,-9999,35.09,53.2,-9999,-9999,-9999,56.48,-9999,-9999,-9999,-9999,-9999,-9999
,23.02.1918,-9999,-9999,-9999,-9999,-9999,41.3,51.6,-9999,-9999,-9999,59.34,-9999,-9999,-9999,-9999,-9999,-9999
,24.02.1918,-9999,-9999,-9999,-9999,-9999,39.21,53.3,-9999,-9999,-9999,59.71,-9999,-9999,-9999,-9999,-9999,-9999
,25.02.1918,-9999,-9999,-9999,-9999,-9999,29.91,52.1,-9999,-9999,-9999,61.19,-9999,-9999,-9999,-9999,-9999,-9999
,26.02.1918,-9999,-9999,-9999,-9999,-9999,29.91,51,-9999,-9999,-9999,58.31,-9999,-9999,-9999,-9999,-9999,-9999
,27.02.1918,-9999,-9999,-9999,-9999,-9999,51.26,52.9,-9999,-9999,-9999,57.81,-9999,-9999,-9999,-9999,-9999,-9999
,28.02.1918,-9999,-9999,-9999,-9999,-9999,61.68,52,-9999,-9999,-9999,62.09,-9999,-9999,-9999,-9999,-9999,-9999
,01.03.1918,-9999,-9999,-9999,-9999,-9999,36.05,51.5,-9999,-9999,-9999,54.51,-9999,-9999,-9999,-9999,-9999,-9999
,02.03.1918,-9999,-9999,-9999,-9999,-9999,64.97,52.1,-9999,-9999,-9999,53.58,-9999,-9999,-9999,-9999,-9999,-9999
,03.03.1918,-9999,-9999,-9999,-9999,-9999,74.89,51.9,-9999,-9999,-9999,48.37,-9999,-9999,-9999,-9999,-9999,-9999
,04.03.1918,-9999,-9999,-9999,-9999,-9999,62.88,53.7,-9999,-9999,-9999,56.96,-9999,-9999,-9999,-9999,-9999,-9999
,05.03.1918,-9999,-9999,-9999,-9999,-9999,62.41,48.9,-9999,-9999,-9999,58.02,-9999,-9999,-9999,-9999,-9999,-9999
,06.03.1918,-9999,-9999,-9999,-9999,-9999,64.51,48.6,-9999,-9999,-9999,55.58,-9999,-9999,-9999,-9999,-9999,-9999
,07.03.1918,-9999,-9999,-9999,-9999,-9999,53.43,53.5,-9999,-9999,-9999,62.19,-9999,-9999,-9999,-9999,-9999,-9999
,08.03.1918,-9999,-9999,-9999,-9999,-9999,39.21,51.2,-9999,-9999,-9999,59.44,-9999,-9999,-9999,-9999,-9999,-9999
,09.03.1918,-9999,-9999,-9999,-9999,-9999,60.54,50.6,-9999,-9999,-9999,56.4,-9999,-9999,-9999,-9999,-9999,-9999
,10.03.1918,-9999,-9999,-9999,-9999,-9999,37.8,50.4,-9999,-9999,-9999,54.67,-9999,-9999,-9999,-9999,-9999,-9999
,11.03.1918,-9999,-9999,-9999,-9999,-9999,37.72,48.6,-9999,-9999,-9999,55.16,-9999,-9999,-9999,-9999,-9999,-9999
,12.03.1918,-9999,-9999,-9999,-9999,-9999,41.3,50.9,-9999,-9999,-9999,50.79,-9999,-9999,-9999,-9999,-9999,-9999
,13.03.1918,-9999,-9999,-9999,-9999,-9999,56.94,48.8,-9999,-9999,-9999,55.56,-9999,-9999,-9999,-9999,-9999,-9999
,14.03.1918,-9999,-9999,-9999,-9999,-9999,62.88,49.5,-9999,-9999,-9999,55.17,-9999,-9999,-9999,-9999,-9999,-9999
,15.03.1918,-9999,-9999,-9999,-9999,-9999,55.47,51.3,-9999,-9999,-9999,52.35,-9999,-9999,-9999,-9999,-9999,-9999
,16.03.1918,-9999,-9999,-9999,-9999,-9999,41.15,49.6,-9999,-9999,-9999,54.27,-9999,-9999,-9999,-9999,-9999,-9999
,17.03.1918,-9999,-9999,-9999,-9999,-9999,31.12,49.1,-9999,-9999,-9999,58.13,-9999,-9999,-9999,-9999,-9999,-9999
,18.03.1918,-9999,-9999,-9999,-9999,-9999,32.84,49.2,-9999,-9999,-9999,57.62,-9999,-9999,-9999,-9999,-9999,-9999
,19.03.1918,-9999,-9999,-9999,-9999,-9999,36.72,50.5,-9999,-9999,-9999,56.5,-9999,-9999,-9999,-9999,-9999,-9999
,20.03.1918,-9999,-9999,-9999,-9999,-9999,51.46,49.2,-9999,-9999,-9999,56.32,-9999,-9999,-9999,-9999,-9999,-9999
,21.03.1918,-9999,-9999,-9999,-9999,-9999,52.08,50.9,-9999,-9999,-9999,56.21,-9999,-9999,-9999,-9999,-9999,-9999
,22.03.1918,-9999,-9999,-9999,-9999,-9999,54.15,49.8,-9999,-9999,-9999,56.48,-9999,-9999,-9999,-9999,-9999,-9999
,23.03.1918,-9999,-9999,-9999,-9999,-9999,27.76,52.4,-9999,-9999,-9999,58.7,-9999,-9999,-9999,-9999,-9999,-9999
,24.03.1918,-9999,-9999,-9999,-9999,-9999,37.12,52.1,-9999,-9999,-9999,62.07,-9999,-9999,-9999,-9999,-9999,-9999
,25.03.1918,-9999,-9999,-9999,-9999,-9999,38.29,51.2,-9999,-9999,-9999,62.53,-9999,-9999,-9999,-9999,-9999,-9999
,26.03.1918,-9999,-9999,-9999,-9999,-9999,40.77,49.6,-9999,-9999,-9999,58.44,-9999,-9999,-9999,-9999,-9999,-9999
,27.03.1918,-9999,-9999,-9999,-9999,-9999,45.27,49.3,-9999,-9999,-9999,56.52,-9999,-9999,-9999,-9999,-9999,-9999
,28.03.1918,-9999,-9999,-9999,-9999,-9999,52.08,48.9,-9999,-9999,-9999,53.32,-9999,-9999,-9999,-9999,-9999,-9999
,29.03.1918,-9999,-9999,-9999,-9999,-9999,77.23,51.6,-9999,-9999,-9999,58.71,-9999,-9999,-9999,-9999,-9999,-9999
,30.03.1918,-9999,-9999,-9999,-9999,-9999,41.02,49.6,-9999,-9999,-9999,56.27,-9999,-9999,-9999,-9999,-9999,-9999
,31.03.1918,-9999,-9999,-9999,-9999,-9999,58.03,49.3,-9999,-9999,-9999,50.63,-9999,-9999,-9999,-9999,-9999,-9999
,01.04.1918,-9999,-9999,-9999,-9999,-9999,46.54,48.9,-9999,-9999,-9999,49.12,-9999,-9999,-9999,-9999,-9999,-9999
,02.04.1918,-9999,-9999,-9999,-9999,-9999,60.7,48.7,-9999,-9999,-9999,57.16,-9999,-9999,-9999,-9999,-9999,-9999
,03.04.1918,-9999,-9999,-9999,-9999,-9999,68.44,52.9,-9999,-9999,-9999,57.28,-9999,-9999,-9999,-9999,-9999,-9999
,04.04.1918,-9999,-9999,-9999,-9999,-9999,66.85,50.3,-9999,-9999,-9999,55.25,-9999,-9999,-9999,-9999,-9999,-9999
,05.04.1918,-9999,-9999,-9999,-9999,-9999,66.15,48.9,-9999,-9999,-9999,52.39,-9999,-9999,-9999,-9999,-9999,-9999
,06.04.1918,-9999,-9999,-9999,-9999,-9999,37.17,48.8,-9999,-9999,-9999,54.19,-9999,-9999,-9999,-9999,-9999,-9999
,07.04.1918,-9999,-9999,-9999,-9999,-9999,54.33,50.3,-9999,-9999,-9999,53.59,-9999,-9999,-9999,-9999,-9999,-9999
,08.04.1918,-9999,-9999,-9999,-9999,-9999,69.53,49.6,-9999,-9999,-9999,52.86,-9999,-9999,-9999,-9999,-9999,-9999
,09.04.1918,-9999,-9999,-9999,-9999,-9999,68.88,50.3,-9999,-9999,-9999,50.78,-9999,-9999,-9999,-9999,-9999,-9999
,10.04.1918,-9999,-9999,-9999,-9999,-9999,51.35,52,-9999,-9999,-9999,53.66,-9999,-9999,-9999,-9999,-9999,-9999
,11.04.1918,-9999,-9999,-9999,-9999,-9999,46.92,53.7,-9999,-9999,-9999,54.17,-9999,-9999,-9999,-9999,-9999,-9999
,12.04.1918,-9999,-9999,-9999,-9999,-9999,43.16,50.2,-9999,-9999,-9999,52.78,-9999,-9999,-9999,-9999,-9999,-9999
,13.04.1918,-9999,-9999,-9999,-9999,-9999,52.44,48.6,-9999,-9999,-9999,52.77,-9999,-9999,-9999,-9999,-9999,-9999
,14.04.1918,-9999,-9999,-9999,-9999,-9999,88.74,47,-9999,-9999,-9999,49.59,-9999,-9999,-9999,-9999,-9999,-9999
,15.04.1918,-9999,-9999,-9999,-9999,-9999,65.36,50,-9999,-9999,-9999,54.41,-9999,-9999,-9999,-9999,-9999,-9999
