@T,climate,,,,,,,,,,,,,,,,,
name,wind,,,,,,,,,,,,,,,,,
desc,wind speed,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 missing_value,-9999,,,,,,,,,,,,,,,,,
date_start,01.01.1918,,,,,,,,,,,,,,,,,
date_end,31.12.2014,,,,,,,,,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
tres,d,,,,,,,,,,,,,,,,,
unit,m/s,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
@H,date,wind[0],wind[1],wind[2],wind[3],wind[4],wind[5],wind[6],wind[7],wind[8],wind[9],wind[10],wind[11],wind[12],wind[13],wind[14],wind[15],wind[16]
name,-,Greeley GLY03,Greeley LIRF GLY04,Greeley Generic,Drake,Drake Generic,Akron,Akron Generic,ARDEC,ARDEC Generic,Ft Collins,Ft Collins Generic,Ault,Ault Generic,Stratton,Stratton Generic,Sterling DAP,Sterling Generic
ID,-,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
elevation,-,1426,1427,1427,1572,1572,1383,1383,1558,1558,1525,1525,1497,1497,1335,1335,1363,1363
,02.02.1918,-9999,-9999,-9999,-9999,-9999,5,5.25,-9999,-9999,-9999,2.24,-9999,-9999,-9999,-9999,-9999,-9999
,03.02.1918,-9999,-9999,-9999,-9999,-9999,7.3,5.29,-9999,-9999,-9999,2.68,-9999,-9999,-9999,-9999,-9999,-9999
,04.02.1918,-9999,-9999,-9999,-9999,-9999,6.4,5.46,-9999,-9999,-9999,1.54,-9999,-9999,-9999,-9999,-9999,-9999
,05.02.1918,-9999,-9999,-9999,-9999,-9999,10.9,5.96,-9999,-9999,-9999,1.72,-9999,-9999,-9999,-9999,-9999,-9999
,06.02.1918,-9999,-9999,-9999,-9999,-9999,4.2,5.1,-9999,-9999,-9999,1.7,-9999,-9999,-9999,-9999,-9999,-9999
,07.02.1918,-9999,-9999,-9999,-9999,-9999,4.9,5.62,-9999,-9999,-9999,1.44,-9999,-9999,-9999,-9999,-9999,-9999
,08.02.1918,-9999,-9999,-9999,-9999,-9999,7.9,5.44,-9999,-9999,-9999,1.85,-9999,-9999,-9999,-9999,-9999,-9999
,09.02.1918,-9999,-9999,-9999,-9999,-9999,4.9,5.93,-9999,-9999,-9999,2.16,-9999,-9999,-9999,-9999,-9999,-9999
,10.02.1918,-9999,-9999,-9999,-9999,-9999,7.4,5.52,-9999,-9999,-9999,1.95,-9999,-9999,-9999,-9999,-9999,-9999
,11.02.1918,-9999,-9999,-9999,-9999,-9999,2.2,5.47,-9999,-9999,-9999,2.1,-9999,-9999,-9999,-9999,-9999,-9999
,12.02.1918,-9999,-9999,-9999,-9999,-9999,9,5.05,-9999,-9999,-9999,1.57,-9999,-9999,-9999,-9999,-9999,-9999
,13.02.1918,-9999,-9999,-9999,-9999,-9999,1.6,5.21,-9999,-9999,-9999,2.02,-9999,-9999,-9999,-9999,-9999,-9999
,14.02.1918,-9999,-9999,-9999,-9999,-9999,10,5.21,-9999,-9999,-9999,1.91,-9999,-9999,-9999,-9999,-9999,-9999
,15.02.1918,-9999,-9999,-9999,-9999,-9999,1.5,5.36,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999
,16.02.1918,-9999,-9999,-9999,-9999,-9999,3.5,5.74,-9999,-9999,-9999,1.87,-9999,-9999,-9999,-9999,-9999,-9999
,17.02.1918,-9999,-9999,-9999,-9999,-9999,3.2,5.07,-9999,-9999,-9999,2.64,-9999,-9999,-9999,-9999,-9999,-9999
,18.02.1918,-9999,-9999,-9999,-9999,-9999,8,5.56,-9999,-9999,-9999,2.66,-9999,-9999,-9999,-9999,-9999,-9999
,19.02.1918,-9999,-9999,-9999,-9999,-9999,7.7,5.35,-9999,-9999,-9999,1.73,-9999,-9999,-9999,-9999,-9999,-9999
,20.02.1918,-9999,-9999,-9999,-9999,-9999,7.5,5.27,-9999,-9999,-9999,2.28,-9999,-9999,-9999,-9999,-9999,-9999
,21.02.1918,-9999,-9999,-9999,-9999,-9999,4.5,4.8,-9999,-9999,-9999,2.21,-9999,-9999,-9999,-9999,-9999,-9999
,22.02.1918,-9999,-9999,-9999,-9999,-9999,4.2,5.4,-9999,-9999,-9999,2.7,-9999,-9999,-9999,-9999,-9999,-9999
,23.02.1918,-9999,-9999,-9999,-9999,-9999,7.2,5.58,-9999,-9999,-9999,2.02,-9999,-9999,-9999,-9999,-9999,-9999
,24.02.1918,-9999,-9999,-9999,-9999,-9999,3.6,5.26,-9999,-9999,-9999,2.28,-9999,-9999,-9999,-9999,-9999,-9999
,25.02.1918,-9999,-9999,-9999,-9999,-9999,4.4,5.58,-9999,-9999,-9999,2.26,-9999,-9999,-9999,-9999,-9999,-9999
,26.02.1918,-9999,-9999,-9999,-9999,-9999,6.5,5.37,-9999,-9999,-9999,2.68,-9999,-9999,-9999,-9999,-9999,-9999
,27.02.1918,-9999,-9999,-9999,-9999,-9999,7.6,4.92,-9999,-9999,-9999,2.11,-9999,-9999,-9999,-9999,-9999,-9999
,28.02.1918,-9999,-9999,-9999,-9999,-9999,6.7,5.18,-9999,-9999,-9999,2.06,-9999,-9999,-9999,-9999,-9999,-9999
,01.03.1918,-9999,-9999,-9999,-9999,-9999,8.1,6.24,-9999,-9999,-9999,2.54,-9999,-9999,-9999,-9999,-9999,-9999
,02.03.1918,-9999,-9999,-9999,-9999,-9999,7.6,6.31,-9999,-9999,-9999,2.24,-9999,-9999,-9999,-9999,-9999,-9999
,03.03.1918,-9999,-9999,-9999,-9999,-9999,5,6.39,-9999,-9999,-9999,2.09,-9999,-9999,-9999,-9999,-9999,-9999
,04.03.1918,-9999,-9999,-9999,-9999,-9999,4.1,5.71,-9999,-9999,-9999,2.01,-9999,-9999,-9999,-9999,-9999,-9999
,05.03.1918,-9999,-9999,-9999,-9999,-9999,3.1,6,-9999,-9999,-9999,1.85,-9999,-9999,-9999,-9999,-9999,-9999
,06.03.1918,-9999,-9999,-9999,-9999,-9999,9.3,5.7,-9999,-9999,-9999,2.01,-9999,-9999,-9999,-9999,-9999,-9999
,07.03.1918,-9999,-9999,-9999,-9999,-9999,1.9,5.81,-9999,-9999,-9999,1.97,-9999,-9999,-9999,-9999,-9999,-9999
,08.03.1918,-9999,-9999,-9999,-9999,-9999,4.5,6.07,-9999,-9999,-9999,2.54,-9999,-9999,-9999,-9999,-9999,-9999
,09.03.1918,-9999,-9999,-9999,-9999,-9999,4.6,6.99,-9999,-9999,-9999,2.26,-9999,-9999,-9999,-9999,-9999,-9999
,10.03.1918,-9999,-9999,-9999,-9999,-9999,9.5,6.43,-9999,-9999,-9999,1.97,-9999,-9999,-9999,-9999,-9999,-9999
,11.03.1918,-9999,-9999,-9999,-9999,-9999,6.1,5.75,-9999,-9999,-9999,2.39,-9999,-9999,-9999,-9999,-9999,-9999
,12.03.1918,-9999,-9999,-9999,-9999,-9999,6.7,5.84,-9999,-9999,-9999,2.36,-9999,-9999,-9999,-9999,-9999,-9999
,13.03.1918,-9999,-9999,-9999,-9999,-9999,7.9,5.72,-9999,-9999,-9999,1.73,-9999,-9999,-9999,-9999,-9999,-9999
,14.03.1918,-9999,-9999,-9999,-9999,-9999,7.3,5.74,-9999,-9999,-9999,2.05,-9999,-9999,-9999,-9999,-9999,-9999
,15.03.1918,-9999,-9999,-9999,-9999,-9999,8.5,5.91,-9999,-9999,-9999,2.33,-9999,-9999,-9999,-9999,-9999,-9999
,16.03.1918,-9999,-9999,-9999,-9999,-9999,10.9,6,-9999,-9999,-9999,1.91,-9999,-9999,-9999,-9999,-9999,-9999
,17.03.1918,-9999,-9999,-9999,-9999,-9999,10.4,5.95,-9999,-9999,-9999,2.29,-9999,-9999,-9999,-9999,-9999,-9999
,18.03.1918,-9999,-9999,-9999,-9999,-9999,4.7,5.54,-9999,-9999,-9999,2.57,-9999,-9999,-9999,-9999,-9999,-9999
,19.03.1918,-9999,-9999,-9999,-9999,-9999,9.3,5.64,-9999,-9999,-9999,2.33,-9999,-9999,-9999,-9999,-9999,-9999
,20.03.1918,-9999,-9999,-9999,-9999,-9999,7.2,5.91,-9999,-9999,-9999,1.86,-9999,-9999,-9999,-9999,-9999,-9999
,21.03.1918,-9999,-9999,-9999,-9999,-9999,10,5.73,-9999,-9999,-9999,2.18,-9999,-9999,-9999,-9999,-9999,-9999
,22.03.1918,-9999,-9999,-9999,-9999,-9999,6.6,6.03,-9999,-9999,-9999,2.27,-9999,-9999,-9999,-9999,-9999,-9999
,23.03.1918,-9999,-9999,-9999,-9999,-9999,5.1,6.02,-9999,-9999,-9999,2.32,-9999,-9999,-9999,-9999,-9999,-9999
,24.03.1918,-9999,-9999,-9999,-9999,-9999,6.6,6.58,-9999,-9999,-9999,2.48,-9999,-9999,-9999,-9999,-9999,-9999
,25.03.1918,-9999,-9999,-9999,-9999,-9999,6.8,6.05,-9999,-9999,-9999,1.66,-9999,-9999,-9999,-9999,-9999,-9999
,26.03.1918,-9999,-9999,-9999,-9999,-9999,12.9,6.37,-9999,-9999,-9999,2.22,-9999,-9999,-9999,-9999,-9999,-9999
,27.03.1918,-9999,-9999,-9999,-9999,-9999,2,6.63,-9999,-9999,-9999,2.65,-9999,-9999,-9999,-9999,-9999,-9999
,28.03.1918,-9999,-9999,-9999,-9999,-9999,3.7,6.3,-9999,-9999,-9999,2.58,-9999,-9999,-9999,-9999,-9999,-9999
,29.03.1918,-9999,-9999,-9999,-9999,-9999,3.7,6.22,-9999,-9999,-9999,2.29,-9999,-9999,-9999,-9999,-9999,-9999
,30.03.1918,-9999,-9999,-9999,-9999,-9999,3.7,6.02,-9999,-9999,-9999,2.52,-9999,-9999,-9999,-9999,-9999,-9999
,31.03.1918,-9999,-9999,-9999,-9999,-9999,2.9,5.94,-9999,-9999,-9999,2.82,-9999,-9999,-9999,-9999,-9999,-9999
,01.04.1918,-9999,-9999,-9999,-9999,-9999,4.4,6.11,-9999,-9999,-9999,2.22,-9999,-9999,-9999,-9999,-9999,-9999
,02.04.1918,-9999,-9999,-9999,-9999,-9999,7.8,6.26,-9999,-9999,-9999,2.29,-9999,-9999,-9999,-9999,-9999,-9999
,03.04.1918,-9999,-9999,-9999,-9999,-9999,7.1,5.79,-9999,-9999,-9999,2.46,-9999,-9999,-9999,-9999,-9999,-9999
,04.04.1918,-9999,-9999,-9999,-9999,-9999,6.7,5.99,-9999,-9999,-9999,2.02,-9999,-9999,-9999,-9999,-9999,-9999
,05.04.1918,-9999,-9999,-9999,-9999,-9999,5.9,5.88,-9999,-9999,-9999,2.44,-9999,-9999,-9999,-9999,-9999,-9999
,06.04.1918,-9999,-9999,-9999,-9999,-9999,5.4,5.84,-9999,-9999,-9999,2.4,-9999,-9999,-9999,-9999,-9999,-9999
,07.04.1918,-9999,-9999,-9999,-9999,-9999,4.9,5.97,-9999,-9999,-9999,2.68,-9999,-9999,-9999,-9999,-9999,-9999
,08.04.1918,-9999,-9999,-9999,-9999,-9999,9.2,6.02,-9999,-9999,-9999,2.34,-9999,-9999,-9999,-9999,-9999,-9999
,09.04.1918,-9999,-9999,-9999,-9999,-9999,1.8,5.85,-9999,-9999,-9999,2.09,-9999,-9999,-9999,-9999,-9999,-9999
,10.04.1918,-9999,-9999,-9999,-9999,-9999,3.6,5.85,-9999,-9999,-9999,3.05,-9999,-9999,-9999,-9999,-9999,-9999
,11.04.1918,-9999,-9999,-9999,-9999,-9999,7.2,5.81,-9999,-9999,-9999,2.96,-9999,-9999,-9999,-9999,-9999,-9999
,12.04.1918,-9999,-9999,-9999,-9999,-9999,7.2,6.32,-9999,-9999,-9999,2.12,-9999,-9999,-9999,-9999,-9999,-9999
,13.04.1918,-9999,-9999,-9999,-9999,-9999,6.2,5.82,-9999,-9999,-9999,2.24,-9999,-9999,-9999,-9999,-9999,-9999
,14.04.1918,-9999,-9999,-9999,-9999,-9999,7.1,5.99,-9999,-9999,-9999,2.69,-9999,-9999,-9999,-9999,-9999,-9999
,15.04.1918,-9999,-9999,-9999,-9999,-9999,5.4,6.13,-9999,-9999,-9999,2.77,-9999,-9999,-9999,-9999,-9999,-9999
,16.04.1918,-9999,-9999,-9999,-9999,-9999,2.9,6.33,-9999,-9999,-9999,2.43,-9999,-9999,-9999,-9999,-9999,-9999
,17.04.1918,-9999,-9999,-9999,-9999,-9999,5.8,6.17,-9999,-9999,-9999,2.27,-9999,-9999,-9999,-9999,-9999,-9999
,18.04.1918,-9999,-9999,-9999,-9999,-9999,6.7,6.31,-9999,-9999,-9999,2.69,-9999,-9999,-9999,-9999,-9999,-9999
