@T,climate     ,,,,,,,,,,,,,,,,,
name,rainfall     ,,,,,,,,,,,,,,,,,
desc,measured rainfall     ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,,,,,
date_start,01.01.1918,,,,,,,,,,,,,,,,,
date_end,31.12.2014,,,,,,,,,,,,,,,,,
date_format,dd.MM.yyyy     ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
tres,d     ,,NOTE: ,Precip Values need to be changed in this sheet for GENERIC sites if there are data there now 6/5/14.,,,,,,,,,,,,,,
unit,mm     ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
@H,date,Greeley GLY03,Greeley LIRF GLY04,Greeley Generic,Drake,Drake Generic,Akron,Akron Generic,ARDEC,ARDEC Generic,Ft Collins,Ft Collins Generic,Ault,Ault Generic,Stratton,Stratton Generic,Sterling DAP,Sterling Generic
ID,-,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,06.02.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,07.02.1918,-9999,-9999,-9999,-9999,-9999,2.5,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,08.02.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,09.02.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,10.02.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,11.02.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,12.02.1918,-9999,-9999,-9999,-9999,-9999,0,0.5,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,13.02.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,14.02.1918,-9999,-9999,-9999,-9999,-9999,0,2,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,15.02.1918,-9999,-9999,-9999,-9999,-9999,2.5,0,-9999,-9999,0,0.51,-9999,-9999,-9999,-9999,-9999,-9999
,16.02.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,17.02.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,18.02.1918,-9999,-9999,-9999,-9999,-9999,0.3,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,19.02.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,20.02.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,21.02.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,3.56,-9999,-9999,-9999,-9999,-9999,-9999
,22.02.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,1.78,-9999,-9999,-9999,-9999,-9999,-9999
,23.02.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,24.02.1918,-9999,-9999,-9999,-9999,-9999,0.3,1.3,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,25.02.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0.3,2.29,-9999,-9999,-9999,-9999,-9999,-9999
,26.02.1918,-9999,-9999,-9999,-9999,-9999,2.5,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,27.02.1918,-9999,-9999,-9999,-9999,-9999,12.7,0,-9999,-9999,25.9,0,-9999,-9999,-9999,-9999,-9999,-9999
,28.02.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0.5,0,-9999,-9999,-9999,-9999,-9999,-9999
,01.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,02.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,03.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,04.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,05.03.1918,-9999,-9999,-9999,-9999,-9999,0.3,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,06.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,1,0,-9999,-9999,-9999,-9999,-9999,-9999
,07.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,08.03.1918,-9999,-9999,-9999,-9999,-9999,3.8,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,09.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,1.78,-9999,-9999,-9999,-9999,-9999,-9999
,10.03.1918,-9999,-9999,-9999,-9999,-9999,0,3,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,11.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,12.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,2.54,-9999,-9999,-9999,-9999,-9999,-9999
,13.03.1918,-9999,-9999,-9999,-9999,-9999,0.3,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,14.03.1918,-9999,-9999,-9999,-9999,-9999,0.3,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,15.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,16.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,17.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,18.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,19.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,20.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,21.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0.3,0,-9999,-9999,-9999,-9999,-9999,-9999
,22.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,23.03.1918,-9999,-9999,-9999,-9999,-9999,0,0.8,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,24.03.1918,-9999,-9999,-9999,-9999,-9999,0,13.7,-9999,-9999,0,4.32,-9999,-9999,-9999,-9999,-9999,-9999
,25.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,26.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,27.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,28.03.1918,-9999,-9999,-9999,-9999,-9999,11.4,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,29.03.1918,-9999,-9999,-9999,-9999,-9999,0.3,0.5,-9999,-9999,1.8,0,-9999,-9999,-9999,-9999,-9999,-9999
,30.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,4.06,-9999,-9999,-9999,-9999,-9999,-9999
,31.03.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0.25,-9999,-9999,-9999,-9999,-9999,-9999
,01.04.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0.25,-9999,-9999,-9999,-9999,-9999,-9999
,02.04.1918,-9999,-9999,-9999,-9999,-9999,0.3,0,-9999,-9999,10.7,0.76,-9999,-9999,-9999,-9999,-9999,-9999
,03.04.1918,-9999,-9999,-9999,-9999,-9999,0.3,0,-9999,-9999,7.6,0,-9999,-9999,-9999,-9999,-9999,-9999
,04.04.1918,-9999,-9999,-9999,-9999,-9999,0.3,1,-9999,-9999,7.4,0,-9999,-9999,-9999,-9999,-9999,-9999
,05.04.1918,-9999,-9999,-9999,-9999,-9999,0,1,-9999,-9999,5.1,0,-9999,-9999,-9999,-9999,-9999,-9999
,06.04.1918,-9999,-9999,-9999,-9999,-9999,0,1,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,07.04.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0.51,-9999,-9999,-9999,-9999,-9999,-9999
,08.04.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,09.04.1918,-9999,-9999,-9999,-9999,-9999,0,0.8,-9999,-9999,0,0.25,-9999,-9999,-9999,-9999,-9999,-9999
,10.04.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0.76,-9999,-9999,-9999,-9999,-9999,-9999
,11.04.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,1.3,0,-9999,-9999,-9999,-9999,-9999,-9999
,12.04.1918,-9999,-9999,-9999,-9999,-9999,1,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,13.04.1918,-9999,-9999,-9999,-9999,-9999,3.6,4.8,-9999,-9999,5.1,2.79,-9999,-9999,-9999,-9999,-9999,-9999
,14.04.1918,-9999,-9999,-9999,-9999,-9999,2,0,-9999,-9999,24.6,0,-9999,-9999,-9999,-9999,-9999,-9999
,15.04.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,12.4,0.25,-9999,-9999,-9999,-9999,-9999,-9999
,16.04.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,17.04.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0.25,-9999,-9999,-9999,-9999,-9999,-9999
,18.04.1918,-9999,-9999,-9999,-9999,-9999,2.3,0,-9999,-9999,0,11.43,-9999,-9999,-9999,-9999,-9999,-9999
,19.04.1918,-9999,-9999,-9999,-9999,-9999,0.3,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,20.04.1918,-9999,-9999,-9999,-9999,-9999,0.3,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,21.04.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,22.04.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0.76,-9999,-9999,-9999,-9999,-9999,-9999
,23.04.1918,-9999,-9999,-9999,-9999,-9999,7.6,0,-9999,-9999,5.1,9.65,-9999,-9999,-9999,-9999,-9999,-9999
,24.04.1918,-9999,-9999,-9999,-9999,-9999,0,10.7,-9999,-9999,1,0,-9999,-9999,-9999,-9999,-9999,-9999
,25.04.1918,-9999,-9999,-9999,-9999,-9999,0,36.3,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,26.04.1918,-9999,-9999,-9999,-9999,-9999,13.7,0.8,-9999,-9999,5.8,0,-9999,-9999,-9999,-9999,-9999,-9999
,27.04.1918,-9999,-9999,-9999,-9999,-9999,0,6.9,-9999,-9999,7.4,0,-9999,-9999,-9999,-9999,-9999,-9999
,28.04.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,29.04.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,30.04.1918,-9999,-9999,-9999,-9999,-9999,0,0.5,-9999,-9999,0,12.7,-9999,-9999,-9999,-9999,-9999,-9999
,01.05.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,13.72,-9999,-9999,-9999,-9999,-9999,-9999
