@T,reaches
name,reach 
descr,reach.csv 

@H,ID,length,slope,rough,width,deepsink
min,0,0,0,0,0,0
max,99999999,99999999,90,9999,99999999,1
unit,n/a,m,%,n/a,m,n/a
,-170,1798,1.86,30,0.9,0
,-171,1024,0.49,30,3,0
,-172,447,0.72,30,0.7,0
,-173,1259,1.39,30,0.8,0
,-174,496,0.66,30,8.2,0
,-175,1096,0.81,30,0.7,0
,-176,397,2.04,30,0.6,0
,-177,1371,0.82,30,0.9,0
,-178,187,1.41,30,0.6,0
,-179,969,0.83,30,1.4,0
,-180,976,1.58,30,0.7,0
,-181,362,1.43,30,8.3,0
,-182,379,1.31,30,2.5,0
,-183,726,0.62,30,3.7,0
,-184,1246,1.07,30,0.7,0
,-185,1057,1.03,30,8.3,0
,-186,5035,1.56,30,2.3,0
,-187,150,0.38,30,0.8,0
,-188,1236,1.59,30,3.4,0
,-189,2167,0.6,30,1,0
,-190,1414,0.99,30,3.8,0
,-191,4220,0.6,30,1.1,0
,-192,1864,1.05,30,3.5,0
,-193,422,0.45,30,0.7,0
,-194,4603,2.15,30,0.9,0
,-195,5078,1.35,30,1,0
,-196,242,0.74,30,8.3,0
,-197,761,0.66,30,0.8,0
,-198,1383,0.68,30,8.4,0
,-199,2295,0.61,30,0.8,0
,-200,572,0.16,30,3.9,0
,-201,540,0.15,30,1.5,0
,-202,874,0.46,30,1,0
,-203,1161,1.06,30,0.7,0
,-204,1538,0.8,30,0.7,0
,-205,2181,2.04,30,0.8,0
,-206,127,1.67,30,0.6,0
,-207,1305,1.19,30,4,0
,-208,3114,0.68,30,1,0
,-209,3794,1.35,30,3.9,0
,-210,812,0.91,30,0.7,0
,-211,517,0.82,30,0.6,0
,-212,1306,0.51,30,8.5,0
,-213,192,1.08,30,0.7,0
,-214,2160,0.73,30,0.8,0
,-215,3843,1.06,30,1.6,0
,-216,876,1.32,30,0.7,0
,-217,1153,1.28,30,1.3,0
,-218,886,1.72,30,4.1,0
,-219,1021,1.37,30,0.8,0
,-220,801,0.72,30,0.8,0
,-221,1886,1.8,30,5.3,0
,-222,761,1.01,30,5.4,0
,-223,379,0.87,30,1.9,0
,-224,1316,1.46,30,0.7,0
,-225,504,1.33,30,1.5,0
,-226,879,1.27,30,2,0
,-227,444,1.69,30,0.7,0
,-228,42,0.72,30,9.9,0
,-229,1011,0.86,30,10,0
,-230,2576,1.03,30,2.1,0
,-231,1628,1.72,30,4.2,0
,-232,1428,1.3,30,1.6,0
,-233,1049,1.38,30,0.9,0
,-234,2173,0.58,30,1,0
,-235,1526,1.15,30,0.8,0
,-236,1139,2.72,30,0.7,0
,-237,204,1.86,30,0.6,0
,-238,1450,0.46,30,0.7,0
,-239,2357,0.98,30,1,0
,-240,1139,1.9,30,0.7,0
,-241,314,1.89,30,1.1,0
,-242,2785,1.06,30,10.2,0
,-243,2175,1.24,30,2.2,0
,-244,561,0.94,30,1.3,0
,-245,904,0.58,30,0.8,0
,-246,1506,0.95,30,2.4,0
,-247,2285,1.67,30,1.7,0
,-248,1107,1.79,30,4.5,0
,-249,324,1.21,30,0.6,0
,-250,272,1.05,30,1.2,0
,-251,1311,2.13,30,0.8,0
,-252,2061,1.27,30,0.8,0
,-253,839,0.54,30,4.6,0
,-254,1246,0.75,30,1.6,0
,-255,1755,1.5,30,0.7,0
,-256,1441,0.95,30,0.8,0
,-257,1933,1.51,30,0.8,0
,-258,597,1.18,30,0.7,0
,-259,4887,1.81,30,1.2,0
,-260,254,0.89,30,5.1,0
,-261,509,1.41,30,0.6,0
,-262,222,0.4,30,1,0
,-263,174,1.39,30,0.6,0
,-264,611,1.82,30,10.3,0
,-265,899,2.34,30,5.2,0
,-266,447,1.04,30,0.7,0
,-267,957,1.14,30,1.4,0
,-268,2172,1.14,30,1.3,0
,-269,392,0.36,30,0.7,0
,-270,2123,1,30,1,0
,-271,72,0.81,30,0.7,0
,-272,621,1.07,30,1.9,0
,-273,42,1.53,30,1.7,0
,-274,1508,1.37,30,10.3,0
,-275,1838,1.19,30,1.9,0
,-276,4674,1.55,30,1.1,0
,-277,150,4.51,30,0.6,0
,-278,2083,1.12,30,0.8,0
,-279,204,0.74,30,0.6,0
,-280,264,1,30,0.7,0
,-281,2021,0.64,30,1,0
,-282,657,1.81,30,5.3,0
,-283,719,2.24,30,2,0
,-284,72,2.07,30,0.6,0
,-285,844,1.7,30,2.9,0
,-286,1871,1.27,30,3.2,0
,-287,397,1.81,30,2.1,0
,-288,771,1.37,30,3,0
,-289,2710,1.49,30,1.9,0
,-290,439,1.9,30,0.6,0
,-291,1211,1.15,30,0.7,0
,-292,1635,0.66,30,0.8,0
,-293,1266,1.38,30,5.4,0
,-294,902,1.57,30,0.7,0
,-295,674,1.02,30,0.7,0
,-296,144,1.69,30,2.1,0
,-297,169,0.01,30,10.4,0
,-298,2913,1.1,30,5.5,0
,-299,372,1.07,30,5.6,0
,-300,1301,1.34,30,6,0
,-301,387,0.21,30,10.5,0
,-302,1084,0.93,30,0.8,0
,-303,1916,1.57,30,1,0
,-304,247,0.64,30,1.1,0
,-305,72,0.66,30,10.5,0
,-306,482,1.07,30,0.7,0
,-307,1194,1.22,30,0.8,0
,-308,2031,0.99,30,10.5,0
,-309,229,0.69,30,0.6,0
,-310,717,0.97,30,3.3,0
,-311,1541,0.75,30,0.9,0
,-312,1821,1.23,30,0.9,0
,-313,1436,0.97,30,0.8,0
,-314,132,1.84,30,0.6,0
,-315,457,0.45,30,1.2,0
,-316,312,0.38,30,0.7,0
,-317,132,1.24,30,0.6,0
,-318,1596,1.51,30,3.4,0
,-319,1870,1.36,30,6.1,0
,-320,3957,1.48,30,1.7,0
,-321,60,1.44,30,1.4,0
,-322,2594,1.13,30,3.9,0
,-323,2138,0.64,30,0.8,0
,-324,837,0.63,30,3.6,0
,-325,2952,1.59,30,4.4,0
,-326,831,0.93,30,0.9,0
,-327,871,0.28,30,10.7,0
,-328,4865,1.39,30,7.5,0
,-329,1668,1.49,30,0.7,0
,-330,1381,1.78,30,0.8,0
,-331,294,1.62,30,0.6,0
,-332,814,1.7,30,0.7,0
,-333,42,0.4,30,10.7,0
,-334,2799,0.88,30,10.7,0
,-335,494,1.57,30,0.6,0
,-336,869,1.04,30,0.8,0
,-337,5088,1.8,30,4.1,0
,-338,1299,2.28,30,1.8,0
