@T,routing
name,routing_mf.csv
descr,multi-flow routing configuration

@H,from, to, weight
,1,-17,0.00032,8,0.05495,-3,0.94473
,2,-3,0.00152,-1,0.99848
,3,21,1
,4,22,1
,5,18,1
,6,2,1
,7,140,0.03838,-4,0.96162
,8,-3,1
,9,19,1
,10,20,1
,11,18,0.80851,21,0.19149
,12,26,0.38325,-2,0.61675
,13,38,1
,14,29,1
,15,25,1
,16,24,1
,17,-9,0.65582,113,0.34418
,18,22,0.33697,34,0.66303
,19,18,1
,20,-1,1
,21,18,1
,22,1,1
,23,12,0.5735,32,0.4265
,24,2,1
,25,17,0.61413,30,0.38587
,26,-2,0.02314,27,0.97686
,27,-3,0.00099,-2,0.99901
,28,1,1
,29,58,1
,30,17,1
,31,-5,0.01907,65,0.37832,62,0.19167,74,0.24385,39,0.16708
,32,33,0.61397,-2,0.38603
,33,27,0.08443,26,0.91557
,34,37,0.98519,22,0.01481
,35,60,1
,36,61,1
,37,1,1
,38,48,1
,39,62,1
,40,71,1
,41,45,0.47328,32,0.52672
,42,63,1
,43,73,1
,44,53,0.67647,50,0.32353
,45,23,1
,46,57,1
,47,68,0.80634,67,0.19366
,48,56,1
,49,27,1
,50,72,0.72836,70,0.27164
,51,79,1
,52,111,1
,53,72,0.0068,50,0.9932
,54,70,0.84138,50,0.15862
,55,80,1
,56,99,1
,57,68,0.02332,-21,0.0009,-6,0.97578
,58,-8,1
,59,64,1
,60,75,1
,61,82,1
,62,-5,0.24433,74,0.51574,65,0.23992
,63,57,1
,64,75,1
,65,-5,0.97772,74,0.02228
,66,77,1
,67,81,1
,68,81,0.12703,67,0.04136,-6,0.83161
,69,248,0.23731,202,0.69894,208,0.06375
,70,72,1
,71,89,1
,72,95,0.10798,-7,0.89202
,73,94,1
,74,-5,1
,75,-29,0.00087,-11,0.99913
,76,78,1
,77,79,0.06767,84,0.04511,51,0.54887,83,0.33835
,78,72,1
,79,-10,1
,80,97,1
,81,-6,1
,82,-29,0.0025,-30,0.9975
,83,84,1
,84,104,0.74429,79,0.25571
,85,68,0.88,-6,0.12
,86,91,0.91139,131,0.08861
,87,67,0.63265,81,0.36735
,88,119,0.41304,98,0.34783,137,0.23913
,89,111,1
,90,130,0.28959,-19,0.71041
,91,131,1
,92,57,1
,93,139,1
,94,120,1
,95,-7,0.07009,141,0.02804,127,0.90187
,96,144,0.77358,79,0.22642
,97,132,1
,98,119,1
,99,-15,0.00162,-12,0.99838
