@T,hrus ,,,,,,,,,,,,,,
descr,hrus.csv ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,slopelength,sedpool,tiledrainage
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,9999,9999999,9999999,10000,9999999999,3,90,360,999999,9999,9999,9999,9999,9999,1
unit,n/a,m,m,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,m,t,n/a
,71,661909,4596084,288,965700,3,1.7,69.0689,0,2,82,1,10,0,0
,72,660919,4596379,301,50400,2,1.5,115.5619,0,15,81,1,41.0432,0,0
,73,670429,4595524,288,1904400,3,1.4,204.2193,0,2,82,1,10,0,0
,74,660349,4596398,307,66600,2,1.4,208.5538,0,15,82,1,29.4504,0,0
,75,660439,4596482,307,56700,2,0.9,21.0761,0,15,82,1,244.097,0,0
,76,660694,4596180,301,115200,2,1.5,161.5988,0,15,82,1,60.0662,0,0
,77,660364,4596212,304,76500,2,0.7,158.3008,0,15,82,1,33.9655,0,0
,78,658354,4596064,295,130500,2,0.5,73.1136,0,11,82,1,23.321,0,0
,79,671929,4595405,284,1193400,3,1.2,114.6951,0,2,82,1,26.0713,0,0
,80,657109,4596192,303,70200,2,0.6,117.9013,0,15,82,1,30.4371,0,0
,81,659314,4595994,300,245700,2,0.7,251.73,0,15,82,1,20.8333,0,0
,82,659959,4596165,305,66600,2,0.7,252.2388,0,15,82,1,166.42,0,0
,83,661099,4596064,297,169200,2,2.4,115.4937,0,15,82,1,35.2185,0,0
,84,673264,4596139,277,55800,2,0.2,-1,0,11,41,1,44.6832,0,0
,85,673474,4595987,277,84600,2,0.4,257.6401,0,11,82,1,59.2843,0,0
,86,662584,4596109,286,76500,3,1.3,200.7247,0,2,41,1,23.7743,0,0
,87,652849,4595904,307,139500,2,1.9,201.4912,0,2,81,1,41.6667,0,0
,88,672574,4596002,281,286200,2,0.8,111.6762,0,2,82,1,66.2856,0,0
,89,659059,4595460,296,836100,3,0.7,253.6841,0,15,82,1,10,0,0
,90,659824,4596045,303,87300,2,0.5,211.7019,0,15,82,1,153.976,0,0
,91,660514,4595914,303,80100,2,1.8,293.935,0,15,82,1,73.3374,0,0
,92,657289,4595592,301,135900,2,1,203.2743,0,15,82,1,25,0,0
,93,657664,4596060,301,63900,2,0.8,207.0856,0,15,82,1,64.3491,0,0
,94,660664,4595920,300,82800,2,1.1,162.8253,0,15,82,1,76.889,0,0
,95,663034,4596074,285,172800,3,1.8,72.6448,0,2,82,1,29.4625,0,0
,96,664219,4595974,294,108900,2,0.7,209.4359,0,2,82,1,34.7356,0,0
,97,658099,4595884,297,145800,2,1.2,73.6103,0,11,82,1,29.8406,0,0
,98,660064,4595846,303,129600,2,0.9,162.7611,0,15,82,1,10,0,0
,99,657814,4595800,299,66600,2,1.4,205.1547,0,11,82,1,25.8664,0,0
,100,660589,4595325,294,287100,3,1.6,343.8707,0,2,82,1,155.761,0,0
,101,657139,4595803,301,171900,2,1.7,122.8635,0,15,82,1,48.4827,0,0
,102,660394,4595839,302,56700,2,1.3,24.0827,0,15,82,1,28.5162,0,0
,103,672334,4595800,280,82800,2,0.7,167.2547,0,2,82,1,10,0,0
,104,659629,4595826,301,81000,2,0.8,208.487,0,15,41,1,30,0,0
,105,661699,4595599,292,281700,2,1.4,15.3804,0,2,81,1,35.7777,0,0
,106,664099,4595520,291,594000,2,1,159.8258,0,10,82,1,74.1108,0,0
,107,652729,4595687,306,112500,2,1.6,115.399,0,2,82,1,291.872,0,0
,108,673414,4595661,278,468900,3,0.7,294.7558,0,11,82,1,42.6775,0,0
,109,656959,4595287,296,225000,2,3.5,201.5574,0,15,82,1,10,0,0
,110,657694,4595482,295,294300,2,2,120.2067,0,11,82,1,90.8656,0,0
,111,660694,4595670,299,54900,2,1.6,75.7716,0,15,82,1,10,0,0
,112,656629,4595516,301,120600,2,2,27.8365,0,15,81,1,113.795,0,0
,113,665119,4595428,290,1093500,3,1,115.0361,0,2,82,1,10,0,0
,114,658339,4595265,293,441000,3,0.7,207.8692,0,11,82,1,26.1078,0,0
,115,659629,4595593,301,121500,2,0.9,253.2444,0,15,41,1,59.9986,0,0
,116,672724,4595593,277,150300,3,0.4,76.3064,0,11,82,1,67.524,0,0
,117,654694,4595573,305,110700,2,2.1,117.3709,0,2,82,1,44.45,0,0
,118,654109,4595584,307,207900,2,1.8,202.9649,0,2,82,1,42.6775,0,0
,119,660589,4595503,300,156600,2,1.6,157.7333,0,15,82,1,28.3469,0,0
,120,657304,4595387,298,81000,2,3.9,203.5858,0,15,82,1,10,0,0
,121,653779,4595068,301,406800,3,1.7,158.1374,0,2,82,1,53.284,0,0
,122,661024,4595509,295,53100,2,2.3,21.0745,0,2,41,1,21.875,0,0
,123,662764,4595085,286,900000,3,2.1,72.0276,0,2,82,1,90.625,0,0
,124,651859,4595186,306,430200,3,2,295.3469,0,2,82,1,34.0192,0,0
,125,653914,4595432,306,61200,2,2.5,194.7859,0,2,82,1,37.5,0,0
,126,659344,4594788,297,1121400,3,1.1,296.7889,0,15,82,1,10,0,0
,127,661069,4595380,295,81000,2,2.3,115.3551,0,2,82,1,36.785,0,0
,128,669094,4595485,290,57600,2,1.2,251.0829,0,10,82,1,25,0,0
,129,654844,4595218,303,206100,2,1.2,28.279,0,15,82,1,143.277,0,0
,130,656014,4595205,299,235800,2,2.8,114.4823,0,15,81,1,127.827,0,0
,131,660964,4595144,295,57600,2,2.4,79.6638,0,2,82,1,25,0,0
,132,661309,4595051,296,274500,2,1.3,339.7767,0,2,82,1,79.505,0,0
,133,666094,4595362,289,269100,3,0.7,-1,0,2,82,1,186.831,0,0
,134,668089,4594837,290,1238400,3,0.6,-1,0,10,82,1,99.871,0,0
,135,655009,4594959,308,117900,2,3.1,293.6043,0,15,82,1,143.2,0,0
,136,674794,4595320,284,140400,2,0.6,206.3538,0,2,82,1,71.2853,0,0
,137,656419,4595355,303,109800,2,3,197.3103,0,15,81,1,31.9212,0,0
,138,657889,4595197,293,200700,2,1.3,117.41,0,11,82,1,25,0,0
,139,662134,4595156,293,106200,2,1.2,199.3611,0,2,82,1,22.1507,0,0
,140,665884,4594165,289,1793700,3,0.9,162.6341,0,2,82,1,37.7767,0,0
,141,672814,4595237,275,96300,3,0.5,165.57,0,11,81,1,49.0347,0,0
,142,674149,4595136,282,187200,2,0.6,209.2468,0,2,82,1,29.1339,0,0
,143,651019,4595354,311,58500,2,1.9,117.5843,0,2,82,1,27.741,0,0
,144,655399,4595287,303,273600,2,4,158.7229,0,15,81,1,39.767,0,0
,145,661819,4595147,295,97200,2,1.3,29.6357,0,2,81,1,28.125,0,0
,146,669589,4595286,292,185400,2,1.4,163.7178,0,2,82,1,42.5085,0,0
,147,650734,4595190,311,188100,2,1.1,158.1582,0,2,82,1,35.6775,0,0
,148,667489,4595190,290,268200,3,1.1,202.7923,0,10,82,1,21.875,0,0
,149,673159,4595203,276,178200,3,0.9,294.6628,0,11,82,1,27.2727,0,0
,150,666769,4594950,289,387000,3,1.2,298.7296,0,10,82,1,28.125,0,0
,151,668959,4595128,290,315900,2,1.2,339.4792,0,10,82,1,25.9259,0,0
,152,673684,4595252,281,121500,2,0.9,335.3347,0,2,82,1,10,0,0
,153,651184,4595091,309,228600,2,1,-1,0,2,81,1,10,0,0
,154,656524,4594999,292,353700,2,2.5,201.9465,0,15,81,1,137.133,0,0
,155,660649,4595183,300,76500,2,1.2,20.3457,0,2,82,1,44.6076,0,0
,156,655789,4595008,298,145800,2,2.8,207.485,0,15,82,1,10,0,0
,157,664084,4594719,287,629100,3,1.2,203.8923,0,10,82,1,60.355,0,0
,158,654589,4595096,306,67500,2,2.4,19.1402,0,15,82,1,25,0,0
,159,660079,4595195,300,171000,2,0.8,-1,0,15,82,1,20.3488,0,0
,160,663349,4595162,287,82800,2,1.3,110.7891,0,2,82,1,122.75,0,0
,161,654184,4594814,299,250200,3,3.1,293.6695,0,15,82,1,46.1292,0,0
,162,657274,4595080,286,152100,3,1.9,67.7432,0,15,11,1,10,0,0
,163,664849,4594471,287,1104300,3,1.3,338.3694,0,2,82,1,126.801,0,0
,164,672334,4594721,275,855900,3,0.7,121.058,0,11,82,1,10,0,0
,165,656914,4594948,296,74700,2,4.1,205.4254,0,15,81,1,50.9314,0,0
,166,669514,4595125,289,51300,2,1.1,202.9215,0,2,41,1,47.3003,0,0
,167,653194,4594990,304,108900,3,2.4,106.9512,0,2,82,1,29.1477,0,0
,168,655414,4594828,296,265500,2,2.6,23.733,0,15,82,1,42.0876,0,0
,169,660574,4594802,300,469800,2,1,116.4306,0,2,82,1,46.7502,0,0
,170,671614,4594858,280,323100,2,1.2,162.7856,0,2,82,1,26.9269,0,0
,171,673444,4594973,278,140400,2,1.1,253.2143,0,2,81,1,54.4346,0,0
,172,651919,4595042,310,138600,2,3.2,16.5597,0,2,82,1,18.7218,0,0
,173,663694,4594837,288,257400,3,1.1,296.0217,0,10,82,1,23.5711,0,0
,174,673924,4594719,280,547200,2,0.7,301.5397,0,2,82,1,40.7829,0,0
,175,670054,4594074,286,1011600,3,1.7,203.1959,0,2,82,1,18.8202,0,0
,176,652879,4594646,304,920700,3,1.1,-1,0,2,82,1,17.1748,0,0
,177,653884,4594935,302,58500,2,2.4,17.6357,0,15,82,1,40.2723,0,0
