@T,hru_override
@H,ID,soilPolRed,BetaW,soilMaxInfSummer,soilMaxInfWinter,soilMaxInfSnow,soilOutLPS
,27,0.8,1,120,60,50,1
,30,0.8,1,20,5,10,0.2
