@T,Parameter,,,,,,,,,,,,,
descr,hrus.csv,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,slopelength,sedpool
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,9999,999999,9999999,10000,9999999999,3,90,360,999999,9999,9999,9999,9999,9999
unit,n/a,m,m,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,m,t
,80,662209,4597352,301,51300,2,2.4,248.8784,0,2,82,1,100,0
,81,665989,4597641,303,22500,2,2.8,203.7627,0,2,81,1,100,0
,82,663874,4597514,307,52200,2,1.3,117.3207,0,2,82,1,100,0
,83,665629,4597620,299,76500,2,3.2,160.3058,0,2,82,1,100,0
,84,666409,4597632,294,39600,2,2,337.1001,0,2,81,1,100,0
,85,663409,4597542,308,16200,2,2.5,248.3431,0,2,81,1,100,0
,86,664534,4597410,302,122400,2,1.2,206.8148,0,2,82,1,100,0
,87,666694,4597581,295,18000,2,1.4,305.1934,0,2,81,1,100,0
,88,662239,4597525,302,23400,2,1.3,125.4018,0,2,82,1,100,0
,89,663454,4597431,308,18000,2,1.3,172.357,0,2,81,1,100,0
,90,664909,4597512,304,25200,2,0.7,165.7892,0,2,81,1,100,0
,91,665044,4597406,303,67500,2,0.7,164.9617,0,2,82,1,100,0
,92,665239,4597512,303,45000,2,1.1,76.3555,0,2,82,1,100,0
,93,665734,4597414,297,126900,2,1.7,70.6852,0,2,82,1,100,0
,94,665944,4597495,298,38700,2,2.2,159.1527,0,2,82,1,100,0
,95,666319,4597222,290,141300,3,1,112.6766,0,2,82,1,100,0
,96,664789,4597495,304,21600,2,0.7,153.4563,0,2,81,1,100,0
,97,666784,4597468,295,51300,2,1.2,201.9829,0,2,81,1,100,0
,98,663559,4597281,304,122400,2,1.4,164.7839,0,2,82,1,100,0
,99,666469,4597452,293,59400,2,0.9,203.293,0,2,82,1,100,0
,100,666964,4597465,296,24300,2,1,251.0934,0,2,81,1,100,0
,101,667639,4597371,292,18900,2,0.4,113.7205,0,10,82,1,100,0
,102,667759,4597267,292,98100,2,0.7,250.4716,0,10,41,1,100,0
,103,661789,4597251,300,114300,2,1.6,110.1166,0,2,82,1,100,0
,104,663259,4597346,304,37800,2,1.9,253.5314,0,2,81,1,100,0
,105,663829,4597422,303,40500,2,2.5,103.8642,0,2,81,1,100,0
,106,664399,4597290,301,55800,2,2.8,245.9342,0,2,82,1,100,0
,107,661264,4597484,301,18900,2,0.5,30.4355,0,15,82,1,100,0
,108,661489,4597444,301,24300,2,0.4,24.9009,0,15,82,1,100,0
,109,663094,4597089,301,194400,2,0.9,119.6968,0,2,82,1,100,0
,110,663349,4597273,304,54900,2,0.9,163.2079,0,2,82,1,100,0
,111,666829,4596021,290,1756800,3,0.8,-1,0,2,82,1,100,0
,112,661384,4597292,301,35100,2,0.5,22.2977,0,15,82,1,100,0
,113,662404,4597292,297,40500,2,1.6,111.1417,0,2,82,1,100,0
,114,664774,4597305,302,21600,2,1.2,200.5305,0,2,81,1,100,0
,115,665569,4597292,299,60300,2,2,70.8501,0,2,82,1,100,0
,116,666139,4597086,292,110700,2,1.4,65.9346,0,2,81,1,100,0
,117,666784,4597313,294,18000,2,0.5,255.6438,0,2,41,1,100,0
,118,667054,4597424,295,21600,2,0.8,215.4453,0,2,82,1,100,0
,119,666469,4597315,291,20700,2,1.5,252.5375,0,2,81,1,100,0
,120,661219,4597150,303,18900,2,0.6,19.4468,0,15,81,1,100,0
,121,661564,4597285,301,22500,2,0.4,23.1994,0,15,82,1,100,0
,122,662779,4597311,302,18000,2,0.7,305.7512,0,2,82,1,100,0
,123,661294,4597334,303,40500,2,0.9,18.3137,0,15,81,1,100,0
,124,662644,4597358,301,24300,2,1.7,302.7567,0,2,82,1,100,0
,125,662869,4597161,302,24300,2,0.6,258.5798,0,2,82,1,100,0
,126,664444,4597334,302,24300,2,1.8,115.9496,0,2,82,1,100,0
,127,667594,4597228,292,19800,2,0.5,158.8581,0,10,41,1,100,0
,128,662479,4596776,296,144000,2,1.9,211.0635,0,2,41,1,100,0
,129,663769,4597238,303,23400,2,2.5,119.9394,0,2,81,1,100,0
,130,666754,4597255,292,48600,2,1.4,209.7175,0,2,82,1,100,0
,131,662569,4597221,301,20700,2,1.4,254.5698,0,2,82,1,100,0
,132,665074,4597155,301,20700,2,0.9,210.2623,0,2,82,1,100,0
,133,666574,4597163,290,32400,2,0.8,153.2488,0,2,82,1,100,0
,134,667504,4596998,291,45000,2,1.5,26.7446,0,10,82,1,100,0
,135,661594,4597125,301,48600,2,1,71.2549,0,2,82,1,100,0
,136,662104,4596914,298,54900,2,2.8,294.2752,0,2,82,1,100,0
,137,662614,4597069,300,61200,2,2.8,250.3284,0,2,82,1,100,0
,138,662989,4596753,297,153900,2,3.1,117.7949,0,2,82,1,100,0
,139,663829,4597122,302,65700,2,1.6,17.9597,0,2,82,1,100,0
,140,666844,4597092,293,25200,2,1.3,215.6476,0,2,41,1,100,0
,141,662374,4596960,298,22500,2,3.2,161.0037,0,2,41,1,100,0
,142,664744,4597048,298,25200,2,1.2,216.0578,0,2,81,1,100,0
,143,664939,4597078,300,46800,2,0.8,159.9238,0,2,81,1,100,0
,144,665674,4597003,296,239400,2,1.9,119.0061,0,2,82,1,100,0
,145,663754,4596960,302,39600,2,1.6,153.9971,0,2,82,1,100,0
,146,666589,4596992,289,99900,2,0.6,-1,0,2,82,1,100,0
,147,667654,4597110,290,2346300,3,0.5,-1,0,10,82,1,100,0
,148,661489,4597015,303,28800,2,1.2,117.7671,0,15,82,1,100,0
,149,667624,4597002,290,15300,2,1.5,187.5972,0,10,82,1,100,0
,150,661129,4596998,303,55800,2,1.6,248.5388,0,15,82,1,100,0
,151,662239,4596958,298,32400,2,2.4,154.9061,0,2,41,1,100,0
,152,662854,4597011,302,17100,2,0.8,159.5264,0,2,82,1,100,0
,153,663844,4596914,302,16200,2,1.3,165.5493,0,2,82,1,100,0
,154,664519,4597108,300,27000,2,1.9,149.9399,0,2,81,1,100,0
,155,660814,4596917,303,208800,2,1.2,25.5144,0,15,82,1,100,0
,156,661309,4596955,304,19800,2,0.5,122.7344,0,15,82,1,100,0
,157,663349,4596833,301,52200,2,1.1,251.2843,0,2,82,1,100,0
,158,664054,4596688,297,227700,3,1.2,116.3366,0,2,41,1,100,0
,159,665194,4596925,298,26100,2,2,130.3647,0,2,41,1,100,0
,160,665854,4596951,293,16200,2,1,51.4304,0,2,91,1,100,0
,161,662824,4596868,300,33300,2,2.3,198.3779,0,2,82,1,100,0
,162,663529,4596587,300,121500,2,1.3,159.6219,0,2,41,1,100,0
,163,664834,4597015,298,27900,2,1,198.0159,0,2,81,1,100,0
,164,665014,4596825,298,42300,2,1.4,166.6689,0,2,81,1,100,0
,165,661384,4596944,301,43200,2,0.7,115.6848,0,2,81,1,100,0
,166,660409,4596795,307,55800,2,0.9,25.2164,0,15,81,1,100,0
,167,661399,4596887,303,22500,2,1.4,113.3301,0,15,81,1,100,0
,168,665854,4596884,297,15300,2,1.1,29.3423,0,2,82,1,100,0
,169,666814,4596884,290,477900,3,1.8,290.375,0,2,82,1,100,0
,170,661414,4596681,301,27900,2,0.8,121.9332,0,15,81,1,100,0
,171,662629,4596722,293,39600,2,2.2,204.9196,0,2,82,1,100,0
,172,671704,4596275,287,946800,2,1.1,115.2373,0,2,82,1,100,0
,173,663439,4596621,299,27900,2,1.4,195.7375,0,2,82,1,100,0
,174,660649,4596698,306,29700,2,1.6,23.0195,0,15,82,1,100,0
,175,672664,4596254,280,84600,2,1.3,117.6765,0,2,81,1,100,0
,176,660874,4596668,305,28800,2,2.9,14.5272,0,15,81,1,100,0
,177,662809,4596655,298,20700,2,3.1,254.667,0,2,82,1,100,0
,178,672469,4596628,283,53100,2,1.2,157.1096,0,2,82,1,100,0
,179,672964,4596563,278,57600,2,0.7,124.2183,0,2,82,1,100,0
,180,661654,4596612,299,33300,2,2.2,161.3003,0,2,82,1,100,0
,181,662674,4596638,291,25200,2,3.3,210.5674,0,2,82,1,100,0
,182,659524,4596397,300,553500,2,0.8,295.2372,0,15,82,1,100,0
,183,661204,4596630,298,52200,2,2.4,108.7983,0,15,81,1,100,0
,184,662284,4596491,288,209700,3,1.6,73.3505,0,2,82,1,100,0
,185,663124,4596674,298,57600,2,3.3,248.8544,0,2,82,1,100,0
,186,663874,4596542,297,24300,2,1.3,155.7085,0,2,41,1,100,0
,187,653449,4596360,315,177300,2,2.8,162.4252,0,2,82,1,100,0
,188,660754,4596538,305,70200,2,1.1,205.2516,0,15,82,1,100,0
,189,660949,4596525,303,18000,2,2.1,123.8622,0,15,81,1,100,0
,190,661204,4596411,298,17100,2,1.9,206.6755,0,15,82,1,100,0
,191,661279,4596374,299,59400,2,2.6,166.3807,0,15,82,1,100,0
,192,663499,4596533,296,104400,2,0.8,158.0088,0,2,82,1,100,0
,193,665719,4596512,295,15300,2,1.2,160.9497,0,2,81,1,100,0
,194,672289,4596512,284,109800,2,1.2,76.9348,0,2,82,1,100,0
,195,660409,4596561,307,26100,2,0.4,19.1345,0,15,82,1,100,0
,196,669559,4595977,292,269100,2,0.6,119.7416,0,10,82,1,100,0
,197,670144,4596311,293,316800,2,0.5,-1,0,2,82,1,100,0
,198,662644,4596531,287,16200,2,2.1,165.8226,0,2,41,1,100,0
,199,660604,4596381,307,33300,2,1.4,69.9579,0,15,82,1,100,0
,200,661654,4596448,292,36000,2,2.6,203.4019,0,2,82,1,100,0
,201,661894,4596554,298,24300,2,4.1,245.4369,0,2,82,1,100,0
,202,661924,4596501,294,16200,2,2,65.399,0,2,81,1,100,0
,203,663274,4596194,298,40500,2,1.6,113.5724,0,2,82,1,100,0
,204,663379,4596356,296,73800,2,1,112.842,0,2,82,1,100,0
,205,660994,4596330,301,22500,2,1.4,152.5738,0,15,81,1,100,0
,206,663934,4596344,295,21600,2,0.5,156.19,0,2,41,1,100,0
,207,671344,4594710,288,1849500,3,1.4,204.4731,0,2,82,1,100,0
,208,660844,4596404,303,18000,2,1.7,113.3005,0,15,81,1,100,0
,209,661459,4596353,291,91800,2,2.1,162.8923,0,2,82,1,100,0
,210,662044,4596465,291,54000,2,4.4,160.0346,0,2,82,1,100,0
,211,662599,4596257,287,97200,3,1.8,201.1517,0,2,41,1,100,0
,212,662734,4594784,284,837000,3,1.8,248.0677,0,2,82,1,100,0
,213,665749,4596366,292,139500,2,1.8,115.97,0,2,82,1,100,0
,214,669769,4596450,292,23400,2,0.4,82.5251,0,10,82,1,100,0
,215,673069,4596402,277,36900,2,0.3,212.5978,0,2,82,1,100,0
,216,660289,4596398,307,36000,2,1,163.4514,0,15,82,1,100,0
,217,660304,4596330,307,30600,2,1.9,208.8701,0,15,82,1,100,0
,218,672274,4596174,282,210600,2,0.9,112.7419,0,2,82,1,100,0
,219,672649,4596385,279,29700,2,1.1,112.3439,0,2,81,1,100,0
,220,653014,4596254,307,831600,2,1.7,159.3804,0,2,82,1,100,0
,221,660739,4596325,303,28800,2,2.1,119.0577,0,15,81,1,100,0
,222,672874,4596246,277,50400,2,0.2,81.2651,0,2,82,1,100,0
,223,660364,4596212,304,76500,2,0.7,158.3008,0,15,82,1,100,0
,224,661069,4596212,298,19800,2,1.8,69.7442,0,15,81,1,100,0
,225,661984,4596464,287,765000,3,1.1,-1,0,2,82,1,100,0
,226,663859,4596252,294,45000,2,0.8,166.3579,0,2,82,1,100,0
,227,658504,4595774,295,108000,2,0.4,73.3334,0,11,82,1,100,0
,228,660904,4596208,300,37800,2,0.7,124.2614,0,15,81,1,100,0
,229,663514,4596222,294,34200,2,1.3,120.3386,0,2,82,1,100,0
,230,663649,4596291,295,18900,2,1.1,173.8549,0,2,82,1,100,0
,231,664099,4596199,295,41400,2,0.7,68.4618,0,2,82,1,100,0
,232,673264,4595897,277,558900,2,0.5,-1,0,11,82,1,100,0
,233,657304,4596254,303,18000,2,0.6,119.4587,0,15,82,1,100,0
,234,657904,4595954,297,53100,2,1.3,67.8323,0,11,82,1,100,0
,235,659584,4596231,303,22500,2,0.7,242.4989,0,15,82,1,100,0
,236,660049,4596178,306,36900,2,0.9,249.4458,0,15,82,1,100,0
,237,660634,4596231,304,21600,2,2.4,160.9342,0,15,82,1,100,0
,238,672649,4596103,278,107100,2,0.8,105.388,0,2,82,1,100,0
,239,657109,4596175,302,52200,2,0.6,117.6046,0,15,82,1,100,0
,240,661144,4596134,296,18900,2,2.5,106.6854,0,15,82,1,100,0
,241,661159,4596066,296,63900,2,3.3,115.2983,0,15,82,1,100,0
,242,661414,4596132,287,22500,2,1.1,148.9876,0,2,82,1,100,0
,243,663184,4596197,297,18000,2,1.9,254.227,0,2,82,1,100,0
,244,663904,4596118,294,51300,2,1,290.6096,0,2,82,1,100,0
,245,665644,4596184,293,18000,2,0.6,110.9908,0,2,82,1,100,0
,246,659314,4595977,300,218700,2,0.7,253.3784,0,15,82,1,100,0
,247,660664,4595917,300,189000,2,1.3,163.5212,0,15,82,1,100,0
,248,659464,4595927,303,42300,2,0.6,210.9722,0,15,82,1,100,0
,249,663169,4596111,294,16200,2,1.8,200.7916,0,2,82,1,100,0
,250,660409,4596028,304,20700,2,1.6,109.3118,0,15,82,1,100,0
,251,663169,4595989,290,61200,2,3.7,246.2897,0,2,82,1,100,0
,252,663379,4596055,295,19800,2,1,111.1218,0,2,82,1,100,0
,253,656959,4596025,303,45000,2,0.8,115.2451,0,15,82,1,100,0
,254,657289,4595933,301,97200,2,1.1,202.326,0,15,82,1,100,0
,255,657484,4595978,301,40500,2,0.7,109.3131,0,15,82,1,100,0
,256,659854,4596135,304,46800,2,0.5,255.972,0,15,82,1,100,0
,257,663454,4595920,292,40500,2,2.8,112.7079,0,2,82,1,100,0
,258,663559,4595854,289,129600,2,1.7,296.5784,0,2,82,1,100,0
,259,652774,4595968,306,76500,2,1.4,116.3807,0,2,82,1,100,0
,260,664399,4595955,294,56700,2,0.7,252.813,0,2,82,1,100,0
,261,659899,4595942,304,28800,2,0.5,252.8331,0,15,41,1,100,0
,262,660004,4595846,303,65700,2,1,162.5819,0,15,41,1,100,0
,263,660169,4595899,302,36900,2,0.9,164.0875,0,15,82,1,100,0
,264,663334,4595952,294,18000,2,2.9,200.213,0,2,82,1,100,0
,265,657619,4595922,299,33300,2,1,109.6162,0,15,82,1,100,0
,266,657799,4595948,300,18000,2,1.1,213.6095,0,11,82,1,100,0
,267,658084,4595764,296,129600,2,1.2,112.55,0,11,81,1,100,0
,268,659059,4595882,298,47700,2,0.7,26.0641,0,15,81,1,100,0
,269,660319,4595593,303,47700,2,1.1,293.935,0,15,82,1,100,0
,270,672724,4595862,277,23400,2,0.1,-1,0,2,41,1,100,0
,271,662224,4595957,293,167400,3,2.6,71.6717,0,2,82,1,100,0
,272,664009,4595878,295,28800,2,0.7,159.4458,0,10,82,1,100,0
,273,657169,4595657,299,88200,2,1.3,294.4401,0,15,82,1,100,0
,274,659404,4595804,301,81000,2,0.8,207.5134,0,15,41,1,100,0
,275,660634,4595685,297,55800,2,2.3,159.2345,0,15,82,1,100,0
,276,662674,4595940,284,5400,3,0.9,58.3135,0,2,82,1,100,0
,277,663664,4595655,292,110700,2,1.7,295.7821,0,2,82,1,100,0
,278,664324,4595783,292,78300,2,0.8,154.9897,0,10,82,1,100,0
,279,652204,4595608,307,140400,2,2.8,25.9771,0,2,82,1,100,0
,280,652534,4595661,307,125100,2,3,154.0829,0,2,82,1,100,0
,281,652759,4595781,307,24300,2,1.2,75.3445,0,2,81,1,100,0
,282,657034,4595816,302,77400,2,2.3,121.753,0,15,82,1,100,0
,283,660394,4595805,302,43200,2,1.3,19.1172,0,15,82,1,100,0
,284,664174,4595792,293,21600,2,0.9,155.6241,0,10,82,1,100,0
,285,656884,4595591,298,109800,2,2.6,203.0644,0,15,82,1,100,0
,286,657754,4595871,298,18000,2,1.1,212.879,0,11,82,1,100,0
,287,657469,4595785,300,16200,2,1.1,148.6632,0,15,82,1,100,0
,288,657874,4595798,299,25200,2,2,205.1281,0,11,82,1,100,0
,289,658294,4595774,295,22500,2,0.6,198.8716,0,11,82,1,100,0
,290,663934,4595758,294,39600,2,0.8,120.8179,0,10,82,1,100,0
,291,664489,4595732,293,29700,2,0.8,209.0797,0,2,82,1,100,0
,292,656614,4595755,302,29700,2,1.2,157.6956,0,15,82,1,100,0
,293,657694,4595620,297,44100,2,1.2,123.0156,0,11,82,1,100,0
,294,665119,4595428,290,1093500,3,1,115.0361,0,2,82,1,100,0
,295,672994,4595834,277,25200,2,0.1,-1,0,11,82,1,100,0
,296,673024,4595702,276,19800,2,0.4,87.3666,0,11,81,1,100,0
,297,654664,4595383,304,217800,2,1.1,206.1217,0,2,82,1,100,0
,298,657769,4595715,294,91800,2,1.1,200.0629,0,11,82,1,100,0
,299,659644,4595633,300,87300,2,1,205.5183,0,15,41,1,100,0
,300,658414,4595774,294,28800,2,0.8,109.4422,0,11,81,1,100,0
,301,658444,4595774,292,363600,3,0.6,209.2985,0,11,82,1,100,0
,302,660814,4595728,295,50400,2,2.3,80.0971,0,15,82,1,100,0
