@T,Observed,
descr,observed runoff at F34 - Upper Cedar Creek,
unit,m³/s,
missing_val,-9999,
date_start,01.06.2005,
date_end,31.07.2012,
date_format,dd.MM.yyyy,
,,
@H,date,orun[1]
name,,F34
ID,,F34
elevation,,266
x,,665983
y,,4585116
,30.10.2010,0.235
,31.10.2010,0.32
,01.11.2010,0.228
,02.11.2010,0.221
,03.11.2010,0.195
,04.11.2010,0.186
,05.11.2010,0.186
,06.11.2010,0.185
,07.11.2010,0.183
,09.11.2010,0.191
,10.11.2010,0.188
,11.11.2010,0.189
,12.11.2010,0.189
,13.11.2010,0.189
,14.11.2010,0.187
,15.11.2010,0.21
,17.11.2010,0.321
,19.11.2010,0.268
,20.11.2010,0.272
,21.11.2010,0.241
,22.11.2010,0.384
,23.11.2010,1.159
,24.11.2010,0.389
,26.11.2010,0.72
,27.11.2010,0.268
,28.11.2010,0.331
,29.11.2010,0.412
,30.11.2010,0.624
,01.12.2010,0.89
,02.12.2010,0.734
,03.12.2010,0.59
,04.12.2010,0.555
,06.12.2010,0.485
,07.12.2010,0.512
,08.12.2010,0.459
,09.12.2010,0.445
,10.12.2010,0.386
,13.12.2010,1.307
,14.12.2010,1.361
,15.12.2010,1.11
,16.12.2010,1.067
,17.12.2010,1.033
,18.12.2010,0.885
,19.12.2010,0.54
,20.12.2010,0.551
,21.12.2010,0.575
,22.12.2010,0.57
,30.12.2010,0.52
,31.12.2010,0.649
,03.01.2011,0.353
,04.01.2011,0.185
,05.01.2011,0.553
,06.01.2011,0.41
,07.01.2011,0.628
,08.01.2011,0.65
,10.01.2011,0.503
,11.01.2011,0.517
,12.01.2011,0.379
,13.01.2011,0.341
,14.01.2011,0.343
,15.01.2011,0.334
,16.01.2011,0.576
,17.01.2011,0.681
,18.01.2011,0.596
,19.01.2011,0.664
,20.01.2011,0.585
,21.01.2011,0.763
,23.01.2011,0.784
,24.01.2011,0.799
,25.01.2011,0.801
,26.01.2011,0.791
,27.01.2011,0.794
,28.01.2011,0.522
,29.01.2011,0.434
,30.01.2011,0.426
,31.01.2011,0.464
,01.02.2011,0.737
,04.02.2011,0.757
,05.02.2011,0.775
,06.02.2011,0.812
,07.02.2011,0.8
,08.02.2011,0.78
,09.02.2011,0.772
,10.02.2011,0.768
,11.02.2011,0.64
,12.02.2011,0.702
,13.02.2011,0.736
,14.02.2011,1.359
,15.02.2011,2.945
,16.02.2011,2.583
,17.02.2011,2.501
,18.02.2011,3.157
,19.02.2011,1.239
,20.02.2011,0.873
,21.02.2011,0.924
,22.02.2011,0.572
,23.02.2011,0.42
,24.02.2011,0.475
,25.02.2011,0.282
,26.02.2011,0.526
,27.02.2011,0.554
,28.02.2011,2.508
,01.03.2011,3.036
,02.03.2011,2.358
,03.03.2011,2.113
,04.03.2011,1.726
,05.03.2011,5.438
,06.03.2011,16.164
,07.03.2011,7.663
,08.03.2011,5.99
,09.03.2011,6.422
,10.03.2011,6.703
,11.03.2011,4.783
,12.03.2011,4.384
,14.03.2011,3.3
,15.03.2011,3.051
,17.03.2011,3.02
,23.03.2011,1.918
,24.03.2011,2.108
,27.03.2011,3.243
,28.03.2011,1.395
,06.05.2011,0.9
,07.05.2011,0.704
,08.05.2011,0.723
,09.05.2011,1.621
,10.05.2011,2.232
,11.05.2011,2.102
,12.05.2011,1.894
,13.05.2011,1.82
,14.05.2011,2.086
,15.05.2011,4.362
,16.05.2011,4.994
,17.05.2011,3.959
,18.05.2011,3.311
,19.05.2011,3.019
,20.05.2011,3.081
,21.05.2011,2.646
,22.05.2011,2.403
,23.05.2011,2.942
,24.05.2011,2.427
,25.05.2011,8.46
,26.05.2011,21.511
,27.05.2011,17.286
,28.05.2011,11.473
,29.05.2011,13.925
,30.05.2011,7.921
,31.05.2011,5.286
,01.06.2011,4.259
,02.06.2011,3.784
,03.06.2011,3.407
,04.06.2011,3.081
,05.06.2011,2.806
,06.06.2011,2.466
,07.06.2011,2.176
,08.06.2011,1.896
,09.06.2011,1.719
,10.06.2011,1.701
,11.06.2011,1.332
,12.06.2011,1.323
,13.06.2011,1.324
,14.06.2011,1.243
,15.06.2011,1.166
,16.06.2011,1.161
,17.06.2011,1.089
,18.06.2011,1.036
,19.06.2011,1.01
,20.06.2011,1.061
,21.06.2011,1.105
,22.06.2011,2.59
,23.06.2011,1.66
,24.06.2011,1.27
,25.06.2011,1.191
,26.06.2011,0.722
,27.06.2011,0.921
,28.06.2011,0.731
,29.06.2011,0.794
,30.06.2011,0.654
,01.07.2011,0.777
,02.07.2011,0.744
,03.07.2011,0.714
,04.07.2011,0.678
,05.07.2011,0.625
,06.07.2011,0.619
,07.07.2011,0.605
,08.07.2011,0.414
,09.07.2011,0.558
,10.07.2011,0.515
,11.07.2011,0.551
,12.07.2011,0.527
,13.07.2011,0.88
,14.07.2011,0.642
,15.07.2011,0.3
,16.07.2011,0.252
,17.07.2011,0.407
,18.07.2011,0.415
,19.07.2011,0.451
,20.07.2011,0.486
,21.07.2011,0.495
,22.07.2011,0.438
,23.07.2011,0.508
,24.07.2011,0.778
,25.07.2011,0.583
,26.07.2011,0.5
,27.07.2011,0.381
,28.07.2011,0.445
,29.07.2011,0.581
,30.07.2011,0.511
,31.07.2011,0.411
,01.08.2011,0.489
,02.08.2011,0.392
,03.08.2011,0.445
,04.08.2011,0.51
,05.08.2011,2.097
,06.08.2011,0.323
,07.08.2011,1.702
,08.08.2011,0.33
,09.08.2011,0.334
,10.08.2011,0.301
,11.08.2011,0.335
,12.08.2011,0.335
,13.08.2011,0.14
,14.08.2011,0.262
,15.08.2011,0.11
,16.08.2011,0.016
,17.08.2011,0.257
,18.08.2011,0.083
,19.08.2011,0.092
,20.08.2011,0.212
,21.08.2011,0.228
,22.08.2011,0.227
,23.08.2011,0.25
,24.08.2011,0.437
,25.08.2011,0.345
,26.08.2011,0.27
,27.08.2011,0.239
,28.08.2011,0.226
,29.08.2011,0.192
,30.08.2011,0.201
,31.08.2011,0.2
,01.09.2011,0.209
,02.09.2011,0.239
,03.09.2011,0.196
,04.09.2011,0.282
,05.09.2011,0.241
,06.09.2011,0.203
,07.09.2011,0.212
,08.09.2011,0.28
,09.09.2011,0.359
,10.09.2011,0.253
,11.09.2011,0.12
,12.09.2011,0.247
,13.09.2011,0.273
,14.09.2011,0.229
,15.09.2011,0.239
,16.09.2011,0.207
,17.09.2011,0.204
,18.09.2011,0.215
,19.09.2011,0.519
,20.09.2011,0.565
,21.09.2011,0.262
,22.09.2011,0.327
,23.09.2011,0.33
,24.09.2011,0.378
,25.09.2011,0.774
,26.09.2011,0.983
,27.09.2011,1.092
,28.09.2011,1.719
,29.09.2011,1.319
,30.09.2011,0.405
,01.10.2011,0.242
,02.10.2011,0.171
,03.10.2011,0.161
,04.10.2011,0.154
,05.10.2011,0.303
,06.10.2011,0.448
,07.10.2011,0.405
,08.10.2011,0.382
,09.10.2011,0.351
,10.10.2011,0.343
,11.10.2011,0.329
,12.10.2011,0.308
,13.10.2011,0.312
,14.10.2011,0.299
,15.10.2011,0.339
,16.10.2011,0.324
,17.10.2011,0.364
,18.10.2011,0.346
,19.10.2011,0.455
,20.10.2011,6.653
,21.10.2011,5.723
,22.10.2011,4.133
,23.10.2011,2.229
,24.10.2011,2.757
,25.10.2011,2.14
,26.10.2011,1.148
,27.10.2011,0.565
,28.10.2011,0.64
,29.10.2011,0.607
,30.10.2011,0.8
,31.10.2011,0.455
,01.11.2011,0.679
,02.11.2011,1.07
,03.11.2011,0.986
,04.11.2011,0.855
,05.11.2011,0.759
,06.11.2011,0.724
,07.11.2011,0.699
,08.11.2011,0.904
,09.11.2011,1.419
,10.11.2011,0.451
,11.11.2011,0.277
,12.11.2011,0.23
,13.11.2011,0.302
,14.11.2011,1.523
,15.11.2011,5.558
,16.11.2011,3.748
,17.11.2011,2.624
,18.11.2011,2.016
,19.11.2011,1.671
,20.11.2011,1.412
,21.11.2011,1.322
,22.11.2011,2.456
,23.11.2011,8.077
,24.11.2011,6.338
,25.11.2011,4.257
,26.11.2011,3.369
,27.11.2011,4.437
,28.11.2011,5.877
,29.11.2011,13.003
,30.11.2011,21.733
,01.12.2011,19.879
,02.12.2011,9.815
,03.12.2011,8.89
,04.12.2011,7.251
,05.12.2011,6.265
,06.12.2011,8.552
,07.12.2011,7.411
,08.12.2011,6.075
,09.12.2011,4.991
,10.12.2011,4.062
,11.12.2011,3.64
,12.12.2011,3.288
,13.12.2011,3.017
,14.12.2011,3.917
,15.12.2011,13.505
,16.12.2011,10.444
,17.12.2011,7.25
,18.12.2011,5.545
,19.12.2011,3.971
,20.12.2011,3.308
,21.12.2011,3.506
,22.12.2011,3.276
,23.12.2011,3.038
,24.12.2011,2.805
,25.12.2011,2.707
,26.12.2011,2.265
,27.12.2011,2.501
,28.12.2011,1.979
,29.12.2011,2.218
,30.12.2011,3.467
,31.12.2011,4.889
,01.01.2012,3.82
,02.01.2012,3.364
,03.01.2012,2.835
,04.01.2012,2.693
,05.01.2012,2.402
,06.01.2012,2.574
,07.01.2012,2.914
,08.01.2012,2.384
,09.01.2012,1.841
,10.01.2012,1.809
,11.01.2012,1.842
,12.01.2012,4.749
,13.01.2012,3.713
,14.01.2012,2.518
,15.01.2012,2.403
,16.01.2012,2.335
,17.01.2012,6.833
,18.01.2012,7.647
,19.01.2012,5.414
,20.01.2012,4.6
,21.01.2012,3.227
,22.01.2012,2.986
,23.01.2012,6.016
,24.01.2012,6.629
,25.01.2012,4
,26.01.2012,3.483
,27.01.2012,2.134
,28.01.2012,2.296
,29.01.2012,1.567
,30.01.2012,1.304
,31.01.2012,2.642
,01.02.2012,4.27
,02.02.2012,3.719
,03.02.2012,3.048
,04.02.2012,3.225
,05.02.2012,3.164
,06.02.2012,2.947
,07.02.2012,2.656
,08.02.2012,2.434
,09.02.2012,2.228
,10.02.2012,2.16
,11.02.2012,1.979
,12.02.2012,1.778
,13.02.2012,1.71
,14.02.2012,1.695
,15.02.2012,1.591
,16.02.2012,2.89
,17.02.2012,3.126
,18.02.2012,2.541
,19.02.2012,2.048
,20.02.2012,1.92
,21.02.2012,1.859
,22.02.2012,1.873
,23.02.2012,2.452
,24.02.2012,5.451
,25.02.2012,5.124
,26.02.2012,3.712
,27.02.2012,3.061
,28.02.2012,2.582
,29.02.2012,6.793
,01.03.2012,5.877
,02.03.2012,4.908
,03.03.2012,4.987
,04.03.2012,3.74
,05.03.2012,3.064
,06.03.2012,2.731
,07.03.2012,2.314
,08.03.2012,2.206
,09.03.2012,2.12
,10.03.2012,1.903
,11.03.2012,1.622
,12.03.2012,1.778
,13.03.2012,1.554
,14.03.2012,1.394
,15.03.2012,1.553
,16.03.2012,1.437
,17.03.2012,1.311
,18.03.2012,0.722
,19.03.2012,0.676
,20.03.2012,1.255
,21.03.2012,1.384
,22.03.2012,1.447
,23.03.2012,1.538
,24.03.2012,3.22
,25.03.2012,3.158
,26.03.2012,2.642
,27.03.2012,2.189
,28.03.2012,1.891
,29.03.2012,1.65
,30.03.2012,1.5
,31.03.2012,1.353
,01.04.2012,1.342
,02.04.2012,1.336
,03.04.2012,1.262
,04.04.2012,1.247
,05.04.2012,1.161
,06.04.2012,1.098
,07.04.2012,1.047
,08.04.2012,1.04
,09.04.2012,0.995
,10.04.2012,0.945
,11.04.2012,0.915
,12.04.2012,0.889
,13.04.2012,0.85
,14.04.2012,0.866
,15.04.2012,0.903
,16.04.2012,0.904
,17.04.2012,0.828
,18.04.2012,0.798
,19.04.2012,0.793
,20.04.2012,0.764
,21.04.2012,0.789
,22.04.2012,0.763
,23.04.2012,0.738
,24.04.2012,0.711
,25.04.2012,0.584
,26.04.2012,0.512
,27.04.2012,0.71
,28.04.2012,0.682
,29.04.2012,0.685
,30.04.2012,0.795
,01.05.2012,0.868
,02.05.2012,1.016
,03.05.2012,0.844
,04.05.2012,0.716
,05.05.2012,0.581
,06.05.2012,0.548
,07.05.2012,3.266
,08.05.2012,4.217
,09.05.2012,2.598
,10.05.2012,1.072
,11.05.2012,0.593
,12.05.2012,0.023
,13.05.2012,0.022
,14.05.2012,0.492
,15.05.2012,2.286
,16.05.2012,0.402
,17.05.2012,0.486
,18.05.2012,0.745
,19.05.2012,0.726
,20.05.2012,0.66
,21.05.2012,0.68
,22.05.2012,0.638
,23.05.2012,0.656
,24.05.2012,0.288
,25.05.2012,0.615
,26.05.2012,0.622
,27.05.2012,0.277
,28.05.2012,0.642
,29.05.2012,0.53
,30.05.2012,0.645
,31.05.2012,0.441
,01.06.2012,0.499
,02.06.2012,0.477
,03.06.2012,0.541
,04.06.2012,0.596
,05.06.2012,0.442
,06.06.2012,0.479
,07.06.2012,0.478
,08.06.2012,0.398
,09.06.2012,0.346
,10.06.2012,0.349
,11.06.2012,0.342
,12.06.2012,0.318
,13.06.2012,0.374
,14.06.2012,0.356
,15.06.2012,0.269
,16.06.2012,0.304
,17.06.2012,0.31
,18.06.2012,0.31
,19.06.2012,0.348
,20.06.2012,0.338
,21.06.2012,0.287
,22.06.2012,0.178
,23.06.2012,0.109
,24.06.2012,0.283
,25.06.2012,0.242
,26.06.2012,0.219
,27.06.2012,0.222
,28.06.2012,0.246
,29.06.2012,0.288
,30.06.2012,0.343
,01.07.2012,0.261
,02.07.2012,0.29
,03.07.2012,0.476
,04.07.2012,0.299
,05.07.2012,0.393
,06.07.2012,0.403
,07.07.2012,0.277
,08.07.2012,0.347
,09.07.2012,0.281
,10.07.2012,0.292
,11.07.2012,0.223
,12.07.2012,0.353
,15.07.2012,0.184
,16.07.2012,0.197
,17.07.2012,0.271
,18.07.2012,0.269
,19.07.2012,0.391
,20.07.2012,0.597
,21.07.2012,0.487
,22.07.2012,0.435
,23.07.2012,0.395
,24.07.2012,0.424
,25.07.2012,0.267
,26.07.2012,0.559
,27.07.2012,0.353
,28.07.2012,0.415
,29.07.2012,0.335
,30.07.2012,0.357
,31.07.2012,0.238
