@T, Parameter,,,,,,,,,,,,
desc,routing.csv,,,,,,,,,,,,
,,,,,,,,,,,,,
@H, from, to, weight,,,,,,,,,,
,168,160,1,,,,,,,,,,
,169,95,0.01013,146,0.02432,-2,0.96454,-7,0.00101,,,,
,170,165,1,,,,,,,,,,
,171,198,1,,,,,,,,,,
,172,323,1,,,,,,,,,,
,173,192,1,,,,,,,,,,
,174,155,0.84848,176,0.15152,,,,,,,,
,175,179,1,,,,,,,,,,
,176,155,1,,,,,,,,,,
,177,181,1,,,,,,,,,,
,178,175,1,,,,,,,,,,
,179,222,1,,,,,,,,,,
,180,200,1,,,,,,,,,,
,181,198,1,,,,,,,,,,
,182,321,1,,,,,,,,,,
,183,209,1,,,,,,,,,,
,184,-3,1,,,,,,,,,,
,185,138,1,,,,,,,,,,
,186,206,1,,,,,,,,,,
,187,220,1,,,,,,,,,,
,188,208,1,,,,,,,,,,
,189,183,1,,,,,,,,,,
,190,183,1,,,,,,,,,,
,191,209,1,,,,,,,,,,
,192,230,1,,,,,,,,,,
,193,213,1,,,,,,,,,,
,194,219,1,,,,,,,,,,
,195,199,1,,,,,,,,,,
,196,207,1,,,,,,,,,,
,197,196,1,,,,,,,,,,
,198,211,1,,,,,,,,,,
,199,188,1,,,,,,,,,,
,200,210,1,,,,,,,,,,
,201,200,0.66667,202,0.33333,,,,,,,,
,202,210,1,,,,,,,,,,
,203,204,1,,,,,,,,,,
,204,229,0.99213,252,0.00787,,,,,,,,
,205,224,1,,,,,,,,,,
,206,226,1,,,,,,,,,,
,207,535,0.01151,-23,0.98849,,,,,,,,
,208,205,1,,,,,,,,,,
,209,242,1,,,,,,,,,,
,210,225,1,,,,,,,,,,
,211,184,0.9459,-3,0.0541,,,,,,,,
,212,-26,0.00019,-6,0.99981,,,,,,,,
,213,169,0.96354,-2,0.03646,,,,,,,,
,214,197,1,,,,,,,,,,
,215,232,1,,,,,,,,,,
,216,223,0.6,217,0.4,,,,,,,,
,217,223,1,,,,,,,,,,
,218,270,1,,,,,,,,,,
,219,175,1,,,,,,,,,,
,220,335,0.02588,-12,0.97412,,,,,,,,
,221,228,0.03125,237,0.96875,,,,,,,,
,222,232,1,,,,,,,,,,
,223,250,1,,,,,,,,,,
,224,183,1,,,,,,,,,,
,225,-6,0.00019,-5,0.99981,,,,,,,,
,226,229,0.78465,244,0.21535,,,,,,,,
,227,321,1,,,,,,,,,,
,228,241,1,,,,,,,,,,
,229,258,1,,,,,,,,,,
,230,226,1,,,,,,,,,,
,231,158,1,,,,,,,,,,
,232,334,1,,,,,,,,,,
,233,239,1,,,,,,,,,,
,234,227,1,,,,,,,,,,
,235,246,1,,,,,,,,,,
,236,256,1,,,,,,,,,,
,237,247,1,,,,,,,,,,
,238,222,0.24538,232,0.75462,,,,,,,,
,239,253,1,,,,,,,,,,
,240,241,1,,,,,,,,,,
,241,225,1,,,,,,,,,,
,242,225,1,,,,,,,,,,
