@T, Parameter,,
desc,routing.csv,,
,,,
@H, from, to, weight
,450,-22,1
,451,369,1
,452,500,1
,453,600,1
,454,-18,1
,455,426,1
,456,357,1
,457,357,1
,458,399,1
,459,379,1
,460,444,1
,461,432,1
,462,-13,1
,463,410,1
,464,-22,1
,465,447,1
,466,447,1
,467,599,1
,468,460,1
,469,457,1
,470,448,1
,471,389,1
,472,428,1
,473,494,1
,474,441,1
,475,474,1
,476,629,1
,477,586,1
,478,446,1
,479,399,1
,480,452,1
,481,378,1
,482,455,1
,483,402,1
,484,464,1
,485,486,1
,486,464,1
,487,481,1
,488,537,1
,489,-21,1
,490,706,1
,491,547,1
,492,493,1
,493,439,1
,494,212,1
,495,475,1
,496,442,1
,497,521,1
,498,464,1
,499,345,1
,500,494,1
,501,530,1
,502,606,1
,503,511,1
,504,207,1
,505,514,1
,506,520,1
,507,389,1
,508,441,1
,509,518,1
,510,379,1
,511,618,1
,512,570,1
,513,338,1
,514,553,1
,515,493,1
,516,531,1
,517,378,1
,518,517,1
,519,511,1
,520,436,1
,521,425,1
,522,521,1
,523,-25,1
,524,492,1
,525,551,1
,526,565,1
,527,526,1
,528,544,1
,529,538,1
,530,556,1
,531,557,1
,532,517,1
,533,442,1
,534,533,1
,535,-30,1
,536,-32,1
,537,553,1
,538,505,1
,539,590,1
,540,-25,1
,541,531,1
,542,481,1
,543,511,1
,544,512,1
,545,477,1
,546,554,1
,547,588,1
,548,575,1
,549,-26,1
,550,606,1
,551,467,1
,552,536,1
,553,-13,1
,554,593,1
,555,569,1
,556,502,1
,557,550,1
,558,559,1
,559,517,1
,560,454,1
,561,522,1
,562,642,1
,563,558,1
,564,595,1
,565,570,1
,566,580,1
,567,546,1
,568,547,1
,569,542,1
,570,536,1
,571,425,1
,572,587,1
,573,554,1
,574,594,1
,575,-33,1
,576,-17,1
,577,861,1
,578,521,1
,579,545,1
,580,624,1
,581,345,1
,582,599,1
,583,589,1
,584,442,1
,585,521,1
,586,553,1
,587,610,1
,588,594,1
,589,569,1
,590,630,1
,591,580,1
,592,554,1
,593,-24,1
,594,575,1
,595,511,1
,596,635,1
,597,536,1
,598,-20,1
,599,550,1
,600,577,1
,601,577,1
,602,454,1
,603,570,1
,604,571,1
,605,653,1
,606,-20,1
,607,-20,1
,608,618,1
,609,521,1
,610,657,1
,611,626,1
,612,635,1
,613,544,1
,614,580,1
,615,581,1
,616,550,1
,617,481,1
,618,-31,1
,619,603,1
,620,599,1
,621,620,1
,622,779,1
,623,637,1
,624,586,1
,625,658,1
,626,632,1
,627,698,1
,628,511,1
,629,618,1
,630,600,1
,631,780,1
,632,549,1
,633,634,1
,634,511,1
,635,636,1
,636,629,1
,637,577,1
,638,585,1
,639,614,1
,640,657,1
,641,554,1
,642,605,1
,643,481,1
,644,649,1
,645,536,1
,646,425,1
,647,624,1
,648,663,1
,649,-29,1
,650,667,1
,651,721,1
,652,653,1
,653,721,1
,654,490,1
,655,637,1
,656,676,1
,657,-13,1
,658,-28,1
,659,891,1
,660,631,1
,661,521,1
,662,671,1
,663,657,1
,664,625,1
,665,717,1
,666,791,1
,667,666,1
,668,697,1
,669,651,1
,670,617,1
,671,677,1
,672,695,1
,673,711,1
,674,622,1
,675,618,1
,676,687,1
,677,695,1
,678,549,1
,679,617,1
,680,670,1
,681,727,1
,682,721,1
,683,909,1
,684,714,1
,685,714,1
,686,577,1
,687,645,1
,688,638,1
,689,666,1
,690,703,1
,691,759,1
,692,550,1
,693,680,1
,694,646,1
,695,731,1
,696,523,1
,697,651,1
,698,699,1
,699,761,1
,700,536,1
,701,694,1
,702,701,1
,703,810,1
,704,716,1
,705,745,1
,706,805,1
,707,789,1
,708,830,1
,709,695,1
,710,658,1
,711,760,1
,712,747,1
,713,897,1
,714,951,1
,715,675,1
,716,703,1
,717,764,1
,718,942,1
,719,740,1
,720,742,1
,721,759,1
,722,717,1
,723,707,1
,724,622,1
,725,738,1
,726,681,1
,727,782,1
,728,740,1
,729,743,1
,730,692,1
,731,775,1
,732,802,1
,733,649,1
,734,742,1
,735,811,1
,736,685,1
,737,715,1
,738,660,1
,739,774,1
,740,752,1
,741,734,1
,742,-29,1
,743,666,1
,744,716,1
,745,771,1
,746,764,1
,747,765,1
,748,707,1
,749,536,1
,750,749,1
,751,780,1
,752,783,1
,753,766,1
,754,707,1
,755,754,1
,756,708,1
,757,822,1
,758,776,1
,759,811,1
,760,764,1
,761,-41,1
,762,675,1
,763,732,1
,764,818,1
,765,805,1
,766,575,1
,767,849,1
,768,622,1
,769,631,1
,770,781,1
,771,833,1
,772,699,1
,773,714,1
,774,752,1
,775,809,1
,776,791,1
,777,849,1
,778,812,1
,779,974,1
,780,-42,1
,781,881,1
,782,843,1
,783,809,1
,784,802,1
,785,827,1
,786,880,1
,787,804,1
,788,792,1
,789,889,1
,790,552,1
,791,967,1
,792,913,1
,793,805,1
,794,935,1
,795,775,1
,796,844,1
,797,791,1
,798,703,1
,799,835,1
,800,815,1
,801,928,1
,802,-28,1
,803,658,1
,804,824,1
,805,-36,1
,806,837,1
,807,815,1
,808,832,1
,809,784,1
,810,826,1
,811,792,1
,812,887,1
,813,814,1
,814,866,1
,815,951,1
,816,876,1
,817,848,1
,818,833,1
,819,833,1
,820,897,1
,821,860,1
,822,823,1
,823,804,1
,824,-35,1
,825,791,1
,826,959,1
,827,810,1
,828,792,1
,829,812,1
,830,910,1
,831,782,1
,832,784,1
,833,925,1
,834,835,1
,835,925,1
,836,805,1
,837,849,1
,838,812,1
,839,699,1
,840,773,1
,841,794,1
,842,-37,1
,843,808,1
,844,-40,1
,845,995,1
,846,967,1
,847,913,1
,848,856,1
,849,-39,1
,850,707,1
,851,842,1
,852,842,1
,853,718,1
,854,658,1
,855,958,1
,856,925,1
,857,714,1
,858,891,1
,859,708,1
,860,874,1
,861,-30,1
,862,832,1
,863,824,1
,864,699,1
,865,761,1
,866,945,1
,867,904,1
,868,779,1
,869,-37,1
,870,658,1
,871,792,1
,872,786,1
,873,904,1
,874,577,1
,875,842,1
,876,718,1
,877,931,1
,878,766,1
,879,849,1
,880,865,1
,881,978,1
,882,863,1
,883,824,1
,884,846,1
,885,908,1
,886,879,1
,887,849,1
,888,829,1
,889,896,1
,890,761,1
,891,-49,1
,892,987,1
,893,830,1
,894,801,1
,895,879,1
,896,909,1
,897,941,1
,898,869,1
,899,718,1
,900,928,1
,901,906,1
,902,948,1
,903,913,1
,904,974,1
,905,-42,1
,906,902,1
,907,925,1
,908,805,1
,909,761,1
,910,-31,1
,911,870,1
,912,913,1
,913,990,1
,914,943,1
,915,761,1
,916,905,1
,917,922,1
,918,866,1
,919,830,1
,920,978,1
,921,854,1
,922,949,1
,923,-35,1
,924,824,1
,925,1081,1
,926,991,1
,927,945,1
,928,1044,1
,929,965,1
,930,911,1
,931,846,1
,932,944,1
,933,879,1
,934,761,1
,935,1070,1
,936,869,1
,937,936,1
,938,1005,1
,939,883,1
,940,1067,1
,941,761,1
,942,905,1
,943,1017,1
,944,895,1
,945,985,1
,946,714,1
,947,842,1
,948,862,1
,949,989,1
,950,945,1
,951,953,1
,952,974,1
,953,-56,1
,954,963,1
,955,1077,1
,956,854,1
,957,980,1
,958,923,1
,959,967,1
,960,999,1
,961,842,1
,962,1001,1
,963,842,1
,964,963,1
,965,955,1
,966,996,1
,967,1007,1
,968,990,1
,969,991,1
,970,944,1
,971,1091,1
,972,761,1
,973,951,1
,974,951,1
,975,842,1
,976,916,1
,977,978,1
,978,1004,1
,979,928,1
,980,1077,1
,981,1057,1
,982,923,1
,983,971,1
,984,941,1
,985,984,1
,986,935,1
,987,-49,1
,988,978,1
,989,923,1
,990,1016,1
,991,836,1
,992,851,1
,993,928,1
,994,923,1
,995,967,1
,996,980,1
,997,995,1
,998,972,1
,999,953,1
,1000,851,1
,1001,954,1
,1002,905,1
,1003,942,1
,1004,1061,1
,1005,956,1
,1006,844,1
,1007,-40,1
,1008,761,1
,1009,999,1
,1010,955,1
,1011,967,1
,1012,1122,1
,1013,972,1
,1014,985,1
,1015,955,1
,1016,1011,1
,1017,925,1
,1018,1012,1
,1019,1032,1
,1020,761,1
,1021,1071,1
,1022,577,1
,1023,947,1
,1024,-42,1
,1025,1075,1
,1026,928,1
,1027,1064,1
,1028,935,1
,1029,1001,1
,1030,955,1
,1031,980,1
,1032,971,1
,1033,1123,1
,1034,963,1
,1035,1098,1
,1036,1024,1
,1037,1026,1
,1038,980,1
,1039,1081,1
,1040,1141,1
,1041,1019,1
,1042,-48,1
,1043,953,1
,1044,1075,1
,1045,997,1
,1046,925,1
,1047,998,1
,1048,1049,1
,1049,1060,1
,1050,1072,1
,1051,995,1
,1052,761,1
,1053,1117,1
,1054,962,1
,1055,1076,1
,1056,1031,1
,1057,-35,1
,1058,1006,1
,1059,967,1
,1060,953,1
,1061,1084,1
,1062,1063,1
,1063,-42,1
,1064,923,1
,1065,844,1
,1066,1059,1
,1067,-36,1
,1068,971,1
,1069,1052,1
,1070,953,1
,1071,1070,1
,1072,1083,1
,1073,1051,1
,1074,1071,1
,1075,1063,1
,1076,1108,1
