Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,75 ,300 ,600 ,900 ,1200  
12/10/2002 00:00,731501.000000,11.000000,1,1,2,-901.121894,-708.688188,-707.653437,-1131.076128,-2832.867407 
12/10/2002 00:00,731501.000000,11.000000,1,1,2,-904.422417,-712.206916,-697.393224,-1067.811329,-2666.775572 
12/10/2002 00:00,731501.000000,11.000000,1,1,2,-893.143289,-699.384796,-685.403151,-1063.077370,-2684.176902 
12/10/2002 00:00,731501.000000,11.000000,1,1,2,-905.732285,-717.187278,-750.562204,-1284.800225,-3083.201831 
13/10/2002 00:00,731502.000000,12.000000,1,1,2,-948.928856,-739.573497,-723.632112,-1098.218398,-2657.072718 
13/10/2002 00:00,731502.000000,12.000000,1,1,2,-951.852973,-742.592995,-714.761769,-1043.945701,-2489.519553 
13/10/2002 00:00,731502.000000,12.000000,1,1,2,-940.244524,-729.998238,-702.225067,-1036.666647,-2501.782879 
13/10/2002 00:00,731502.000000,12.000000,1,1,2,-954.407219,-748.731860,-765.258690,-1239.861000,-2935.282384 
14/10/2002 00:00,731503.000000,13.000000,1,1,2,-991.972365,-769.209319,-740.087978,-1074.376667,-2493.692702 
14/10/2002 00:00,731503.000000,13.000000,1,1,2,-994.488105,-771.814756,-732.344648,-1026.923462,-2329.720170 
14/10/2002 00:00,731503.000000,13.000000,1,1,2,-982.625142,-759.361841,-719.388659,-1017.803304,-2336.941647 
14/10/2002 00:00,731503.000000,13.000000,1,1,2,-998.298640,-778.999130,-780.626491,-1206.649869,-2790.601678 
15/10/2002 00:00,731504.000000,14.000000,1,1,2,-1034.649330,-797.776911,-756.780792,-1056.952941,-2344.788392 
15/10/2002 00:00,731504.000000,14.000000,1,1,2,-1036.768547,-800.030112,-749.955295,-1014.766647,-2187.302977 
15/10/2002 00:00,731504.000000,14.000000,1,1,2,-1024.639401,-787.659119,-736.667207,-1004.273795,-2190.001049 
15/10/2002 00:00,731504.000000,14.000000,1,1,2,-1041.802807,-808.174797,-796.407478,-1181.961713,-2653.016151 
16/10/2002 00:00,731505.000000,15.000000,1,1,2,-1073.040665,-825.074518,-773.510007,-1044.173799,-2210.589399 
16/10/2002 00:00,731505.000000,15.000000,1,1,2,-1074.782358,-827.025066,-767.435629,-1006.141851,-2061.032933 
16/10/2002 00:00,731505.000000,15.000000,1,1,2,-1062.419985,-814.689675,-753.876014,-994.593673,-2059.876294 
16/10/2002 00:00,731505.000000,15.000000,1,1,2,-1080.987826,-836.062617,-812.386122,-1163.532158,-2524.649210 
17/10/2002 00:00,731506.000000,16.000000,1,1,2,-1107.640499,-851.079740,-790.095271,-1034.789719,-2090.301948 
17/10/2002 00:00,731506.000000,16.000000,1,1,2,-1109.003359,-852.765470,-784.640411,-1000.109682,-1949.199194 
17/10/2002 00:00,731506.000000,16.000000,1,1,2,-1096.460281,-840.431273,-770.851351,-987.725621,-1944.860361 
17/10/2002 00:00,731506.000000,16.000000,1,1,2,-1116.342313,-862.643975,-828.363376,-1149.724696,-2406.333733 
18/10/2002 00:00,731507.000000,17.000000,1,1,2,-1136.855829,-875.726767,-806.387896,-1027.891549,-1982.637210 
18/10/2002 00:00,731507.000000,17.000000,1,1,2,-1137.700745,-877.166612,-801.448166,-995.979840,-1849.980524 
18/10/2002 00:00,731507.000000,17.000000,1,1,2,-1125.180745,-864.815809,-787.459308,-982.914655,-1843.068249 
18/10/2002 00:00,731507.000000,17.000000,1,1,2,-1146.189434,-887.853595,-844.171820,-1139.329740,-2298.037207 
19/10/2002 00:00,731508.000000,18.000000,1,1,2,-1170.173592,-899.601857,-822.368412,-1022.861616,-1886.170571 
19/10/2002 00:00,731508.000000,18.000000,1,1,2,-1170.642910,-900.818374,-817.858829,-993.285571,-1761.665692 
19/10/2002 00:00,731508.000000,18.000000,1,1,2,-1157.970365,-888.433843,-803.692647,-979.652172,-1752.702029 
19/10/2002 00:00,731508.000000,18.000000,1,1,2,-1180.219582,-912.279100,-859.780680,-1131.507581,-2199.246412 
20/10/2002 00:00,731509.000000,19.000000,1,1,2,-1203.025568,-922.775641,-838.040308,-1019.281535,-1799.536458 
20/10/2002 00:00,731509.000000,19.000000,1,1,2,-1203.103500,-923.785058,-833.890699,-991.712637,-1682.749452 
20/10/2002 00:00,731509.000000,19.000000,1,1,2,-1190.294657,-911.356357,-819.565097,-977.596620,-1672.169207 
20/10/2002 00:00,731509.000000,19.000000,1,1,2,-1213.780640,-935.992118,-875.184093,-1125.678270,-2109.233885 
21/10/2002 00:00,731510.000000,20.000000,1,1,2,-1235.036647,-945.265273,-853.403792,-1016.860088,-1721.508820 
21/10/2002 00:00,731510.000000,20.000000,1,1,2,-1234.755048,-946.082826,-849.556010,-991.042623,-1611.950332 
21/10/2002 00:00,731510.000000,20.000000,1,1,2,-1221.788995,-933.601197,-835.085577,-976.511144,-1600.109534 
21/10/2002 00:00,731510.000000,20.000000,1,1,2,-1246.503728,-959.010950,-890.372845,-1121.432809,-2027.211341 
22/10/2002 00:00,731511.000000,21.000000,1,1,2,-1259.936441,-966.536491,-868.448192,-1015.417169,-1651.044531 
22/10/2002 00:00,731511.000000,21.000000,1,1,2,-1259.368222,-967.182354,-864.853169,-991.144872,-1548.214263 
22/10/2002 00:00,731511.000000,21.000000,1,1,2,-1246.278934,-954.638136,-850.249850,-976.252914,-1535.401675 
22/10/2002 00:00,731511.000000,21.000000,1,1,2,-1272.048746,-980.800942,-905.331549,-1118.509789,-1952.435081 
23/10/2002 00:00,731512.000000,22.000000,1,1,2,-1260.002797,-984.827084,-883.108080,-1014.909537,-1587.338600 
23/10/2002 00:00,731512.000000,22.000000,1,1,2,-1259.507031,-985.349970,-879.723159,-992.004283,-1490.741106 
23/10/2002 00:00,731512.000000,22.000000,1,1,2,-1246.318352,-972.717980,-864.996425,-976.800715,-1477.191256 
23/10/2002 00:00,731512.000000,22.000000,1,1,2,-1272.679441,-999.606172,-919.998730,-1116.821880,-1884.314923 
24/10/2002 00:00,731513.000000,23.000000,1,1,2,-1256.347259,-1000.571314,-897.188018,-1015.217823,-1529.722188 
24/10/2002 00:00,731513.000000,23.000000,1,1,2,-1256.029360,-1001.010850,-893.982137,-993.527622,-1438.878231 
24/10/2002 00:00,731513.000000,23.000000,1,1,2,-1242.747368,-988.277192,-879.137946,-978.053602,-1424.780175 
24/10/2002 00:00,731513.000000,23.000000,1,1,2,-1269.546349,-1015.846230,-934.159074,-1116.206651,-1822.333919 
25/10/2002 00:00,731514.000000,24.000000,1,1,2,-1090.579705,-1005.992651,-910.043801,-1016.064371,-1477.533735 
25/10/2002 00:00,731514.000000,24.000000,1,1,2,-1103.689986,-1007.093817,-907.035222,-995.467872,-1391.995399 
25/10/2002 00:00,731514.000000,24.000000,1,1,2,-1081.248133,-993.614882,-892.033017,-979.752050,-1377.497430 
25/10/2002 00:00,731514.000000,24.000000,1,1,2,-1116.514369,-1022.539077,-947.196470,-1116.333488,-1765.919048 
26/10/2002 00:00,731515.000000,25.000000,1,1,2,-754.686080,-991.476854,-920.632887,-1017.105932,-1430.108525 
26/10/2002 00:00,731515.000000,25.000000,1,1,2,-763.043666,-993.234677,-917.853584,-997.511652,-1349.470926 
26/10/2002 00:00,731515.000000,25.000000,1,1,2,-749.451858,-979.016869,-902.627465,-981.565852,-1334.683487 
26/10/2002 00:00,731515.000000,25.000000,1,1,2,-770.450166,-1009.216225,-958.075660,-1116.817823,-1714.444747 
27/10/2002 00:00,731516.000000,26.000000,1,1,2,-88.409749,-915.493585,-925.758988,-1017.865315,-1386.811881 
27/10/2002 00:00,731516.000000,26.000000,1,1,2,-91.586629,-918.571717,-923.293368,-999.207954,-1310.716599 
27/10/2002 00:00,731516.000000,26.000000,1,1,2,-87.730902,-903.082461,-907.681492,-983.019304,-1295.715358 
27/10/2002 00:00,731516.000000,26.000000,1,1,2,-92.785499,-934.832685,-963.685015,-1117.167759,-1667.288225 
28/10/2002 00:00,731517.000000,27.000000,1,1,2,-143.994716,-261.436968,-892.221104,-1015.876164,-1346.943408 
28/10/2002 00:00,731517.000000,27.000000,1,1,2,-143.659070,-269.041195,-890.557366,-998.135998,-1275.075993 
28/10/2002 00:00,731517.000000,27.000000,1,1,2,-141.716556,-256.840839,-873.846104,-981.585264,-1259.897796 
28/10/2002 00:00,731517.000000,27.000000,1,1,2,-142.102859,-273.314997,-931.192690,-1115.025866,-1623.763500 
29/10/2002 00:00,731518.000000,28.000000,1,1,2,-347.293858,-266.645650,-582.670751,-992.786981,-1308.750989 
29/10/2002 00:00,731518.000000,28.000000,1,1,2,-350.945927,-271.654236,-594.414811,-976.834532,-1240.885267 
29/10/2002 00:00,731518.000000,28.000000,1,1,2,-344.757536,-261.390825,-566.910219,-958.682092,-1225.432915 
29/10/2002 00:00,731518.000000,28.000000,1,1,2,-350.308122,-273.065085,-618.749290,-1092.508390,-1582.235889 
30/10/2002 00:00,731519.000000,29.000000,1,1,2,-459.067113,-327.412071,-460.546470,-911.578712,-1267.385623 
30/10/2002 00:00,731519.000000,29.000000,1,1,2,-462.094723,-332.397005,-471.861152,-903.366445,-1203.785925 
30/10/2002 00:00,731519.000000,29.000000,1,1,2,-456.126264,-321.735581,-446.233202,-877.569400,-1187.386931 
30/10/2002 00:00,731519.000000,29.000000,1,1,2,-461.807601,-333.630106,-488.219596,-1009.389336,-1537.859278 
31/10/2002 00:00,731520.000000,30.000000,1,1,2,-527.007366,-379.929770,-432.307017,-799.412215,-1215.888696 
31/10/2002 00:00,731520.000000,30.000000,1,1,2,-530.035642,-384.580868,-442.218526,-800.124071,-1157.859421 
31/10/2002 00:00,731520.000000,30.000000,1,1,2,-523.708605,-374.311198,-418.951335,-765.954058,-1138.841288 
31/10/2002 00:00,731520.000000,30.000000,1,1,2,-529.866339,-385.408655,-456.814470,-890.400623,-1482.794617 
01/11/2002 00:00,731521.000000,31.000000,1,1,2,-576.929496,-425.543681,-432.118611,-708.762617,-1149.505594 
01/11/2002 00:00,731521.000000,31.000000,1,1,2,-580.095079,-429.947888,-441.031694,-714.381194,-1099.212570 
01/11/2002 00:00,731521.000000,31.000000,1,1,2,-573.367185,-420.052454,-419.427719,-676.941693,-1075.148831 
01/11/2002 00:00,731521.000000,31.000000,1,1,2,-579.937893,-430.404185,-454.848690,-792.368988,-1410.978178 
02/11/2002 00:00,731522.000000,32.000000,1,1,2,-618.011623,-465.150156,-442.103634,-646.470222,-1070.528710 
02/11/2002 00:00,731522.000000,32.000000,1,1,2,-621.310149,-469.445770,-450.396726,-654.106757,-1029.549144 
02/11/2002 00:00,731522.000000,32.000000,1,1,2,-614.220732,-459.713784,-429.953127,-616.739570,-998.886765 
02/11/2002 00:00,731522.000000,32.000000,1,1,2,-621.113741,-469.630229,-463.487520,-723.995541,-1324.276856 
03/11/2002 00:00,731523.000000,33.000000,1,1,2,-556.137129,-486.293646,-454.715703,-605.479026,-985.915891 
03/11/2002 00:00,731523.000000,33.000000,1,1,2,-562.256684,-491.032536,-462.690644,-613.806160,-954.397471 
