Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,75 ,300 ,600 ,900 ,1200  
20/11/2007 00:00,733366.000000,50.000000,1,1,1,0.194555,0.189753,0.192113,1.503499,0.194427 
21/11/2007 00:00,733367.000000,51.000000,1,1,1,0.194024,0.189764,0.192111,1.503496,0.194430 
22/11/2007 00:00,733368.000000,52.000000,1,1,1,0.178941,0.189750,0.192110,1.503493,0.194432 
23/11/2007 00:00,733369.000000,53.000000,1,1,1,0.147361,0.189596,0.192108,1.503490,0.194434 
24/11/2007 00:00,733370.000000,54.000000,1,1,1,0.135568,0.189249,0.192106,1.503488,0.194436 
25/11/2007 00:00,733371.000000,55.000000,1,1,1,0.138936,0.188995,0.192102,1.497437,0.194436 
26/11/2007 00:00,733372.000000,56.000000,1,1,1,0.149215,0.188875,0.192099,1.503485,0.194438 
27/11/2007 00:00,733373.000000,57.000000,1,1,1,0.158666,0.188813,0.192094,1.492653,0.194436 
28/11/2007 00:00,733374.000000,58.000000,1,1,1,0.155376,0.188736,0.192092,1.503486,0.194438 
29/11/2007 00:00,733375.000000,59.000000,1,1,1,0.143549,0.188566,0.192088,1.503483,0.194440 
30/11/2007 00:00,733376.000000,60.000000,1,1,1,0.128397,0.186369,0.192080,1.494799,0.194439 
01/12/2007 00:00,733377.000000,61.000000,1,1,1,0.123401,0.175555,0.192056,1.500353,0.194439 
02/12/2007 00:00,733378.000000,62.000000,1,1,1,0.124071,0.166004,0.192010,1.502748,0.194441 
03/12/2007 00:00,733379.000000,63.000000,1,1,1,0.128707,0.160835,0.191947,1.503478,0.194443 
04/12/2007 00:00,733380.000000,64.000000,1,1,1,0.144222,0.160163,0.191694,1.503388,0.194444 
05/12/2007 00:00,733381.000000,65.000000,1,1,1,0.171963,0.161053,0.191501,1.503471,0.194446 
06/12/2007 00:00,733382.000000,66.000000,1,1,1,0.181119,0.162043,0.191019,1.503376,0.194448 
07/12/2007 00:00,733383.000000,67.000000,1,1,1,0.166436,0.162653,0.190571,1.503450,0.194450 
08/12/2007 00:00,733384.000000,68.000000,1,1,1,0.121972,0.151663,0.189640,1.503446,0.194451 
09/12/2007 00:00,733385.000000,69.000000,1,1,1,0.117239,0.135573,0.186751,1.503359,0.194453 
10/12/2007 00:00,733386.000000,70.000000,1,1,1,0.121425,0.131717,0.182949,1.503177,0.194455 
11/12/2007 00:00,733387.000000,71.000000,1,1,1,0.124698,0.131260,0.179210,1.502898,0.194447 
12/12/2007 00:00,733388.000000,72.000000,1,1,1,0.127089,0.131863,0.175881,1.502521,0.194436 
13/12/2007 00:00,733389.000000,73.000000,1,1,1,0.128926,0.132825,0.173030,1.502047,0.194425 
14/12/2007 00:00,733390.000000,74.000000,1,1,1,0.130405,0.133883,0.170629,1.501482,0.194413 
15/12/2007 00:00,733391.000000,75.000000,1,1,1,0.131702,0.134943,0.168630,1.500831,0.194401 
16/12/2007 00:00,733392.000000,76.000000,1,1,1,0.132888,0.135971,0.166979,1.500103,0.194388 
17/12/2007 00:00,733393.000000,77.000000,1,1,1,0.134072,0.136968,0.165632,1.499307,0.194374 
18/12/2007 00:00,733394.000000,78.000000,1,1,1,0.135301,0.137947,0.164551,1.498453,0.194360 
19/12/2007 00:00,733395.000000,79.000000,1,1,1,0.136438,0.138889,0.163698,1.497551,0.194345 
20/12/2007 00:00,733396.000000,80.000000,1,1,1,0.137481,0.139786,0.163039,1.496612,0.194329 
21/12/2007 00:00,733397.000000,81.000000,1,1,1,0.138445,0.140637,0.162542,1.495643,0.194312 
22/12/2007 00:00,733398.000000,82.000000,1,1,1,0.139341,0.141440,0.162182,1.494654,0.194294 
23/12/2007 00:00,733399.000000,83.000000,1,1,1,0.140171,0.142199,0.161935,1.493651,0.194275 
24/12/2007 00:00,733400.000000,84.000000,1,1,1,0.140953,0.142917,0.161784,1.492640,0.194255 
25/12/2007 00:00,733401.000000,85.000000,1,1,1,0.141715,0.143601,0.161712,1.491627,0.194235 
26/12/2007 00:00,733402.000000,86.000000,1,1,1,0.142457,0.144256,0.161706,1.490615,0.194213 
27/12/2007 00:00,733403.000000,87.000000,1,1,1,0.143160,0.144884,0.161755,1.489610,0.194191 
28/12/2007 00:00,733404.000000,88.000000,1,1,1,0.143821,0.145485,0.161849,1.488613,0.194168 
29/12/2007 00:00,733405.000000,89.000000,1,1,1,0.144227,0.146039,0.161978,1.487627,0.194144 
30/12/2007 00:00,733406.000000,90.000000,1,1,1,0.144507,0.146542,0.162135,1.486653,0.194119 
31/12/2007 00:00,733407.000000,91.000000,1,1,1,0.144651,0.146991,0.162310,1.485692,0.194093 
01/01/2008 00:00,733408.000000,92.000000,1,1,1,0.144869,0.147401,0.162500,1.484746,0.194067 
02/01/2008 00:00,733409.000000,93.000000,1,1,1,0.145040,0.147776,0.162700,1.483815,0.194040 
03/01/2008 00:00,733410.000000,94.000000,1,1,1,0.145197,0.148119,0.162906,1.482898,0.194013 
04/01/2008 00:00,733411.000000,95.000000,1,1,1,0.145382,0.148439,0.163116,1.481996,0.193984 
05/01/2008 00:00,733412.000000,96.000000,1,1,1,0.145620,0.148745,0.163328,1.481110,0.193956 
06/01/2008 00:00,733413.000000,97.000000,1,1,1,0.145905,0.149043,0.163542,1.480237,0.193926 
07/01/2008 00:00,733414.000000,98.000000,1,1,1,0.146215,0.149336,0.163757,1.479380,0.193896 
08/01/2008 00:00,733415.000000,99.000000,1,1,1,0.146524,0.149626,0.163972,1.478536,0.193866 
09/01/2008 00:00,733416.000000,100.000000,1,1,1,0.146805,0.149911,0.164187,1.477707,0.193835 
10/01/2008 00:00,733417.000000,101.000000,1,1,1,0.147092,0.150190,0.164402,1.476892,0.193803 
11/01/2008 00:00,733418.000000,102.000000,1,1,1,0.147670,0.150492,0.164617,1.476090,0.193771 
12/01/2008 00:00,733419.000000,103.000000,1,1,1,0.148258,0.150811,0.164835,1.475302,0.193739 
13/01/2008 00:00,733420.000000,104.000000,1,1,1,0.148799,0.151141,0.165054,1.474528,0.193706 
14/01/2008 00:00,733421.000000,105.000000,1,1,1,0.149301,0.151478,0.165275,1.473767,0.193673 
15/01/2008 00:00,733422.000000,106.000000,1,1,1,0.149771,0.151817,0.165497,1.473020,0.193640 
16/01/2008 00:00,733423.000000,107.000000,1,1,1,0.150206,0.152156,0.165721,1.472285,0.193606 
17/01/2008 00:00,733424.000000,108.000000,1,1,1,0.150588,0.152490,0.165946,1.471564,0.193572 
18/01/2008 00:00,733425.000000,109.000000,1,1,1,0.150744,0.152805,0.166171,1.470856,0.193538 
19/01/2008 00:00,733426.000000,110.000000,1,1,1,0.150743,0.153091,0.166393,1.470160,0.193503 
20/01/2008 00:00,733427.000000,111.000000,1,1,1,0.150633,0.153344,0.166612,1.469476,0.193468 
21/01/2008 00:00,733428.000000,112.000000,1,1,1,0.150359,0.153555,0.166826,1.468805,0.193433 
22/01/2008 00:00,733429.000000,113.000000,1,1,1,0.149890,0.153715,0.167032,1.468144,0.193398 
23/01/2008 00:00,733430.000000,114.000000,1,1,1,0.149370,0.153822,0.167230,1.467494,0.193362 
24/01/2008 00:00,733431.000000,115.000000,1,1,1,0.148901,0.153885,0.167416,1.466855,0.193327 
25/01/2008 00:00,733432.000000,116.000000,1,1,1,0.148577,0.153918,0.167592,1.466224,0.193291 
26/01/2008 00:00,733433.000000,117.000000,1,1,1,0.148504,0.153945,0.167757,1.465603,0.193255 
27/01/2008 00:00,733434.000000,118.000000,1,1,1,0.148638,0.153983,0.167912,1.464989,0.193219 
28/01/2008 00:00,733435.000000,119.000000,1,1,1,0.149048,0.154054,0.168060,1.464384,0.193183 
29/01/2008 00:00,733436.000000,120.000000,1,1,1,0.149565,0.154162,0.168204,1.463786,0.193146 
30/01/2008 00:00,733437.000000,121.000000,1,1,1,0.149968,0.154293,0.168343,1.463195,0.193110 
31/01/2008 00:00,733438.000000,122.000000,1,1,1,0.150273,0.154437,0.168480,1.462611,0.193073 
01/02/2008 00:00,733439.000000,123.000000,1,1,1,0.150590,0.154593,0.168615,1.462035,0.193037 
02/02/2008 00:00,733440.000000,124.000000,1,1,1,0.150952,0.154762,0.168749,1.461465,0.193000 
03/02/2008 00:00,733441.000000,125.000000,1,1,1,0.151319,0.154943,0.168882,1.460901,0.192963 
04/02/2008 00:00,733442.000000,126.000000,1,1,1,0.151504,0.155123,0.169014,1.460345,0.192927 
05/02/2008 00:00,733443.000000,127.000000,1,1,1,0.151702,0.155302,0.169146,1.459795,0.192890 
06/02/2008 00:00,733444.000000,128.000000,1,1,1,0.168153,0.155508,0.169277,1.459251,0.192853 
07/02/2008 00:00,733445.000000,129.000000,1,1,1,0.170575,0.156334,0.169435,1.458715,0.192816 
08/02/2008 00:00,733446.000000,130.000000,1,1,1,0.180394,0.157175,0.169617,1.458188,0.192779 
09/02/2008 00:00,733447.000000,131.000000,1,1,1,0.193124,0.158135,0.169823,1.457670,0.192742 
10/02/2008 00:00,733448.000000,132.000000,1,1,1,0.206188,0.159190,0.170054,1.457162,0.192706 
11/02/2008 00:00,733449.000000,133.000000,1,1,1,0.220311,0.160300,0.170308,1.456665,0.192669 
12/02/2008 00:00,733450.000000,134.000000,1,1,1,0.235978,0.161471,0.170582,1.456180,0.192632 
13/02/2008 00:00,733451.000000,135.000000,1,1,1,0.252688,0.162763,0.170874,1.455707,0.192595 
14/02/2008 00:00,733452.000000,136.000000,1,1,1,0.264196,0.164313,0.171184,1.455247,0.192559 
15/02/2008 00:00,733453.000000,137.000000,1,1,1,0.282928,0.166124,0.171515,1.454800,0.192522 
16/02/2008 00:00,733454.000000,138.000000,1,1,1,0.297722,0.168798,0.171869,1.454368,0.192486 
