date,AirT,Iprec,Swglob,RH
19/03/2002,0.24,0,259.1849167,65.8
20/03/2002,4.25,0,262.10275,49.33
21/03/2002,-8.65,0,200.4455833,71.7
22/03/2002,3.45,0,268.7515833,51.19
23/03/2002,8.05,0,177.8921667,44.4
24/03/2002,-3.58,0,52.87975,90.6
25/03/2002,-5.43,0,85.14333333,95.58
26/03/2002,4.2,0.2,270.928,54.76
27/03/2002,9.19,0,270.3779167,39.08
28/03/2002,8.31,0,206.1616667,46.45
29/03/2002,3.92,0,251.5315833,61.43
30/03/2002,4.89,0,208.6729167,57.95
31/03/2002,7.12,0,252.8709167,58.06
01/04/2002,13.63,0,270.4018333,29.05
02/04/2002,-4.82,0,83.20608333,64.19
03/04/2002,-0.1,0,253.20575,44.88
04/04/2002,3.84,0,290.7549167,39.78
05/04/2002,9.29,0,289.4634167,36.57
06/04/2002,13.43,0,198.10175,41.37
07/04/2002,12.05,0,215.9914167,48.88
08/04/2002,7.23,0,155.2909167,79.4
09/04/2002,11.54,0.2,251.9381667,50.98
10/04/2002,14.01,0.4,117.383,39.68
11/04/2002,11.38,0.2,206.5443333,46.2
12/04/2002,12.36,0,259.8306667,47.73
13/04/2002,15.94,0,288.0045,32.15
14/04/2002,17.98,0,116.3785,23.82
15/04/2002,19.17,0,189.8026667,21.01
16/04/2002,11.48,0,249.9291667,31.02
17/04/2002,12.36,0,310.9645,38.38
18/04/2002,7.29,0,261.4330833,51.67
19/04/2002,0.51,0,122.6925,69.9
20/04/2002,0.79,0,36.71208333,91.26
21/04/2002,4.73,0.2,300.0345833,60.05
22/04/2002,11.27,0,325.1470833,29.4
23/04/2002,15.42,0,325.81675,24.07
24/04/2002,5.49,0,325.2666667,46.98
25/04/2002,5.31,0,219.6506667,39.89
26/04/2002,7.97,3,181.5275,63.1
27/04/2002,9.17,2.8,181.9340833,74.16
28/04/2002,10.56,0.2,320.22025,57.85
29/04/2002,13.72,0,303.6220833,42.11
30/04/2002,13.68,0,316.3935833,52.76
01/05/2002,4.23,0,75.07441667,86.09
02/05/2002,6.25,0.4,278.6291667,71
03/05/2002,13.46,0,301.924,34.58
04/05/2002,11.16,0,305.7506667,54.97
05/05/2002,15.9,0,268.0340833,36.01
06/05/2002,17.26,0,253.1579167,31.73
07/05/2002,8.8,0,185.47375,81.38
08/05/2002,9.36,0,257.6781667,42.22
09/05/2002,6.63,0,311.61025,39.67
10/05/2002,10.62,0,195.51875,47.96
11/05/2002,9.37,3,200.2781667,75.59
