@T,hru_override
@H,ID,soilPolRed,BetaW,soilMaxInfSummer,soilMaxInfWinter,soilMaxInfSnow,soilOutLPS
,9,0.8,1,120,60,50,1
,10,0.8,1,20,5,10,0.2
