@T,D1D2,,,,
descr,average observed soil water content at probe D1 D2 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1583.5,,,
x,,513610.5,,,
y,,4494889.5,,,
,24.12.2002,0.143006251,0.169421465,0.144099816,0.194577007
,25.12.2002,0.140997233,0.168265711,0.14355741,0.194210627
,26.12.2002,0.139271994,0.167003092,0.142872259,0.193803373
,27.12.2002,0.138624527,0.165849083,0.142106126,0.193352223
,28.12.2002,0.140192881,0.165471486,0.141428686,0.192861598
,29.12.2002,0.141521414,0.165758538,0.141035894,0.192347458
,30.12.2002,0.143117778,0.166273072,0.140885606,0.191855719
,31.12.2002,0.143768294,0.166960081,0.140945574,0.191414631
,01.01.2003,0.144605706,0.167297937,0.141062214,0.191050221
,02.01.2003,0.145000928,0.167871739,0.141200611,0.190741805
,03.01.2003,0.145723714,0.168042693,0.141337047,0.190489732
,04.01.2003,0.148721358,0.169099406,0.141520967,0.190304331
,05.01.2003,0.149676259,0.170289011,0.141975446,0.190138934
,06.01.2003,0.150491669,0.171110108,0.142458946,0.190037965
,07.01.2003,0.150129333,0.171572031,0.14288297,0.190006063
,08.01.2003,0.15111606,0.171835492,0.143143426,0.190028559
,09.01.2003,0.151557819,0.172563208,0.143452649,0.190084538
,10.01.2003,0.148408079,0.172211506,0.14372118,0.19013791
,11.01.2003,0.144405396,0.170472541,0.143521171,0.190192335
,12.01.2003,0.142950126,0.168747816,0.142838314,0.190169315
,13.01.2003,0.143320227,0.167828444,0.142120953,0.190032241
,14.01.2003,0.144918942,0.16777244,0.141624482,0.189815743
,15.01.2003,0.145927633,0.168315688,0.141473434,0.189558132
,16.01.2003,0.145316031,0.168440655,0.141489182,0.189305421
,17.01.2003,0.145168918,0.168259936,0.141425568,0.189102981
,18.01.2003,0.144386595,0.168062868,0.141319126,0.188928299
,19.01.2003,0.144455439,0.167630886,0.141120322,0.188741732
,20.01.2003,0.146276189,0.167912206,0.140961482,0.188558926
,21.01.2003,0.147807904,0.168794257,0.141063587,0.188377778
,22.01.2003,0.146921274,0.169249321,0.141332255,0.188251345
,23.01.2003,0.144362225,0.168525306,0.141388441,0.18813069
,24.01.2003,0.14442986,0.167700432,0.141089368,0.188030875
,25.01.2003,0.145753624,0.167734267,0.140825345,0.187906669
,26.01.2003,0.14684384,0.168312394,0.140815225,0.187755494
,27.01.2003,0.148780587,0.168870185,0.140939364,0.187597646
,28.01.2003,0.151559731,0.170353179,0.141289772,0.187503702
,29.01.2003,0.151147905,0.171306751,0.14186408,0.187447666
,30.01.2003,0.151004509,0.171510701,0.1422577,0.187460643
,31.01.2003,0.152193903,0.171861112,0.142500503,0.18753226
,01.02.2003,0.154360661,0.172693197,0.142812828,0.187618428
,02.02.2003,0.156936266,0.17427501,0.143352176,0.187720197
,03.02.2003,0.154414144,0.174878739,0.144043748,0.187864607
,04.02.2003,0.150432699,0.173712771,0.144267818,0.188061587
,05.02.2003,0.148298139,0.172033062,0.143925699,0.188254507
,06.02.2003,0.14683286,0.170828723,0.143381974,0.188364277
,07.02.2003,0.144452263,0.169534394,0.142791679,0.188340337
,08.02.2003,0.142391736,0.168031477,0.142088022,0.188229007
,09.02.2003,0.142491641,0.166957351,0.141301663,0.188047015
,10.02.2003,0.141445093,0.166357223,0.140700444,0.187773694
,11.02.2003,0.14147439,0.165671499,0.140158605,0.187459616
,12.02.2003,0.141952124,0.165420478,0.139696975,0.187120461
,13.02.2003,0.142969654,0.165476353,0.139412365,0.186765608
,14.02.2003,0.144767776,0.16587986,0.139274634,0.186424607
,15.02.2003,0.146962959,0.166994314,0.139395252,0.18615476
,16.02.2003,0.147446207,0.167798656,0.139731006,0.185923864
,17.02.2003,0.148397268,0.168403467,0.140053226,0.185785519
,18.02.2003,0.149603875,0.169224686,0.140385413,0.185731337
,19.02.2003,0.150343301,0.169914769,0.140775488,0.185718442
,20.02.2003,0.149397007,0.170196135,0.141123352,0.185735989
,21.02.2003,0.149713834,0.170079532,0.141271335,0.185791211
,22.02.2003,0.150049227,0.170361585,0.141394277,0.185851604
,23.02.2003,0.148625481,0.170321113,0.141534661,0.185922331
,24.02.2003,0.144453214,0.169032015,0.141434965,0.185967778
,25.02.2003,0.141194431,0.166996937,0.14084142,0.185967778
,26.02.2003,0.140806689,0.165441281,0.139976697,0.185868643
,27.02.2003,0.142206638,0.164977639,0.13925488,0.185658611
,28.02.2003,0.14325122,0.165194042,0.138883606,0.185373967
,01.03.2003,0.143477785,0.165484635,0.13877395,0.185089059
