@T,C1C2C3,,,,
descr,average observed soil water content at probe C1 C2 C3 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,22.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1584.333333,,,
x,,513547,,,
y,,4494896.333,,,
,22.01.2003,0.108674146,0.106956542,0.085866677,0.108501233
,23.01.2003,0.106753852,0.106350481,0.085869042,0.108529615
,24.01.2003,0.106943147,0.105764224,0.085604106,0.108465526
,25.01.2003,0.108025896,0.105908434,0.085438775,0.108310806
,26.01.2003,0.108749481,0.106342058,0.085470823,0.108209076
,27.01.2003,0.109935383,0.106724124,0.085583478,0.108172575
,28.01.2003,0.111866123,0.107679421,0.085854138,0.108209496
,29.01.2003,0.111740463,0.108343103,0.086263133,0.108347211
,30.01.2003,0.111604977,0.108458553,0.086528087,0.108553905
,31.01.2003,0.112387645,0.108665553,0.086687059,0.108701749
,01.02.2003,0.113825065,0.109244042,0.086899587,0.108838436
,02.02.2003,0.115756109,0.110293487,0.08729035,0.109015108
,03.02.2003,0.114270733,0.110736871,0.087787145,0.109300558
,04.02.2003,0.11187902,0.109954517,0.087935687,0.109583152
,05.02.2003,0.110496894,0.108872073,0.087685122,0.109694747
,06.02.2003,0.10936484,0.108030474,0.08730466,0.109623489
,07.02.2003,0.107485574,0.1070447,0.086870302,0.109446293
,08.02.2003,0.105861098,0.105808114,0.086299031,0.109161929
,09.02.2003,0.106011981,0.105012761,0.085666337,0.108785742
,10.02.2003,0.105282647,0.104625283,0.085230126,0.108374354
,11.02.2003,0.105385634,0.104137816,0.084819147,0.108001427
,12.02.2003,0.105882048,0.104073164,0.084522366,0.107654976
,13.02.2003,0.106830927,0.104291333,0.08437787,0.107377309
,14.02.2003,0.101513058,0.104749223,0.084382484,0.10718046
,15.02.2003,0.109707517,0.105606865,0.084578246,0.107098282
,16.02.2003,0.109962049,0.106158609,0.084878924,0.107128502
,17.02.2003,0.110474154,0.106491012,0.085111494,0.1072166
,18.02.2003,0.111273512,0.106961036,0.085334098,0.107331496
,19.02.2003,0.111743371,0.107378733,0.085589109,0.107467637
,20.02.2003,0.111046582,0.107501714,0.085808422,0.107618354
,21.02.2003,0.111205654,0.107358503,0.085874069,0.107741624
,22.02.2003,0.111534015,0.107534201,0.085932669,0.107814521
,23.02.2003,0.110684795,0.107506347,0.086024131,0.1078906
,24.02.2003,0.107481717,0.106499871,0.085918245,0.107942404
,25.02.2003,0.104878849,0.104823091,0.085388996,0.107832599
,26.02.2003,0.104927394,0.103692996,0.084657477,0.107505045
,27.02.2003,0.106512777,0.103692059,0.084175172,0.10708922
,28.02.2003,0.107328949,0.104105938,0.084044946,0.106772502
,01.03.2003,0.107386323,0.104354226,0.084066785,0.106594851
,02.03.2003,0.107492698,0.104340772,0.084055816,0.106486367
,03.03.2003,0.108927712,0.10471106,0.08406497,0.106399556
,04.03.2003,0.109969811,0.105461176,0.084264542,0.10638182
,05.03.2003,0.108326645,0.105380746,0.084478307,0.106448222
,06.03.2003,0.108810087,0.10509753,0.084423932,0.106492767
,07.03.2003,0.110575448,0.105586496,0.084442975,0.106469085
,08.03.2003,0.11260462,0.106539335,0.08602343,0.106500166
,09.03.2003,0.114022212,0.107668253,0.085175987,0.106661461
,10.03.2003,0.114735503,0.108407092,0.08567316,0.106922832
,11.03.2003,0.116650195,0.109293157,0.086137531,0.107227281
,12.03.2003,0.118703489,0.110512909,0.086722185,0.107561186
,13.03.2003,0.120604974,0.111855642,0.087428878,0.107966558
,14.03.2003,0.122509291,0.113155801,0.088198441,0.108451589
,15.03.2003,0.125036797,0.114583583,0.089010361,0.109012028
,16.03.2003,0.126300272,0.116097368,0.089933906,0.109646041
,17.03.2003,0.126587659,0.116937654,0.090768704,0.110337589
,18.03.2003,0.123821006,0.116831461,0.091374053,0.111001979
,19.03.2003,0.120061106,0.115274735,0.091424904,0.111509054
,20.03.2003,0.117905396,0.113574677,0.090961736,0.111699328
,21.03.2003,0.117506045,0.112424448,0.090353403,0.111619317
,22.03.2003,0.119171406,0.112375252,0.089943565,0.111423323
,23.03.2003,0.121124009,0.11302068,0.089917444,0.1112966
,24.03.2003,0.123523469,0.11425873,0.090200559,0.111323454
,25.03.2003,0.1214394,0.114293962,0.09059597,0.111522293
,26.03.2003,0.122627393,0.114153936,0.09064081,0.111702913
,27.03.2003,0.123636817,0.114739556,0.090792072,0.111818519
,28.03.2003,0.120907884,0.114122356,0.090930878,0.111984148
,29.03.2003,0.119823322,0.112957072,0.09063519,0.112045002
,30.03.2003,0.119801469,0.111923209,0.090168049,0.111926956
,31.03.2003,0.123064567,0.111949232,0.08977905,0.111690289
,01.04.2003,0.127937737,0.113266569,0.089838429,0.111514134
,02.04.2003,0.132066509,0.114920799,0.090361317,0.111560556
,03.04.2003,0.135327436,0.116397922,0.091080765,0.111837721
,04.04.2003,0.136479177,0.117120125,0.091789031,0.112266064
,05.04.2003,0.136500615,0.11706745,0.092214396,0.112701329
,06.04.2003,0.135902721,0.116465125,0.092325788,0.113030198
,07.04.2003,0.134008397,0.11518783,0.09213609,0.11320328
,08.04.2003,0.153999429,0.114017052,0.091648801,0.11317587
,09.04.2003,0.138747818,0.114077098,0.091259953,0.112984709
,10.04.2003,0.144666536,0.115347796,0.091334683,0.112851751
,11.04.2003,0.150130179,0.125278909,0.091910436,0.11292342
,12.04.2003,0.154977074,0.119093302,0.092771493,0.113272819
,13.04.2003,0.159118036,0.120780672,0.093742153,0.11379684
,14.04.2003,0.162907394,0.12229556,0.094713866,0.114424259
,15.04.2003,0.16556265,0.123545139,0.095656632,0.115122104
,16.04.2003,0.164648285,0.123860985,0.09644361,0.115841903
,17.04.2003,0.164555508,0.123180153,0.096764737,0.116442906
,18.04.2003,0.167136529,0.123155325,0.096840283,0.116833077
,19.04.2003,0.167853526,0.123335809,0.097057488,0.117140047
,20.04.2003,0.167254226,0.122844833,0.097173525,0.117426323
,21.04.2003,0.168722329,0.122466095,0.097082844,0.117607657
,22.04.2003,0.171894887,0.122880841,0.09709606,0.117715915
,23.04.2003,0.21251059,0.125105323,0.0974331,0.117789313
,24.04.2003,0.318886567,0.18303214,0.097551805,0.11782333
,25.04.2003,0.322706666,0.181289791,0.096945435,0.117812817
,26.04.2003,0.321013491,0.179177754,0.096559474,0.117567542
,27.04.2003,0.321237461,0.178813044,0.096817177,0.117354056
,28.04.2003,0.321280987,0.179342782,0.098870847,0.117338168
,29.04.2003,0.320981002,0.179880473,0.103345047,0.117571529
