@T,C1C2C3,,,,
descr,average observed soil water content at probe C1 C2 C3 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,22.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1584.333333,,,
x,,513547,,,
y,,4494896.333,,,
,05.05.2005,-9999,-9999,-9999,-9999
,06.05.2005,-9999,-9999,-9999,-9999
,07.05.2005,-9999,-9999,-9999,-9999
,08.05.2005,-9999,-9999,-9999,-9999
,09.05.2005,-9999,-9999,-9999,-9999
,10.05.2005,-9999,-9999,-9999,-9999
,11.05.2005,-9999,-9999,-9999,-9999
,12.05.2005,-9999,-9999,-9999,-9999
,13.05.2005,-9999,-9999,-9999,-9999
,14.05.2005,-9999,-9999,-9999,-9999
,15.05.2005,-9999,-9999,-9999,-9999
,16.05.2005,-9999,-9999,-9999,-9999
,17.05.2005,-9999,-9999,-9999,-9999
,18.05.2005,-9999,-9999,-9999,-9999
,19.05.2005,-9999,-9999,-9999,-9999
,20.05.2005,-9999,-9999,-9999,-9999
,21.05.2005,-9999,-9999,-9999,-9999
,22.05.2005,-9999,-9999,-9999,-9999
,23.05.2005,-9999,-9999,-9999,-9999
,24.05.2005,-9999,-9999,-9999,-9999
,25.05.2005,-9999,-9999,-9999,-9999
,26.05.2005,-9999,-9999,-9999,-9999
,27.05.2005,-9999,-9999,-9999,-9999
,28.05.2005,-9999,-9999,-9999,-9999
,29.05.2005,-9999,-9999,-9999,-9999
,30.05.2005,-9999,-9999,-9999,-9999
,31.05.2005,-9999,-9999,-9999,-9999
,01.06.2005,-9999,-9999,-9999,-9999
,02.06.2005,-9999,-9999,-9999,-9999
,03.06.2005,-9999,-9999,-9999,-9999
,04.06.2005,-9999,-9999,-9999,-9999
,05.06.2005,-9999,-9999,-9999,-9999
,06.06.2005,-9999,-9999,-9999,-9999
,07.06.2005,-9999,-9999,-9999,-9999
,08.06.2005,-9999,-9999,-9999,-9999
,09.06.2005,-9999,-9999,-9999,-9999
,10.06.2005,-9999,-9999,-9999,-9999
,11.06.2005,-9999,-9999,-9999,-9999
,12.06.2005,-9999,-9999,-9999,-9999
,13.06.2005,-9999,-9999,-9999,-9999
,14.06.2005,-9999,-9999,-9999,-9999
,15.06.2005,-9999,-9999,-9999,-9999
,16.06.2005,-9999,-9999,-9999,-9999
,17.06.2005,-9999,-9999,-9999,-9999
,18.06.2005,-9999,-9999,-9999,-9999
,19.06.2005,-9999,-9999,-9999,-9999
,20.06.2005,-9999,-9999,-9999,-9999
,21.06.2005,-9999,-9999,-9999,-9999
,22.06.2005,-9999,-9999,-9999,-9999
,23.06.2005,-9999,-9999,-9999,-9999
,24.06.2005,-9999,-9999,-9999,-9999
,25.06.2005,-9999,-9999,-9999,-9999
,26.06.2005,-9999,-9999,-9999,-9999
,27.06.2005,-9999,-9999,-9999,-9999
,28.06.2005,-9999,-9999,-9999,-9999
,29.06.2005,-9999,-9999,-9999,-9999
,30.06.2005,-9999,-9999,-9999,-9999
,01.07.2005,-9999,-9999,-9999,-9999
,02.07.2005,-9999,-9999,-9999,-9999
,03.07.2005,-9999,-9999,-9999,-9999
,04.07.2005,-9999,-9999,-9999,-9999
,05.07.2005,-9999,-9999,-9999,-9999
,06.07.2005,-9999,-9999,-9999,-9999
,07.07.2005,-9999,-9999,-9999,-9999
,08.07.2005,-9999,-9999,-9999,-9999
,09.07.2005,-9999,-9999,-9999,-9999
,10.07.2005,-9999,-9999,-9999,-9999
,11.07.2005,-9999,-9999,-9999,-9999
,12.07.2005,-9999,-9999,-9999,-9999
,13.07.2005,-9999,-9999,-9999,-9999
,14.07.2005,-9999,-9999,-9999,-9999
,15.07.2005,-9999,-9999,-9999,-9999
,16.07.2005,-9999,-9999,-9999,-9999
,17.07.2005,-9999,-9999,-9999,-9999
,18.07.2005,-9999,-9999,-9999,-9999
,19.07.2005,-9999,-9999,-9999,-9999
,20.07.2005,-9999,-9999,-9999,-9999
,21.07.2005,-9999,-9999,-9999,-9999
,22.07.2005,-9999,-9999,-9999,-9999
,23.07.2005,-9999,-9999,-9999,-9999
,24.07.2005,-9999,-9999,-9999,-9999
,25.07.2005,-9999,-9999,-9999,-9999
,26.07.2005,-9999,-9999,-9999,-9999
,27.07.2005,-9999,-9999,-9999,-9999
,28.07.2005,-9999,-9999,-9999,-9999
,29.07.2005,-9999,-9999,-9999,-9999
,30.07.2005,-9999,-9999,-9999,-9999
,31.07.2005,-9999,-9999,-9999,-9999
,01.08.2005,-9999,-9999,-9999,-9999
,02.08.2005,-9999,-9999,-9999,-9999
,03.08.2005,-9999,-9999,-9999,-9999
,04.08.2005,-9999,-9999,-9999,-9999
,05.08.2005,-9999,-9999,-9999,-9999
,06.08.2005,-9999,-9999,-9999,-9999
,07.08.2005,-9999,-9999,-9999,-9999
,08.08.2005,-9999,-9999,-9999,-9999
,09.08.2005,-9999,-9999,-9999,-9999
,10.08.2005,-9999,-9999,-9999,-9999
,11.08.2005,-9999,-9999,-9999,-9999
,12.08.2005,-9999,-9999,-9999,-9999
,13.08.2005,-9999,-9999,-9999,-9999
,14.08.2005,-9999,-9999,-9999,-9999
,15.08.2005,-9999,-9999,-9999,-9999
,16.08.2005,-9999,-9999,-9999,-9999
,17.08.2005,-9999,-9999,-9999,-9999
,18.08.2005,-9999,-9999,-9999,-9999
,19.08.2005,-9999,-9999,-9999,-9999
,20.08.2005,-9999,-9999,-9999,-9999
,21.08.2005,-9999,-9999,-9999,-9999
,22.08.2005,-9999,-9999,-9999,-9999
,23.08.2005,-9999,-9999,-9999,-9999
,24.08.2005,-9999,-9999,-9999,-9999
,25.08.2005,-9999,-9999,-9999,-9999
,26.08.2005,-9999,-9999,-9999,-9999
,27.08.2005,-9999,-9999,-9999,-9999
,28.08.2005,-9999,-9999,-9999,-9999
,29.08.2005,-9999,-9999,-9999,-9999
,30.08.2005,-9999,-9999,-9999,-9999
,31.08.2005,-9999,-9999,-9999,-9999
,01.09.2005,-9999,-9999,-9999,-9999
,02.09.2005,-9999,-9999,-9999,-9999
,03.09.2005,-9999,-9999,-9999,-9999
,04.09.2005,-9999,-9999,-9999,-9999
,05.09.2005,-9999,-9999,-9999,-9999
,06.09.2005,-9999,-9999,-9999,-9999
,07.09.2005,-9999,-9999,-9999,-9999
,08.09.2005,-9999,-9999,-9999,-9999
,09.09.2005,-9999,-9999,-9999,-9999
,10.09.2005,-9999,-9999,-9999,-9999
,11.09.2005,-9999,-9999,-9999,-9999
,12.09.2005,-9999,-9999,-9999,-9999
,13.09.2005,-9999,-9999,-9999,-9999
,14.09.2005,-9999,-9999,-9999,-9999
,15.09.2005,-9999,-9999,-9999,-9999
,16.09.2005,-9999,-9999,-9999,-9999
,17.09.2005,-9999,-9999,-9999,-9999
,18.09.2005,-9999,-9999,-9999,-9999
,19.09.2005,-9999,-9999,-9999,-9999
,20.09.2005,-9999,-9999,-9999,-9999
,21.09.2005,-9999,-9999,-9999,-9999
,22.09.2005,-9999,-9999,-9999,-9999
,23.09.2005,-9999,-9999,-9999,-9999
,24.09.2005,-9999,-9999,-9999,-9999
,25.09.2005,-9999,-9999,-9999,-9999
,26.09.2005,-9999,-9999,-9999,-9999
,27.09.2005,-9999,-9999,-9999,-9999
,28.09.2005,-9999,-9999,-9999,-9999
,29.09.2005,-9999,-9999,-9999,-9999
,30.09.2005,-9999,-9999,-9999,-9999
,01.10.2005,-9999,-9999,-9999,-9999
,02.10.2005,-9999,-9999,-9999,-9999
,03.10.2005,-9999,-9999,-9999,-9999
,04.10.2005,-9999,-9999,-9999,-9999
,05.10.2005,-9999,-9999,-9999,-9999
,06.10.2005,-9999,-9999,-9999,-9999
,07.10.2005,-9999,-9999,-9999,-9999
,08.10.2005,-9999,-9999,-9999,-9999
,09.10.2005,-9999,-9999,-9999,-9999
,10.10.2005,-9999,-9999,-9999,-9999
,11.10.2005,-9999,-9999,-9999,-9999
,12.10.2005,-9999,-9999,-9999,-9999
,13.10.2005,-9999,-9999,-9999,-9999
,14.10.2005,-9999,-9999,-9999,-9999
,15.10.2005,-9999,-9999,-9999,-9999
,16.10.2005,-9999,-9999,-9999,-9999
,17.10.2005,-9999,-9999,-9999,-9999
,18.10.2005,-9999,-9999,-9999,-9999
,19.10.2005,-9999,-9999,-9999,-9999
,20.10.2005,-9999,-9999,-9999,-9999
,21.10.2005,-9999,-9999,-9999,-9999
,22.10.2005,-9999,-9999,-9999,-9999
,23.10.2005,-9999,-9999,-9999,-9999
,24.10.2005,-9999,-9999,-9999,-9999
,25.10.2005,-9999,-9999,-9999,-9999
,26.10.2005,-9999,-9999,-9999,-9999
,27.10.2005,-9999,-9999,-9999,-9999
,28.10.2005,-9999,-9999,-9999,-9999
,29.10.2005,-9999,-9999,-9999,-9999
,30.10.2005,-9999,-9999,-9999,-9999
,31.10.2005,-9999,-9999,-9999,-9999
,01.11.2005,-9999,-9999,-9999,-9999
,02.11.2005,-9999,-9999,-9999,-9999
,03.11.2005,-9999,-9999,-9999,-9999
,04.11.2005,-9999,-9999,-9999,-9999
,05.11.2005,-9999,-9999,-9999,-9999
,06.11.2005,-9999,-9999,-9999,-9999
,07.11.2005,-9999,-9999,-9999,-9999
,08.11.2005,-9999,-9999,-9999,-9999
,09.11.2005,-9999,-9999,-9999,-9999
,10.11.2005,-9999,-9999,-9999,-9999
,11.11.2005,-9999,-9999,-9999,-9999
,12.11.2005,-9999,-9999,-9999,-9999
,13.11.2005,-9999,-9999,-9999,-9999
,14.11.2005,-9999,-9999,-9999,-9999
,15.11.2005,-9999,-9999,-9999,-9999
,16.11.2005,-9999,-9999,-9999,-9999
,17.11.2005,-9999,-9999,-9999,-9999
,18.11.2005,-9999,-9999,-9999,-9999
,19.11.2005,-9999,-9999,-9999,-9999
,20.11.2005,-9999,-9999,-9999,-9999
,21.11.2005,-9999,-9999,-9999,-9999
,22.11.2005,-9999,-9999,-9999,-9999
,23.11.2005,-9999,-9999,-9999,-9999
,24.11.2005,-9999,-9999,-9999,-9999
,25.11.2005,-9999,-9999,-9999,-9999
,26.11.2005,-9999,-9999,-9999,-9999
,27.11.2005,-9999,-9999,-9999,-9999
,28.11.2005,-9999,-9999,-9999,-9999
,29.11.2005,-9999,-9999,-9999,-9999
,30.11.2005,-9999,-9999,-9999,-9999
,01.12.2005,-9999,-9999,-9999,-9999
,02.12.2005,-9999,-9999,-9999,-9999
,03.12.2005,-9999,-9999,-9999,-9999
,04.12.2005,-9999,-9999,-9999,-9999
,05.12.2005,-9999,-9999,-9999,-9999
,06.12.2005,-9999,-9999,-9999,-9999
,07.12.2005,-9999,-9999,-9999,-9999
,08.12.2005,-9999,-9999,-9999,-9999
,09.12.2005,-9999,-9999,-9999,-9999
,10.12.2005,-9999,-9999,-9999,-9999
,11.12.2005,-9999,-9999,-9999,-9999
,12.12.2005,-9999,-9999,-9999,-9999
,13.12.2005,-9999,-9999,-9999,-9999
,14.12.2005,-9999,-9999,-9999,-9999
,15.12.2005,-9999,-9999,-9999,-9999
,16.12.2005,-9999,-9999,-9999,-9999
,17.12.2005,-9999,-9999,-9999,-9999
,18.12.2005,-9999,-9999,-9999,-9999
,19.12.2005,-9999,-9999,-9999,-9999
,20.12.2005,-9999,-9999,-9999,-9999
,21.12.2005,-9999,-9999,-9999,-9999
,22.12.2005,-9999,-9999,-9999,-9999
,23.12.2005,-9999,-9999,-9999,-9999
,24.12.2005,-9999,-9999,-9999,-9999
,25.12.2005,-9999,-9999,-9999,-9999
,26.12.2005,-9999,-9999,-9999,-9999
,27.12.2005,-9999,-9999,-9999,-9999
,28.12.2005,-9999,-9999,-9999,-9999
,29.12.2005,-9999,-9999,-9999,-9999
,30.12.2005,-9999,-9999,-9999,-9999
,31.12.2005,-9999,-9999,-9999,-9999
,01.01.2006,-9999,-9999,-9999,-9999
,02.01.2006,-9999,-9999,-9999,-9999
,03.01.2006,-9999,-9999,-9999,-9999
,04.01.2006,-9999,-9999,-9999,-9999
,05.01.2006,-9999,-9999,-9999,-9999
,06.01.2006,-9999,-9999,-9999,-9999
,07.01.2006,-9999,-9999,-9999,-9999
,08.01.2006,-9999,-9999,-9999,-9999
,09.01.2006,-9999,-9999,-9999,-9999
,10.01.2006,-9999,-9999,-9999,-9999
,11.01.2006,-9999,-9999,-9999,-9999
,12.01.2006,-9999,-9999,-9999,-9999
,13.01.2006,-9999,-9999,-9999,-9999
,14.01.2006,-9999,-9999,-9999,-9999
,15.01.2006,-9999,-9999,-9999,-9999
,16.01.2006,-9999,-9999,-9999,-9999
,17.01.2006,-9999,-9999,-9999,-9999
,18.01.2006,-9999,-9999,-9999,-9999
,19.01.2006,-9999,-9999,-9999,-9999
,20.01.2006,-9999,-9999,-9999,-9999
,21.01.2006,-9999,-9999,-9999,-9999
,22.01.2006,-9999,-9999,-9999,-9999
,23.01.2006,-9999,-9999,-9999,-9999
,24.01.2006,-9999,-9999,-9999,-9999
,25.01.2006,-9999,-9999,-9999,-9999
,26.01.2006,-9999,-9999,-9999,-9999
,27.01.2006,-9999,-9999,-9999,-9999
,28.01.2006,-9999,-9999,-9999,-9999
,29.01.2006,-9999,-9999,-9999,-9999
,30.01.2006,-9999,-9999,-9999,-9999
,31.01.2006,-9999,-9999,-9999,-9999
,01.02.2006,-9999,-9999,-9999,-9999
,02.02.2006,-9999,-9999,-9999,-9999
,03.02.2006,-9999,-9999,-9999,-9999
,04.02.2006,-9999,-9999,-9999,-9999
,05.02.2006,-9999,-9999,-9999,-9999
,06.02.2006,-9999,-9999,-9999,-9999
,07.02.2006,-9999,-9999,-9999,-9999
,08.02.2006,-9999,-9999,-9999,-9999
,09.02.2006,-9999,-9999,-9999,-9999
,10.02.2006,-9999,-9999,-9999,-9999
,11.02.2006,-9999,-9999,-9999,-9999
,12.02.2006,-9999,-9999,-9999,-9999
,13.02.2006,-9999,-9999,-9999,-9999
,14.02.2006,-9999,-9999,-9999,-9999
,15.02.2006,-9999,-9999,-9999,-9999
,16.02.2006,-9999,-9999,-9999,-9999
,17.02.2006,-9999,-9999,-9999,-9999
,18.02.2006,-9999,-9999,-9999,-9999
,19.02.2006,-9999,-9999,-9999,-9999
,20.02.2006,-9999,-9999,-9999,-9999
,21.02.2006,-9999,-9999,-9999,-9999
,22.02.2006,-9999,-9999,-9999,-9999
,23.02.2006,-9999,-9999,-9999,-9999
,24.02.2006,-9999,-9999,-9999,-9999
,25.02.2006,-9999,-9999,-9999,-9999
,26.02.2006,-9999,-9999,-9999,-9999
,27.02.2006,-9999,-9999,-9999,-9999
,28.02.2006,-9999,-9999,-9999,-9999
,01.03.2006,-9999,-9999,-9999,-9999
,02.03.2006,-9999,-9999,-9999,-9999
,03.03.2006,0.358898765,0.264636804,0.234338015,0.257648857
,04.03.2006,0.358970954,0.264756564,0.235028645,0.258103556
,05.03.2006,0.359570765,0.26518005,0.235632809,0.258550039
,06.03.2006,0.359639705,0.265589956,0.236289327,0.259051681
,07.03.2006,0.36071658,0.266011757,0.236865834,0.259571363
,08.03.2006,0.36069066,0.266832652,0.237567561,0.260137913
,09.03.2006,0.357030792,0.266380224,0.238137803,0.260747335
,10.03.2006,0.354680149,0.265164384,0.238080479,0.261155466
,11.03.2006,0.352034872,0.263664514,0.23765382,0.261255487
,12.03.2006,0.351086499,0.262333158,0.236978149,0.261111309
,13.03.2006,0.350322364,0.26144781,0.236346655,0.260805565
,14.03.2006,0.349714608,0.260657189,0.235778623,0.260460262
,15.03.2006,0.350089723,0.260075827,0.235236822,0.260088205
,16.03.2006,0.351151561,0.260007928,0.234872616,0.259736941
,17.03.2006,0.352411439,0.26038134,0.234759322,0.259498821
,18.03.2006,0.353014502,0.26077566,0.234858757,0.259422175
,19.03.2006,0.353082826,0.261077854,0.235003754,0.259444266
,20.03.2006,0.351635128,0.260748196,0.235088264,0.259500689
,21.03.2006,0.351612932,0.260082328,0.234871174,0.259484091
,22.03.2006,0.3522507,0.259560939,0.23451022,0.259331106
,23.03.2006,0.353930334,0.2591637,0.234113975,0.25908897
,24.03.2006,0.36429337,0.259110402,0.233738724,0.258767589
,25.03.2006,0.37038626,0.260230043,0.233631662,0.258505688
,26.03.2006,0.372956763,0.26228604,0.233949015,0.258429272
,27.03.2006,0.373488131,0.264271648,0.234537945,0.258551211
,28.03.2006,0.374921508,0.266182725,0.235230203,0.258816948
,29.03.2006,0.376646195,0.268189461,0.236152392,0.259185203
,30.03.2006,0.377138233,0.270036269,0.237301221,0.259694312
,31.03.2006,0.376697692,0.271139833,0.238411838,0.260329878
,01.04.2006,0.376906743,0.272018941,0.239364114,0.260986493
,02.04.2006,0.376226198,0.272807728,0.240276024,0.261634277
,03.04.2006,0.374916855,0.272906111,0.240995943,0.262284837
,04.04.2006,0.375095927,0.273120705,0.241492967,0.262836694
,05.04.2006,0.376277945,0.273656204,0.241975925,0.263333094
,06.04.2006,0.376259671,0.274671088,0.242708073,0.263915347
,07.04.2006,0.373927473,0.274724238,0.24344613,0.264628999
,08.04.2006,0.371945657,0.274098357,0.243774595,0.265270046
,09.04.2006,0.372345926,0.273728554,0.24376762,0.265704541
,10.04.2006,0.372770818,0.273864905,0.243716511,0.266046147
,11.04.2006,0.372159232,0.274121316,0.243930234,0.266512343
,12.04.2006,0.370361543,0.273753879,0.244112805,0.267092098
,13.04.2006,0.369971397,0.273262712,0.243883176,0.26770761
,14.04.2006,0.369230144,0.272824087,0.243342746,0.271412502
,15.04.2006,0.367123641,0.272244105,0.242948785,0.268632357
,16.04.2006,0.363379101,0.270489025,0.2419566,0.269073412
,17.04.2006,0.360897134,0.268650094,0.240210236,0.269322054
,18.04.2006,0.357350511,0.266726872,0.238772278,0.269542859
,19.04.2006,0.358573175,0.26395033,0.23757643,0.269698388
,20.04.2006,0.354711979,0.260927194,0.235604747,0.269511977
,21.04.2006,0.347205229,0.258663418,0.233350806,0.268926091
,22.04.2006,0.345241842,0.256806023,0.231165288,0.268114929
,23.04.2006,0.343320937,0.255315131,0.229538652,0.267410407
,24.04.2006,0.339177227,0.254087115,0.229182809,0.267387199
,25.04.2006,0.332445753,0.250963925,0.228743008,0.267399286
,26.04.2006,0.329323074,0.247334045,0.226780323,0.266544481
,27.04.2006,0.331629806,0.245440189,0.223953695,0.264670173
,28.04.2006,0.330900838,0.245271271,0.22245127,0.263102675
,29.04.2006,0.326410624,0.244073772,0.221655168,0.261988629
,30.04.2006,0.323775007,0.242162282,0.220572792,0.261038632
,01.05.2006,0.322453743,0.240648435,0.219326279,0.260027635
,02.05.2006,0.32138746,0.239663474,0.217964251,0.258757282
,03.05.2006,0.319224672,0.238949873,0.217379576,0.25802156
,04.05.2006,0.316175172,0.237622254,0.217125837,0.257869327
,05.05.2006,0.313245891,0.235706796,0.216653001,0.257789043
,06.05.2006,0.313546157,0.233834871,0.21554674,0.256974489
,07.05.2006,0.316118139,0.233772331,0.214317707,0.255462886
,08.05.2006,0.316153201,0.234122734,0.213834561,0.254421687
,09.05.2006,0.313824545,0.233542543,0.213556388,0.253783804
,10.05.2006,0.310676417,0.23223539,0.212836031,0.252997081
,11.05.2006,0.308472898,0.230532568,0.21179763,0.252014624
,12.05.2006,0.308279459,0.229356785,0.210667094,0.250850782
,13.05.2006,0.308255108,0.228490796,0.209653034,0.249582495
,14.05.2006,0.308591955,0.228279982,0.208962682,0.248505885
,15.05.2006,0.306024253,0.227770192,0.208639782,0.247717416
,16.05.2006,0.303892454,0.226614382,0.208190854,0.247020359
,17.05.2006,0.302869335,0.225758408,0.207680063,0.246411859
,18.05.2006,0.300862,0.224645053,0.2072288,0.245775276
,19.05.2006,0.300598588,0.223636006,0.206666493,0.245023726
,20.05.2006,0.300162653,0.222822186,0.206317097,0.244371985
,21.05.2006,0.299513743,0.221768684,0.205977819,0.243651919
,22.05.2006,0.298290041,0.220704805,0.20579356,0.24325179
,23.05.2006,0.295557091,0.219167791,0.205713046,0.243099717
,24.05.2006,0.293944701,0.216803587,0.205063464,0.242322049
,25.05.2006,0.294811883,0.215067574,0.204277191,0.241402957
,26.05.2006,0.295916756,0.213513618,0.203699744,0.24056096
,27.05.2006,0.295680593,0.211526264,0.203223518,0.239731703
,28.05.2006,0.29466448,0.208999905,0.202737747,0.239114497
,29.05.2006,0.292108343,0.205933149,0.202203147,0.238705317
,30.05.2006,0.29009553,0.202954111,0.201515264,0.238557949
,31.05.2006,0.288290664,0.199887377,0.200614115,0.238173323
,01.06.2006,0.288092268,0.196856744,0.199482601,0.237522856
,02.06.2006,0.289724035,0.194196185,0.198315492,0.23663817
,03.06.2006,0.291126181,0.1916905,0.197312206,0.235617305
,04.06.2006,0.291876725,0.189257238,0.196477941,0.234923331
,05.06.2006,0.292740565,0.186995915,0.195758077,0.234344062
,06.06.2006,0.293088398,0.184658115,0.19512841,0.233848077
,07.06.2006,0.294312767,0.182562284,0.194477151,0.233366584
,08.06.2006,0.294865741,0.180946785,0.194037527,0.233028655
,09.06.2006,0.293834545,0.179221156,0.193672882,0.232881195
,10.06.2006,0.292509148,0.177382627,0.193139987,0.232770712
,11.06.2006,0.291642438,0.175388035,0.192356349,0.232582676
,12.06.2006,0.292356498,0.173996669,0.191531554,0.23233677
,13.06.2006,0.29423093,0.17310564,0.190837708,0.232018951
,14.06.2006,0.295780048,0.172644102,0.190375233,0.231800952
,15.06.2006,0.295560856,0.172190749,0.190162924,0.231998614
,16.06.2006,0.293793785,0.17136967,0.18998329,0.232632199
,17.06.2006,0.29157135,0.169746677,0.189323168,0.232752359
,18.06.2006,0.292989327,0.168653474,0.188442102,0.232406323
,19.06.2006,0.294063376,0.168513882,0.187915016,0.23224861
,20.06.2006,0.294137705,0.168545599,0.187710689,0.232297812
,21.06.2006,0.292784504,0.168130718,0.187571456,0.232687343
,22.06.2006,0.292011995,0.167799965,0.187339308,0.233130785
,23.06.2006,0.289869562,0.166921789,0.18700794,0.233490438
,24.06.2006,0.291767235,0.166762658,0.186564392,0.233662948
,25.06.2006,0.290424292,0.166913959,0.186456804,0.233931982
,26.06.2006,0.288959584,0.166360033,0.18625789,0.234256655
,27.06.2006,0.289909939,0.166131321,0.185938045,0.234468383
,28.06.2006,0.290792915,0.166468101,0.185805556,0.234630619
,29.06.2006,0.290326797,0.166443093,0.185794585,0.234830245
,30.06.2006,0.292437332,0.166982358,0.185792951,0.235052082
,01.07.2006,0.293083799,0.167761504,0.186078047,0.235375199
,02.07.2006,0.292545835,0.168310124,0.186434682,0.235810001
,03.07.2006,0.291862079,0.168357691,0.186675882,0.236269725
,04.07.2006,0.291088842,0.168295088,0.186782504,0.236671891
,05.07.2006,0.291190029,0.168429612,0.186825985,0.236995678
,06.07.2006,0.290430072,0.168363597,0.18688737,0.237284119
,07.07.2006,0.290003629,0.168254009,0.186883079,0.237547107
,08.07.2006,0.289212828,0.168285608,0.186864457,0.237770116
,09.07.2006,0.284317035,0.167216674,0.186740184,0.238005986
,10.07.2006,0.28129205,0.16517926,0.185995143,0.238027963
,11.07.2006,0.283513872,0.164632087,0.185041591,0.237709153
,12.07.2006,0.2833483,0.164799819,0.184640072,0.237394374
,13.07.2006,0.285684812,0.165309306,0.184465824,0.237221883
,14.07.2006,0.287857145,0.166611246,0.184703436,0.237230737
,15.07.2006,0.29002925,0.168081626,0.185279794,0.237472597
,16.07.2006,0.291662659,0.169664693,0.186087943,0.237938226
,17.07.2006,0.292209264,0.170838098,0.18696915,0.238562747
,18.07.2006,0.291693052,0.171518176,0.187721901,0.239254231
,19.07.2006,0.292097065,0.172082462,0.188320524,0.239895168
,20.07.2006,0.291719543,0.172400061,0.18875425,0.240461213
,21.07.2006,0.290702475,0.172186551,0.188976235,0.240984734
,22.07.2006,0.291412402,0.172044162,0.18901203,0.241388911
,23.07.2006,0.292741313,0.172397644,0.189103691,0.241768216
,24.07.2006,0.294066501,0.173010817,0.189375454,0.24208125
,25.07.2006,-9999,-9999,-9999,-9999
,26.07.2006,-9999,-9999,-9999,-9999
,27.07.2006,-9999,-9999,-9999,-9999
,28.07.2006,-9999,-9999,-9999,-9999
,29.07.2006,-9999,-9999,-9999,-9999
,30.07.2006,-9999,-9999,-9999,-9999
,31.07.2006,-9999,-9999,-9999,-9999
,01.08.2006,-9999,-9999,-9999,-9999
,02.08.2006,-9999,-9999,-9999,-9999
,03.08.2006,-9999,-9999,-9999,-9999
,04.08.2006,-9999,-9999,-9999,-9999
,05.08.2006,-9999,-9999,-9999,-9999
,06.08.2006,-9999,-9999,-9999,-9999
,07.08.2006,-9999,-9999,-9999,-9999
,08.08.2006,-9999,-9999,-9999,-9999
,09.08.2006,-9999,-9999,-9999,-9999
,10.08.2006,-9999,-9999,-9999,-9999
,11.08.2006,-9999,-9999,-9999,-9999
,12.08.2006,-9999,-9999,-9999,-9999
,13.08.2006,-9999,-9999,-9999,-9999
,14.08.2006,-9999,-9999,-9999,-9999
,15.08.2006,-9999,-9999,-9999,-9999
,16.08.2006,-9999,-9999,-9999,-9999
,17.08.2006,-9999,-9999,-9999,-9999
,18.08.2006,-9999,-9999,-9999,-9999
,19.08.2006,-9999,-9999,-9999,-9999
,20.08.2006,-9999,-9999,-9999,-9999
,21.08.2006,-9999,-9999,-9999,-9999
,22.08.2006,-9999,-9999,-9999,-9999
,23.08.2006,-9999,-9999,-9999,-9999
,24.08.2006,-9999,-9999,-9999,-9999
,25.08.2006,-9999,-9999,-9999,-9999
,26.08.2006,-9999,-9999,-9999,-9999
,27.08.2006,-9999,-9999,-9999,-9999
,28.08.2006,-9999,-9999,-9999,-9999
,29.08.2006,-9999,-9999,-9999,-9999
,30.08.2006,-9999,-9999,-9999,-9999
,31.08.2006,-9999,-9999,-9999,-9999
,01.09.2006,-9999,-9999,-9999,-9999
,02.09.2006,0.169009359,0.162532649,0.184031895,0.235624276
,03.09.2006,0.167401733,0.16102755,0.183126344,0.235197914
,04.09.2006,0.16747939,0.160225047,0.182159949,0.234586211
,05.09.2006,0.167543314,0.159776746,0.18143111,0.233943144
,06.09.2006,0.168492274,0.15984493,0.180919465,0.233306512
,07.09.2006,0.168870862,0.160055285,0.18067957,0.23276206
,08.09.2006,0.168700335,0.160053336,0.180513725,0.232337718
,09.09.2006,0.1678098,0.159400022,0.180195016,0.231919608
,10.09.2006,0.16656016,0.158588587,0.17972101,0.231711135
,11.09.2006,0.165877744,0.157785017,0.179075243,0.23139304
,12.09.2006,0.164343934,0.156860333,0.178413531,0.230986184
,13.09.2006,0.164499119,0.156008069,0.177527297,0.230457424
,14.09.2006,0.165582549,0.155933717,0.176876617,0.229867383
,15.09.2006,0.167339274,0.156540042,0.176616734,0.22941378
,16.09.2006,0.16589854,0.156914529,0.176698092,0.229213174
,17.09.2006,0.161523641,0.155200024,0.176338564,0.22911276
,18.09.2006,0.160343134,0.153423818,0.175178902,0.228722486
,19.09.2006,0.159423904,0.152175507,0.174022246,0.228058307
,20.09.2006,0.160247271,0.151666933,0.173046629,0.227397707
,21.09.2006,0.160804319,0.151722673,0.172460248,0.226788288
,22.09.2006,0.159085887,0.15132123,0.172084623,0.226319644
,23.09.2006,0.156966066,0.150100061,0.1714063,0.225883919
,24.09.2006,0.155427596,0.148660416,0.170424388,0.225290535
,25.09.2006,0.156398514,0.147988967,0.169411649,0.22455883
,26.09.2006,0.157596144,0.148165044,0.168815114,0.223885787
,27.09.2006,0.158935778,0.148721844,0.168621194,0.223411494
,28.09.2006,0.158178083,0.148954643,0.168628774,0.223139788
,29.09.2006,0.158611811,0.148777605,0.168459467,0.222963846
,30.09.2006,0.159670503,0.149156826,0.16836127,0.222766174
,01.10.2006,0.160522623,0.149701068,0.175010451,0.218261839
