@H,date,rain[1],rain[2],rain[3],rain[4],rain[5],rain[6],rain[7],rain[8],rain[9],rain[10],rain[11],rain[12],rain[13],rain[14],rain[21],rain[23],rain[24],rain[25],rain[26],rain[27],rain[28],rain[29],rain[30],rain[31],rain[32],rain[33],rain[34],rain[35],rain[18],rain[19],rain[20]
name,-,BELLE-PLAINE,Algona,ALLISON,AMES-8-WSW,ANKENY-3-S,Boone,DES MOINES INTERNATIONAL AIRPORT IA US,MASON CITY MUNICIPAL AIRPORT IA US,SPENCER MUNICIPAL AIRPORT IA US,CEDAR RAPIDS MUNICIPAL AIRPORT IA US,WATERLOO MUNICIPAL AIRPORT IA US,ESTHERVILLE MUNICIPAL AIRPORT IA US,MARSHALLTOWN MUNICIPAL AIRPORT IA US,AMES MUNICIPAL AIRPORT IA US,IASF901,MARSHALLTOWN-IA5198,Clarion-IA1541,HAMPTON-2-NW-IA3584,eldora,iowa falls,webster city,SF400 buckeye,BC350 beaver creek ,TC240,hubbard,jewell,popejoy,williams,TC241,TC323 Tipton Creek U/S,TC325 Tipton Creek
,16.01.1980,37.3,5.8,20.1,20.6,31.2,12.7,26.4,20.3,-9999,30.2,23.1,-9999,-9999,-9999,-9999,17,10.9,22.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.01.1980,2.3,1.3,1.8,1,0.3,13.2,0,0,-9999,0.5,0.3,-9999,-9999,-9999,-9999,8.1,16.8,4.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.01.1980,0,0,0,0,0,0,0,0,-9999,0,0,-9999,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.01.1980,1.3,0,0,1.8,2.3,2.8,2.5,0,-9999,1,0,-9999,-9999,-9999,-9999,2.3,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.01.1980,0,0,0,0,0,0,0,0,-9999,0,0,-9999,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.01.1980,0,0,0,0,0,0,0,0,-9999,0,0,-9999,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.01.1980,0,0,0,0,0,0,0,0,-9999,0,0.3,-9999,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.01.1980,0,0,0,0,0,0,0,2.8,-9999,0,0.8,-9999,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.01.1980,1.3,0,2.5,0,0,0,0,0.5,-9999,1.3,0.5,-9999,-9999,-9999,-9999,2.3,1.8,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.01.1980,0,0,0,0,0,0,0,0,-9999,0,0,-9999,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
