@T,climate,,,,,,,
name,rhum.csv,,,,,,,
descr,relative humidity,,,,,,,
,,,,,,,,
missing_val,-9999,,,,,,,
date_start,01.01.1980,,,,,,,
date_end,30.04.2015,,,,,,,
date_format,dd.MM.yyyy,,,,,,,
,,,,,,,,
unit,%,,,,,,,
tres,d,,,,,,,
,,,,,,,,
@H,date,rehum[0],rehum[2],rehum[3],rehum[4],rhum[5],rhum[6],rhum[7]
name,-,IASF901,Cedar Rapids-A131329,WATERLOO MUNICIPAL AIRPORT IA US,MARSHALLTOWN MUNICIPAL AIRPORT IA US,Ames-Airport,ESTHERVILLE MUNICIPAL AIRPORT IA US,MASON CITY MUNICIPAL AIRPORT IA US
ID,-,1,3,4,5,6,7,8
elevation,-,347.81,240,268,296.9,280,401.4,367
,05.03.1980,-9999,-9999,78.88,-9999,-9999,-9999,66.93
,06.03.1980,-9999,-9999,82.86,-9999,-9999,-9999,77.68
,07.03.1980,-9999,-9999,84.3,-9999,-9999,-9999,81.85
,08.03.1980,-9999,-9999,79.92,-9999,-9999,-9999,76.71
,09.03.1980,-9999,-9999,91.59,-9999,-9999,-9999,76.21
,10.03.1980,-9999,-9999,73.84,-9999,-9999,-9999,67.09
,11.03.1980,-9999,-9999,70.67,-9999,-9999,-9999,61.46
,12.03.1980,-9999,-9999,74.82,-9999,-9999,-9999,65.59
,13.03.1980,-9999,-9999,86.47,-9999,-9999,-9999,78.71
,14.03.1980,-9999,-9999,78.76,-9999,-9999,-9999,75.8
,15.03.1980,-9999,-9999,73.09,-9999,-9999,-9999,67.11
,16.03.1980,-9999,-9999,76.99,-9999,-9999,-9999,79.71
,17.03.1980,-9999,-9999,69.21,-9999,-9999,-9999,63.07
,18.03.1980,-9999,-9999,64.59,-9999,-9999,-9999,62.69
,19.03.1980,-9999,-9999,62.93,-9999,-9999,-9999,62.6
,20.03.1980,-9999,-9999,75.84,-9999,-9999,-9999,74.65
,21.03.1980,-9999,-9999,66.09,-9999,-9999,-9999,69.84
,22.03.1980,-9999,-9999,70.05,-9999,-9999,-9999,65.57
