@T,crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,crop.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
descr,default crop input parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@H,CID,IDC,CPNM,CPDESC,PHU,BIO_E,HVSTI,BLAI,FRGRW1,LAIMX1,FRGRW2,LAIMX2,DLAI,CHTMX,RDMX,T_OPT,T_BASE,CNYLD,CPYLD,PLTNFR1,PLTNFR2,PLTNFR3,PLTPFR1,PLTPFR2,PLTPFR3,WSYF,GSI,VPDFR,FRGMAX,WAVP,CO2HI,BIOEHI,RSDCO_PL,ALAI_MIN,ENDBION,MAXFERT,BION20,BION40,BION60,BION80,CFACTOR
,21,4,SCRN,Sweet-Corn,1600,39,0.5,2.5,0.15,0.05,0.5,0.95,0.5,2.5,2,24,12,0.02,0,0.05,0.02,0.01,0,0,0,0.3,0.01,4,0.75,7.2,660,45,0.05,1,273,136.5,2,20,70,120,0.38
,22,6,EGAM,Eastern-Gamagrass,1600,21,0.9,2.5,0.05,0.18,0.25,0.9,0.4,1.7,2,25,12,0.02,0,0.02,0.01,0.01,0,0,0,0.9,0.01,4,0.75,10,660,58,0.05,2,147,73.5,2,20,70,120,0.1
,23,4,GRSG,Grain-Sorghum,1600,33.5,0.45,3,0.15,0.05,0.5,0.95,0.64,1,2,30,11,0.02,0,0.04,0.02,0.01,0.01,0,0,0.25,0.01,4,0.75,8.5,660,36,0.05,1,234.5,117.25,2,20,70,120,0.2
,24,4,SGHY,Sorghum-Hay,1600,33.5,0.9,4,0.15,0.05,0.5,0.95,0.64,1.5,2,30,11,0.02,0,0.04,0.02,0.01,0.01,0,0,0.9,0.01,4,0.75,8.5,660,36,0.05,1,234.5,117.25,2,20,70,120,0.2
,25,6,JHGR,Johnsongrass,1600,35,0.9,2.5,0.15,0.05,0.57,0.95,0.5,1,2,30,11,0.02,0,0.04,0.02,0.01,0.01,0,0,0.9,0.01,4,0.75,8.5,660,36,0.05,2,245,122.5,2,20,70,120,0.1
,26,6,SUGC,Sugarcane,1600,25,0.5,6,0.15,0.01,0.5,0.95,0.75,3,2,25,11,0,0,0.01,0,0,0.01,0,0,0.01,0.01,4,0.75,10,660,33,0.05,2,0,0,2,20,70,120,0.2
,27,5,SWHT,Spring-Wheat,1600,35,0.6,4,0.15,0.05,0.5,0.95,0.6,0.9,2,18,0,0.02,0,0.06,0.02,0.01,0.01,0,0,0.2,0.01,4,0.75,8,660,46,0.05,1,240,30,34,185,195,202,0.2
,28,5,WWHT,Winter-Wheat,2200,30,0.5,3.3,0.15,0.01,0.8,0.95,0.81,0.9,1.5,18,0,0.026,0,0.07,0.03,0.012,0.01,0,0,0.2,0.01,4,0.75,6,660,39,0.05,1,240,106.5,3,50,120,170,0.2
,29,5,DWHT,Durum-Wheat,1600,30,0.4,4,0.15,0.01,0.5,0.95,0.8,1,2,15,0,0.03,0.01,0.06,0.02,0.015,0.01,0,0,0.2,0.01,4,0.75,7,660,45,0.05,1,315,157.5,2,20,70,120,0.2
,30,5,RYE,Rye,1600,35,0.4,4,0.15,0.01,0.5,0.95,0.8,1,1.8,12.5,0,0.03,0,0.06,0.02,0.01,0.01,0,0,0.2,0.01,4,0.75,7,660,45,0.05,1,367.5,183.75,2,20,70,120,0.2
,31,5,BARL,Spring-Barley,1400,30,0.6,2.1,0.15,0.01,0.5,0.95,0.8,0.9,1,25,0,0.02,0,0.06,0.02,0.01,0.01,0,0,0.2,0.01,4,0.75,7,660,45,0.05,1,120,30,2,45,80,95,0.21
,32,5,OATS,Oats,1600,30,0.5,3.5,0.15,0.01,0.5,0.95,0.8,0.9,1,15,0,0.03,0.01,0.06,0.02,0.01,0.01,0,0,0.18,0.01,4,0.75,10,660,45,0.05,1,315,157.5,2,20,70,120,0.2
