@T,obs,,,,,
descr,observed runoff at Drake,,,,,
unit,m3/s  //  mg/l  //  mg/l ,,,,,
,,,,,,
missing_val,-9999,,,,,
date_start,09.01.2001,,,,,
date_end,31.12.2013,,,,,
date_format,dd.MM.yyyy,,,,,
,,,,,,
@H,date,orun[1],no3_n[1],sedim[1],no3_n[2],no3_n[3]
name,-,SF450,SF450,SF450,SF450,SF450
ID,-,1,2,3,4,5
elevation,-,289,289,289,289,289
,23.02.2009,4.24752699,3.97,-9999,-9999,-9999
,24.02.2009,4.275843837,4.09,-9999,-9999,-9999
,25.02.2009,4.219210143,4.2,-9999,-9999,-9999
,26.02.2009,3.794457444,4.31,-9999,-9999,-9999
,27.02.2009,3.766140598,4.43,-9999,-9999,-9999
,28.02.2009,3.369704745,4.54,-9999,-9999,-9999
,01.03.2009,3.029902586,4.65,-9999,-9999,-9999
,02.03.2009,3.143169973,4.77,-9999,-9999,-9999
,03.03.2009,2.83168466,4.88,-9999,-9999,-9999
,04.03.2009,2.803367813,4.94,-9999,5,-9999
,05.03.2009,2.74673412,4.62,-9999,-9999,-9999
,06.03.2009,3.114853126,4.22,-9999,-9999,-9999
,07.03.2009,12.62931358,4.07,-9999,3.8,-9999
,08.03.2009,32.56437359,5.08,-9999,5.15,-9999
,09.03.2009,46.43962842,5.49,-9999,5.55,-9999
,10.03.2009,41.6257645,5.81,-9999,5.7,-9999
,11.03.2009,29.44952046,6.28,-9999,-9999,-9999
,12.03.2009,14.89466131,6.71,-9999,6.8,-9999
,13.03.2009,11.21347125,6.62,-9999,-9999,-9999
,14.03.2009,8.891489832,6.44,-9999,-9999,-9999
,15.03.2009,8.438420287,6.25,-9999,-9999,-9999
,16.03.2009,8.749905599,6.07,-9999,-9999,-9999
,17.03.2009,7.928717048,5.88,-9999,-9999,-9999
,18.03.2009,6.626142104,5.75,-9999,5.7,-9999
,19.03.2009,5.238616621,5.88,-9999,5.9,-9999
,20.03.2009,4.304160683,5.9,-9999,5.9,-9999
,21.03.2009,3.822774291,5.86,-9999,5.9,-9999
,22.03.2009,3.567922672,5.62,-9999,5.6,-9999
,23.03.2009,4.24752699,5.58,-9999,5.6,-9999
,24.03.2009,24.38080492,7.54,-9999,7.56,-9999
,25.03.2009,33.41387899,8.88,-9999,9.05,-9999
,26.03.2009,23.55961637,9.25,-9999,9.3,-9999
,27.03.2009,14.951295,9.14,-9999,-9999,-9999
,28.03.2009,11.44000603,9.09,-9999,-9999,-9999
,29.03.2009,9.231291992,9.03,-9999,-9999,-9999
,30.03.2009,7.815449662,8.98,-9999,-9999,-9999
,31.03.2009,7.135845343,8.92,-9999,-9999,-9999
,01.04.2009,6.484557871,8.87,-9999,-9999,-9999
,02.04.2009,5.8332704,8.81,-9999,-9999,-9999
,03.04.2009,5.436834547,8.76,-9999,-9999,-9999
,04.04.2009,5.068715541,8.64,-9999,8.7,-9999
,05.04.2009,5.408517701,8.32,-9999,8.3,-9999
,06.04.2009,5.606735627,7.87,-9999,7.7,-9999
,07.04.2009,6.144755712,7.65,-9999,7.566666667,-9999
,08.04.2009,8.551687673,8.89,-9999,8.833333333,-9999
,09.04.2009,14.97961185,9.71,-9999,9.7,-9999
,10.04.2009,14.13010645,10.52,-9999,10.6,-9999
,11.04.2009,10.93030279,10.85,-9999,10.9,-9999
,12.04.2009,9.061390912,10.74,-9999,10.8,-9999
,13.04.2009,8.155251821,10.29,-9999,10.2,-9999
,14.04.2009,7.872083355,10.28,-9999,10.3,-9999
,15.04.2009,7.107528497,10.19,-9999,10.2,-9999
,16.04.2009,6.456241025,10,-9999,10,-9999
,17.04.2009,6.031488326,9.78,-9999,9.8,-9999
,18.04.2009,5.804953553,9.42,-9999,9.4,-9999
,19.04.2009,5.889904093,9.24,-9999,9.2,-9999
,20.04.2009,5.49346824,9.26,-9999,9.3,-9999
,21.04.2009,5.125349235,9.14,-9999,9.1,-9999
,22.04.2009,4.785547075,9.19,-9999,9.2,-9999
,23.04.2009,4.530695456,9.14,-9999,9.2,-9999
,24.04.2009,4.445744916,8.72,-9999,8.7,-9999
,25.04.2009,4.615645996,8.28,-9999,8.4,-9999
,26.04.2009,10.25069847,6.78,-9999,5.875,-9999
,27.04.2009,47.57230229,6.84,-9999,5.8,-9999
,28.04.2009,43.04160683,11.04,-9999,11.05,-9999
,29.04.2009,33.13071052,10.78,-9999,10.95,-9999
,30.04.2009,30.86536279,9.86,-9999,9.6,-9999
,01.05.2009,23.95605222,10.29,-9999,10.4,-9999
,02.05.2009,18.83070299,10.32,-9999,10.3,-9999
,03.05.2009,15.3760477,10.44,-9999,10.4,-9999
,04.05.2009,13.02574944,10.61,-9999,10.6,-9999
,05.05.2009,11.52495657,10.5,-9999,10.6,-9999
,06.05.2009,12.4594125,9.84,-9999,9.9,-9999
,07.05.2009,14.41327492,9.97,-9999,9.9,-9999
,08.05.2009,13.39386844,10.79,-9999,10.9,-9999
,09.05.2009,12.4594125,10.62,-9999,10.6,-9999
,10.05.2009,11.52495657,10.41,-9999,10.5,-9999
,11.05.2009,10.59050063,9.81,-9999,9.7,-9999
,12.05.2009,9.91089631,9.65,-9999,9.8,-9999
,13.05.2009,10.53386694,8.95,-9999,8.7,-9999
,14.05.2009,10.8170354,9.51,-9999,9.6,-9999
,15.05.2009,10.64713432,9.76,-9999,9.8,-9999
,16.05.2009,10.59050063,9.74,-9999,9.7,-9999
,17.05.2009,9.854262617,9.88,-9999,9.9,-9999
,18.05.2009,9.174658298,9.88,-9999,9.9,-9999
,19.05.2009,8.551687673,9.75,-9999,9.7,-9999
,20.05.2009,7.928717048,9.84,-9999,9.9,-9999
,21.05.2009,7.390696963,9.6,-9999,9.6,-9999
,22.05.2009,6.965944264,9.32,-9999,9.3,-9999
,23.05.2009,6.90931057,9.19,-9999,9.2,-9999
,24.05.2009,6.99426111,9.05,-9999,9,-9999
,25.05.2009,6.852676877,9.12,-9999,9.2,-9999
,26.05.2009,7.872083355,8.52,-9999,7.933333333,-9999
,27.05.2009,40.49309064,9.03,-9999,9.266666667,-9999
,28.05.2009,60.31488326,13.35,-9999,13.6,-9999
,29.05.2009,45.59012303,14.33,-9999,14.86666667,-9999
,30.05.2009,30.29902586,13.41,-9999,13.5,-9999
,31.05.2009,21.43585288,12.7,-9999,12.5,-9999
,01.06.2009,17.24495958,12.97,-9999,13.1,-9999
,02.06.2009,14.61149285,12.61,-9999,-9999,-9999
,03.06.2009,12.48772935,12.29,-9999,12.1,-9999
,04.06.2009,10.93030279,12.91,-9999,13.1,-9999
,05.06.2009,9.74099523,12.64,-9999,12.6,-9999
,06.06.2009,8.919806679,12.46,-9999,12.4,-9999
,07.06.2009,8.268519207,12.59,-9999,12.7,-9999
,08.06.2009,7.815449662,12.22,-9999,12.1,-9999
,09.06.2009,7.277429576,12.46,-9999,12.5,-9999
,10.06.2009,6.937627417,12.58,-9999,12.6,-9999
,11.06.2009,6.626142104,12.45,-9999,12.5,-9999
,12.06.2009,6.229706252,11.96,-9999,12,-9999
,13.06.2009,6.456241025,11.31,-9999,11.2,-9999
,14.06.2009,6.371290485,11.29,-9999,11.3,-9999
,15.06.2009,6.201389405,11.25,-9999,11.3,-9999
,16.06.2009,8.268519207,10.97,-9999,10.83333333,-9999
,17.06.2009,12.0912935,11.73,-9999,12,-9999
,18.06.2009,19.36872307,11.59,-9999,11.4,-9999
,19.06.2009,28.06199498,12,-9999,11.7,-9999
,20.06.2009,23.21981421,13.4,-9999,13.6,-9999
,21.06.2009,18.2926829,13.47,-9999,13.55,-9999
,22.06.2009,20.69961486,13.07,-9999,12.93333333,-9999
,23.06.2009,22.11545719,13.75,-9999,14.2,-9999
,24.06.2009,17.10337535,13.34,-9999,13.2,-9999
,25.06.2009,14.32832438,12.88,-9999,12.8,-9999
,26.06.2009,12.26119458,12.92,-9999,13,-9999
,27.06.2009,10.56218378,12.62,-9999,12.6,-9999
,28.06.2009,9.118024605,12.34,-9999,12.4,-9999
,29.06.2009,7.957033895,11.8,-9999,11.7,-9999
,30.06.2009,7.050894803,11.84,-9999,11.8,-9999
,01.07.2009,6.342973638,12.09,-9999,12.2,-9999
,02.07.2009,5.720003013,11.71,-9999,11.7,-9999
,03.07.2009,5.210299774,10.91,-9999,11.3,-9999
,04.07.2009,5.295250314,8.55,-9999,7.8,-9999
,05.07.2009,5.181982928,10.01,-9999,10.3,-9999
,06.07.2009,4.955448155,10.58,-9999,10.5,-9999
,07.07.2009,4.643962842,10.66,-9999,10.65,-9999
,08.07.2009,4.672279689,10.75,-9999,10.8,-9999
,09.07.2009,5.436834547,11.21,-9999,11.4,-9999
,10.07.2009,6.597825258,10.4,-9999,10.16,-9999
,11.07.2009,7.475647502,11.29,-9999,11.23333333,-9999
,12.07.2009,6.399607332,11.83,-9999,11.86666667,-9999
,13.07.2009,5.465151394,11.64,-9999,11.7,-9999
,14.07.2009,4.757230229,11.15,-9999,11.1,-9999
,15.07.2009,4.275843837,10.85,-9999,10.9,-9999
,16.07.2009,3.766140598,10.31,-9999,10.3,-9999
,17.07.2009,3.341387899,9.8,-9999,9.8,-9999
,18.07.2009,3.058219433,9.29,-9999,9.3,-9999
,19.07.2009,2.83168466,8.72,-9999,8.7,-9999
,20.07.2009,2.605149887,8.34,-9999,8.3,-9999
,21.07.2009,2.463565654,8.16,-9999,8.2,-9999
,22.07.2009,2.293664575,7.69,-9999,7.8,-9999
,23.07.2009,2.152080342,6.69,-9999,6.5,-9999
,24.07.2009,2.010496109,6.61,-9999,6.7,-9999
,25.07.2009,1.868911876,5.92,-9999,6.2,-9999
,26.07.2009,1.699010796,4.08,-9999,3.5,-9999
,27.07.2009,1.557426563,5.12,-9999,5.4,-9999
,28.07.2009,1.472476023,5.1,-9999,-9999,-9999
,29.07.2009,1.387525483,4.75,-9999,4.8,-9999
,30.07.2009,1.359208637,4.12,-9999,4.1,-9999
,31.07.2009,1.274258097,3.62,-9999,3.6,-9999
,01.08.2009,1.189307557,3.29,-9999,3.3,-9999
,02.08.2009,1.132673864,2.9,-9999,2.9,-9999
,03.08.2009,1.076040171,2.45,-9999,2.5,-9999
,04.08.2009,1.047723324,2.05,-9999,2,-9999
,05.08.2009,1.019406478,1.89,-9999,1.9,-9999
,06.08.2009,0.991089631,1.45,-9999,1.4,-9999
,07.08.2009,1.076040171,1.24,-9999,1.3,-9999
,08.08.2009,2.010496109,1.03,-9999,1,-9999
,09.08.2009,2.690100427,1.11,-9999,0.9,-9999
,10.08.2009,2.83168466,1.39,-9999,1.4,-9999
,11.08.2009,1.897228722,2.09,-9999,2.4,-9999
,12.08.2009,1.50079287,1.52,-9999,1.4,-9999
,13.08.2009,1.302574944,1.37,-9999,-9999,-9999
,14.08.2009,1.132673864,1.33,-9999,-9999,-9999
,15.08.2009,1.047723324,1.3,-9999,-9999,-9999
,16.08.2009,1.047723324,1.27,-9999,-9999,-9999
,17.08.2009,0.934455938,1.23,-9999,-9999,-9999
,18.08.2009,0.877822245,1.19,-9999,1.2,-9999
,19.08.2009,0.934455938,1.11,-9999,1.1,-9999
,20.08.2009,0.934455938,1.09,-9999,1.1,-9999
,21.08.2009,0.906139091,1.01,-9999,1,-9999
,22.08.2009,0.849505398,0.98,-9999,1,-9999
,23.08.2009,0.736238012,0.85,-9999,0.8,-9999
,24.08.2009,0.679604318,0.95,-9999,1,-9999
,25.08.2009,0.651287472,0.84,-9999,0.8,-9999
,26.08.2009,0.651287472,0.91,-9999,0.9,-9999
,27.08.2009,0.707921165,1.09,-9999,1.1,-9999
,28.08.2009,0.651287472,1.18,-9999,1.2,-9999
,29.08.2009,0.594653779,1.11,-9999,1.1,-9999
,30.08.2009,0.538020085,1.09,-9999,1.1,-9999
,31.08.2009,0.481386392,1,-9999,1,-9999
,01.09.2009,0.481386392,0.91,-9999,0.9,-9999
,02.09.2009,0.453069546,0.89,-9999,0.9,-9999
,03.09.2009,0.453069546,0.8,-9999,0.8,-9999
,04.09.2009,0.453069546,0.7,-9999,0.7,-9999
,05.09.2009,0.453069546,0.61,-9999,0.6,-9999
,06.09.2009,0.424752699,0.59,-9999,0.6,-9999
,07.09.2009,0.424752699,0.5,-9999,0.5,-9999
,08.09.2009,0.396435852,0.42,-9999,0.4,-9999
,09.09.2009,0.396435852,0.45,-9999,0.5,-9999
,10.09.2009,0.396435852,0.49,-9999,0.5,-9999
,11.09.2009,0.368119006,0.49,-9999,0.4,-9999
,12.09.2009,0.368119006,0.41,-9999,0.4,-9999
,13.09.2009,0.339802159,0.35,-9999,-9999,-9999
,14.09.2009,0.339802159,0.05,-9999,-9999,-9999
,15.09.2009,0.339802159,0,-9999,-9999,-9999
,16.09.2009,0.339802159,0,-9999,-9999,-9999
,17.09.2009,0.339802159,0.04,-9999,-9999,-9999
,18.09.2009,0.339802159,0.26,-9999,0.3,-9999
,19.09.2009,0.339802159,0.3,-9999,0.3,-9999
,20.09.2009,0.339802159,0.3,-9999,0.3,-9999
,21.09.2009,0.396435852,0.31,-9999,0.3,-9999
,22.09.2009,0.481386392,0.38,-9999,0.4,-9999
,23.09.2009,0.453069546,0.31,-9999,0.3,-9999
,24.09.2009,0.453069546,0.36,-9999,0.4,-9999
,25.09.2009,7.107528497,1.45,-9999,1.54,-9999
,26.09.2009,6.541191565,5.25,-9999,5.485714286,-9999
,27.09.2009,5.210299774,5.47,-9999,5.42,-9999
,28.09.2009,3.511288978,4.57,-9999,4.4,-9999
,29.09.2009,2.491882501,4.5,-9999,-9999,-9999
,30.09.2009,2.010496109,4.59,-9999,-9999,-9999
,01.10.2009,2.520199347,4.73,-9999,4.7,-9999
,02.10.2009,4.304160683,6.12,-9999,6.5,-9999
,03.10.2009,4.559012303,6.78,-9999,6.8,-9999
,04.10.2009,3.936041677,7.21,-9999,-9999,-9999
,05.10.2009,3.313071052,7.2,-9999,7.3,-9999
,06.10.2009,3.228120512,6.94,-9999,6.9,-9999
,07.10.2009,3.086536279,7.01,-9999,7,-9999
,08.10.2009,2.888318353,7.19,-9999,7.2,-9999
,09.10.2009,2.690100427,7.3,-9999,7.3,-9999
,10.10.2009,2.520199347,7.39,-9999,7.4,-9999
,11.10.2009,2.406931961,7.39,-9999,7.4,-9999
,12.10.2009,2.350298268,7.34,-9999,7.3,-9999
,13.10.2009,2.265347728,7.42,-9999,7.5,-9999
,14.10.2009,2.180397188,7.14,-9999,7.1,-9999
,15.10.2009,2.237030881,6.99,-9999,7,-9999
,16.10.2009,2.208714035,6.8,-9999,6.8,-9999
,17.10.2009,2.180397188,6.64,-9999,6.6,-9999
,18.10.2009,2.180397188,6.66,-9999,6.7,-9999
,19.10.2009,2.180397188,6.51,-9999,6.5,-9999
,20.10.2009,2.123763495,6.36,-9999,6.4,-9999
,21.10.2009,2.123763495,6,-9999,6,-9999
,22.10.2009,4.445744916,5.47,-9999,5.383333333,-9999
,23.10.2009,24.06931961,6.75,-9999,6.9,-9999
,24.10.2009,25.23031032,9.04,-9999,9.3,-9999
,25.10.2009,17.44317751,9.79,-9999,9.8,-9999
,26.10.2009,13.08238313,10.02,-9999,10.1,-9999
,27.10.2009,10.70376801,9.79,-9999,9.8,-9999
,28.10.2009,9.174658298,9.55,-9999,9.6,-9999
,29.10.2009,23.95605222,7.3,-9999,7.38,-9999
,30.10.2009,57.20003013,6.25,-9999,6.45,-9999
,31.10.2009,53.51884007,7.58,-9999,7.75,-9999
,01.11.2009,40.7762591,7.98,-9999,7.8,-9999
,02.11.2009,26.30635049,8.18,-9999,8.25,-9999
,03.11.2009,18.40595029,8.41,-9999,8.5,-9999
,04.11.2009,14.41327492,8.49,-9999,8.4,-9999
,05.11.2009,11.86475873,8.66,-9999,8.7,-9999
,06.11.2009,10.64713432,8.71,-9999,8.7,-9999
,07.11.2009,9.769312077,8.78,-9999,8.8,-9999
,08.11.2009,8.693271906,8.7,-9999,8.7,-9999
,09.11.2009,7.957033895,8.61,-9999,8.6,-9999
,10.11.2009,7.24911273,8.64,-9999,8.6,-9999
,11.11.2009,6.880993724,8.89,-9999,8.9,-9999
,12.11.2009,6.739409491,9.08,-9999,9.1,-9999
,13.11.2009,6.541191565,9.12,-9999,9.1,-9999
,14.11.2009,6.229706252,9.24,-9999,9.3,-9999
,15.11.2009,5.691686167,9.06,-9999,9,-9999
,16.11.2009,5.380200854,9.16,-9999,9.2,-9999
,17.11.2009,5.238616621,9.09,-9999,9.1,-9999
,18.11.2009,5.125349235,8.94,-9999,8.9,-9999
,19.11.2009,5.012081848,9.02,-9999,9,-9999
,20.11.2009,4.813863922,9.21,-9999,9.3,-9999
,21.11.2009,4.672279689,8.94,-9999,8.9,-9999
,22.11.2009,4.587329149,8.81,-9999,8.8,-9999
,23.11.2009,4.474061763,8.91,-9999,8.8,-9999
,24.11.2009,4.474061763,9.56,-9999,9.7,-9999
,25.11.2009,4.559012303,9.44,-9999,9.5,-9999
,26.11.2009,4.33247753,8.95,-9999,8.8,-9999
,27.11.2009,4.190893297,9.16,-9999,9.3,-9999
,28.11.2009,4.134259604,8.76,-9999,8.7,-9999
,29.11.2009,3.992675371,8.61,-9999,8.6,-9999
,30.11.2009,3.822774291,8.56,-9999,8.6,-9999
,01.12.2009,3.766140598,8.29,-9999,8.3,-9999
,02.12.2009,3.709506905,7.99,-9999,7.9,-9999
,03.12.2009,3.624556365,8.19,-9999,-9999,-9999
,04.12.2009,2.775050967,8.46,-9999,8.5,-9999
,05.12.2009,1.529109716,8.5,-9999,-9999,-9999
,06.12.2009,2.548516194,8.5,-9999,-9999,-9999
,07.12.2009,2.378615114,8.5,-9999,8.5,-9999
,08.12.2009,1.783961336,8.49,-9999,-9999,-9999
,09.12.2009,1.217624404,8.48,-9999,-9999,-9999
,10.12.2009,0.821188551,8.48,-9999,-9999,-9999
,11.12.2009,1.160990711,8.47,-9999,-9999,-9999
,12.12.2009,1.897228722,8.46,-9999,-9999,-9999
,13.12.2009,3.766140598,8.45,-9999,-9999,-9999
,14.12.2009,3.539605825,8.44,-9999,-9999,-9999
,15.12.2009,2.123763495,8.43,-9999,-9999,-9999
,16.12.2009,1.868911876,8.43,-9999,-9999,-9999
,17.12.2009,2.576833041,8.42,-9999,-9999,-9999
,18.12.2009,2.350298268,8.41,-9999,-9999,-9999
,19.12.2009,2.321981421,8.4,-9999,-9999,-9999
,20.12.2009,2.406931961,8.39,-9999,-9999,-9999
,21.12.2009,2.463565654,8.38,-9999,-9999,-9999
,22.12.2009,2.803367813,8.38,-9999,-9999,-9999
,23.12.2009,3.00158574,8.37,-9999,-9999,-9999
,24.12.2009,3.851091138,8.36,-9999,-9999,-9999
,25.12.2009,3.511288978,8.35,-9999,-9999,-9999
,26.12.2009,3.228120512,8.34,-9999,-9999,-9999
,27.12.2009,2.9166352,8.33,-9999,-9999,-9999
,28.12.2009,2.690100427,8.32,-9999,-9999,-9999
,29.12.2009,2.350298268,8.32,-9999,-9999,-9999
,30.12.2009,2.83168466,8.31,-9999,-9999,-9999
,31.12.2009,2.520199347,8.3,-9999,-9999,-9999
,01.01.2010,2.180397188,8.29,-9999,-9999,-9999
,02.01.2010,1.925545569,8.28,-9999,-9999,-9999
,03.01.2010,2.067129802,8.27,-9999,-9999,-9999
,04.01.2010,2.123763495,8.27,-9999,-9999,-9999
,05.01.2010,2.095446648,8.26,-9999,-9999,-9999
,06.01.2010,2.265347728,8.25,-9999,-9999,-9999
,07.01.2010,2.237030881,8.24,-9999,-9999,-9999
,08.01.2010,1.783961336,8.23,-9999,-9999,-9999
,09.01.2010,0.736238012,8.22,-9999,-9999,-9999
,10.01.2010,0.877822245,8.22,-9999,-9999,-9999
,11.01.2010,1.132673864,8.21,-9999,-9999,-9999
,12.01.2010,0.934455938,8.2,-9999,8.2,-9999
,13.01.2010,0.849505398,8.16,-9999,-9999,-9999
,14.01.2010,2.208714035,8.13,-9999,-9999,-9999
,15.01.2010,3.029902586,8.1,-9999,-9999,-9999
,16.01.2010,2.605149887,8.06,-9999,-9999,-9999
,17.01.2010,2.9166352,8.03,-9999,-9999,-9999
,18.01.2010,2.633466734,8,-9999,-9999,-9999
,19.01.2010,2.350298268,7.96,-9999,-9999,-9999
,20.01.2010,2.548516194,7.93,-9999,-9999,-9999
,21.01.2010,2.803367813,7.9,-9999,-9999,-9999
,22.01.2010,3.228120512,7.86,-9999,-9999,-9999
,23.01.2010,3.369704745,7.83,-9999,-9999,-9999
,24.01.2010,3.369704745,7.8,-9999,-9999,-9999
,25.01.2010,2.888318353,7.77,-9999,-9999,-9999
,26.01.2010,2.860001507,7.73,-9999,-9999,-9999
,27.01.2010,3.199803666,7.7,-9999,-9999,-9999
,28.01.2010,2.83168466,7.67,-9999,-9999,-9999
,29.01.2010,2.152080342,7.63,-9999,-9999,-9999
,30.01.2010,2.208714035,7.6,-9999,-9999,-9999
,31.01.2010,2.265347728,7.57,-9999,-9999,-9999
,01.02.2010,2.378615114,7.53,-9999,-9999,-9999
,02.02.2010,2.180397188,7.49,-9999,7.5,-9999
,03.02.2010,1.897228722,7.43,-9999,-9999,-9999
,04.02.2010,2.406931961,7.37,-9999,-9999,-9999
,05.02.2010,2.520199347,7.31,-9999,-9999,-9999
,06.02.2010,2.378615114,7.25,-9999,-9999,-9999
,07.02.2010,2.152080342,7.18,-9999,-9999,-9999
,08.02.2010,1.953862415,7.12,-9999,-9999,-9999
,09.02.2010,1.670693949,7.06,-9999,-9999,-9999
,10.02.2010,1.33089179,6.99,-9999,-9999,-9999
,11.02.2010,0.906139091,6.93,-9999,-9999,-9999
,12.02.2010,1.274258097,6.87,-9999,-9999,-9999
,13.02.2010,1.783961336,6.8,-9999,-9999,-9999
,14.02.2010,1.160990711,6.74,-9999,-9999,-9999
,15.02.2010,1.444159177,6.68,-9999,-9999,-9999
,16.02.2010,1.047723324,6.62,-9999,-9999,-9999
,17.02.2010,0.877822245,6.55,-9999,-9999,-9999
,18.02.2010,0.736238012,6.49,-9999,-9999,-9999
,19.02.2010,0.736238012,6.43,-9999,-9999,-9999
,20.02.2010,1.189307557,6.36,-9999,-9999,-9999
,21.02.2010,1.019406478,6.3,-9999,-9999,-9999
,22.02.2010,1.104357017,6.24,-9999,-9999,-9999
,23.02.2010,0.991089631,6.17,-9999,-9999,-9999
,24.02.2010,0.821188551,6.11,-9999,-9999,-9999
,25.02.2010,0.651287472,6.05,-9999,-9999,-9999
,26.02.2010,0.679604318,5.98,-9999,-9999,-9999
,27.02.2010,0.707921165,5.92,-9999,-9999,-9999
,28.02.2010,0.877822245,5.86,-9999,-9999,-9999
,01.03.2010,0.651287472,5.79,-9999,5.8,-9999
,02.03.2010,0.566336932,5.68,-9999,-9999,-9999
,03.03.2010,0.424752699,5.57,-9999,-9999,-9999
,04.03.2010,0.396435852,5.46,-9999,-9999,-9999
,05.03.2010,0.821188551,5.35,-9999,-9999,-9999
,06.03.2010,1.359208637,5.24,-9999,-9999,-9999
,07.03.2010,2.152080342,5.13,-9999,-9999,-9999
,08.03.2010,3.228120512,5.02,-9999,-9999,-9999
,09.03.2010,7.503964349,4.91,-9999,-9999,-9999
,10.03.2010,26.2497168,4.88,-9999,4.8,-9999
,11.03.2010,50.40398695,5.36,-9999,-9999,-9999
,12.03.2010,67.39409491,4.8,25,5,-9999
,13.03.2010,85.23370827,4.58,26,-9999,-9999
,14.03.2010,95.99410997,4.89,28,-9999,-9999
,15.03.2010,98.2594577,5.16,29,5.2,-9999
,16.03.2010,86.93271906,5.23,31,5.2,-9999
,17.03.2010,76.17231735,5.47,33,5.7,-9999
,18.03.2010,58.89904093,5.72,34,-9999,-9999
,19.03.2010,43.60794376,5.93,36,-9999,-9999
,20.03.2010,37.94457444,6.14,38,-9999,-9999
,21.03.2010,30.0158574,6.35,39,-9999,-9999
,22.03.2010,25.25862717,6.56,41,-9999,-9999
,23.03.2010,21.66238765,6.77,42,-9999,-9999
,24.03.2010,18.80238614,6.98,44,-9999,-9999
,25.03.2010,16.53703841,7.19,46,-9999,-9999
,26.03.2010,14.583176,7.39,47,7.4,-9999
,27.03.2010,12.91248205,7.5,43,-9999,-9999
,28.03.2010,11.49663972,7.6,34,-9999,-9999
,29.03.2010,10.16574793,7.69,25,-9999,-9999
,30.03.2010,9.316242531,7.79,15,-9999,-9999
,31.03.2010,8.863172986,7.85,7,7.9,-9999
,01.04.2010,8.381786594,7.81,6,-9999,-9999
,02.04.2010,8.070301281,7.78,8,-9999,-9999
,03.04.2010,7.532281196,7.76,9,-9999,-9999
,04.04.2010,6.937627417,7.74,10,-9999,-9999
,05.04.2010,6.654458951,7.08,17,-9999,-9999
,06.04.2010,18.57585137,5.75,667,5.66,-9999
,07.04.2010,18.83070299,8.41,144,8.455555556,-9999
,08.04.2010,15.17782978,8.84,62,8.75,-9999
,09.04.2010,12.60099674,9.05,37,9.1,-9999
,10.04.2010,11.12852071,8.99,27,-9999,-9999
,11.04.2010,9.854262617,8.87,17,-9999,-9999
,12.04.2010,8.749905599,8.76,14,-9999,-9999
,13.04.2010,7.985350741,8.64,13,-9999,-9999
,14.04.2010,7.220795883,8.52,13,-9999,-9999
,15.04.2010,6.796043184,8.41,13,-9999,-9999
,16.04.2010,6.456241025,8.29,4,8.3,-9999
,17.04.2010,5.974854633,8.18,2,-9999,-9999
,18.04.2010,5.691686167,8.06,2,-9999,-9999
,19.04.2010,5.408517701,7.94,1,-9999,-9999
,20.04.2010,5.181982928,7.82,1,-9999,-9999
,21.04.2010,4.983765002,7.71,0,-9999,-9999
,22.04.2010,4.700596536,7.6,1,7.6,-9999
,23.04.2010,4.643962842,7.56,3,-9999,-9999
,24.04.2010,4.474061763,7.51,6,7.5,-9999
,25.04.2010,4.33247753,7.5,9,-9999,-9999
,26.04.2010,5.49346824,7.5,12,-9999,-9999
,27.04.2010,6.427924178,7.5,15,7.5,-9999
,28.04.2010,6.569508411,7.5,18,-9999,-9999
,29.04.2010,6.512874718,7.5,20,-9999,-9999
,30.04.2010,7.617231735,8.06,23,8,-9999
,01.05.2010,11.80812503,7.51,22,7.3,-9999
,02.05.2010,11.41168918,7.31,20,7.3,-9999
,03.05.2010,9.627727844,8.16,19,-9999,-9999
,04.05.2010,8.438420287,9.01,18,9.066666667,-9999
,05.05.2010,7.815449662,8.82,19,-9999,-9999
,06.05.2010,6.937627417,8.75,19,-9999,-9999
,07.05.2010,6.767726337,8.67,20,-9999,-9999
,08.05.2010,6.342973638,8.6,21,-9999,-9999
,09.05.2010,5.804953553,8.52,21,-9999,-9999
,10.05.2010,5.691686167,8.45,22,-9999,-9999
,11.05.2010,8.49505398,8.14,42,8.15,-9999
,12.05.2010,15.57426563,8.37,169,8.4,-9999
,13.05.2010,45.30695456,9.09,703,9.1,-9999
,14.05.2010,51.81982928,9.8,328,9.8,-9999
,15.05.2010,39.92675371,9.8,212,-9999,-9999
,16.05.2010,27.58060859,9.8,168,9.8,-9999
,17.05.2010,20.24654532,10.11,135,-9999,-9999
,18.05.2010,16.14060256,10.68,110,-9999,-9999
,19.05.2010,13.67703691,11.25,92,-9999,-9999
,20.05.2010,11.89307557,11.72,58,11.8,-9999
,21.05.2010,10.8170354,11.63,60,-9999,-9999
,22.05.2010,9.656044691,11.48,62,-9999,-9999
,23.05.2010,8.806539293,11.32,65,-9999,-9999
,24.05.2010,7.900400201,11.16,67,-9999,-9999
,25.05.2010,7.730499122,9.18,69,8,-9999
,26.05.2010,9.91089631,5,339,5,-9999
,27.05.2010,7.475647502,5.51,57,-9999,-9999
,28.05.2010,6.852676877,6.38,54,-9999,-9999
,29.05.2010,6.399607332,7.26,50,-9999,-9999
,30.05.2010,5.974854633,8.14,45,-9999,-9999
,31.05.2010,5.66336932,9.02,40,-9999,-9999
,01.06.2010,5.295250314,9.8,35,9.9,-9999
,02.06.2010,5.238616621,10,30,-9999,-9999
