@T,obs,,,,,
descr,observed runoff at Drake,,,,,
unit,m3/s  //  mg/l  //  mg/l ,,,,,
,,,,,,
missing_val,-9999,,,,,
date_start,09.01.2001,,,,,
date_end,31.12.2013,,,,,
date_format,dd.MM.yyyy,,,,,
,,,,,,
@H,date,orun[1],no3_n[1],sedim[1],no3_n[2],no3_n[3]
name,-,SF450,SF450,SF450,SF450,SF450
ID,-,1,2,3,4,5
elevation,-,289,289,289,289,289
,07.04.2008,9.457826764,9.25,-9999,9.3,-9999
,08.04.2008,8.041984434,8.96,-9999,8.9,-9999
,09.04.2008,7.192479036,8.94,-9999,9,-9999
,10.04.2008,9.089707759,8.3,-9999,8.133333333,-9999
,11.04.2008,26.30635049,8.71,-9999,8.2,-9999
,12.04.2008,30.58219433,11.3,-9999,11.4,-9999
,13.04.2008,22.88001205,11.68,-9999,11.7,-9999
,14.04.2008,16.84852373,11.27,-9999,11.45,-9999
,15.04.2008,13.42218529,10.38,-9999,10.4,-9999
,16.04.2008,11.46832287,9.7,-9999,9.6,-9999
,17.04.2008,10.25069847,9.49,-9999,9.6,-9999
,18.04.2008,15.65921617,8.94,-9999,8.9,-9999
,19.04.2008,25.48516194,9.8,-9999,9.6,-9999
,20.04.2008,23.7578343,11.23,-9999,11.25,-9999
,21.04.2008,18.43426714,10.78,-9999,10.85,-9999
,22.04.2008,18.3493166,10.26,-9999,10.4,-9999
,23.04.2008,17.55644489,10.24,-9999,10.4,-9999
,24.04.2008,16.67862265,9.2,-9999,8.6,-9999
,25.04.2008,94.01193071,5.41,-9999,6.16,-9999
,26.04.2008,104.489164,7.69,-9999,7.55,-9999
,27.04.2008,68.52676877,9.89,-9999,10.15,-9999
,28.04.2008,47.28913382,10.22,-9999,10.2,-9999
,29.04.2008,37.66140598,10.58,-9999,10.65,-9999
,30.04.2008,27.94872759,10.44,-9999,10.5,-9999
,01.05.2008,21.40753603,10.14,-9999,10.1,-9999
,02.05.2008,17.04674165,10.01,-9999,10,-9999
,03.05.2008,20.67129802,10.28,-9999,10,-9999
,04.05.2008,20.35981271,11.8,-9999,12.2,-9999
,05.05.2008,15.82911725,11.7,-9999,11.7,-9999
,06.05.2008,13.02574944,11.11,-9999,10.7,-9999
,07.05.2008,54.65151394,5.97,-9999,5.842857143,-9999
,08.05.2008,80.13667588,7.23,-9999,6.933333333,-9999
,09.05.2008,49.55448155,9.33,-9999,9.333333333,-9999
,10.05.2008,37.37823751,9.51,-9999,9.5,-9999
,11.05.2008,27.5239749,9.73,-9999,9.633333333,-9999
,12.05.2008,21.12436756,10.36,-9999,10.4,-9999
,13.05.2008,16.73525634,10.31,-9999,10.2,-9999
,14.05.2008,13.53545267,10.74,-9999,10.9,-9999
,15.05.2008,11.38337233,10.35,-9999,10.3,-9999
,16.05.2008,9.882579463,10.15,-9999,10.1,-9999
,17.05.2008,8.778222446,10.29,-9999,10.3,-9999
,18.05.2008,7.702182275,10.36,-9999,10.4,-9999
,19.05.2008,6.796043184,10.28,-9999,10.2,-9999
,20.05.2008,6.314656792,10.54,-9999,10.6,-9999
,21.05.2008,5.635052473,10.42,-9999,10.5,-9999
,22.05.2008,5.238616621,9.91,-9999,9.8,-9999
,23.05.2008,5.323567161,9.96,-9999,10,-9999
,24.05.2008,5.238616621,9.85,-9999,9.9,-9999
,25.05.2008,5.125349235,9.32,-9999,9.4,-9999
,26.05.2008,5.040398695,8.61,-9999,8.3,-9999
,27.05.2008,4.502378609,9.51,-9999,9.7,-9999
,28.05.2008,4.105942757,9.55,-9999,9.6,-9999
,29.05.2008,6.796043184,8.7,-9999,8.766666667,-9999
,30.05.2008,66.54458951,8.37,-9999,8.05,-9999
,31.05.2008,68.80993724,12.12,-9999,12.1,-9999
,01.06.2008,51.25349235,13.32,-9999,13.7,-9999
,02.06.2008,35.11288978,12.16,-9999,12.1,-9999
,03.06.2008,33.13071052,11.72,-9999,11.76666667,-9999
,04.06.2008,30.58219433,12.29,-9999,12.5,-9999
,05.06.2008,35.67922672,11.11,-9999,11.9,-9999
,06.06.2008,86.6495506,7.53,-9999,7.3,-9999
,07.06.2008,76.45548582,9.88,-9999,9.2,-9999
,08.06.2008,125.4436304,6.01,-9999,6.8,-9999
,09.06.2008,166.503058,3.74,-9999,3.6,-9999
,10.06.2008,112.7010495,5.09,-9999,5.05,-9999
,11.06.2008,89.48123526,6.24,-9999,6.733333333,-9999
,12.06.2008,103.922827,5.5,-9999,5.4,-9999
,13.06.2008,88.34856139,6.41,-9999,6.4,-9999
,14.06.2008,62.86339945,7.94,-9999,8.25,-9999
,15.06.2008,50.68715541,8.03,-9999,7.9,-9999
,16.06.2008,42.75843837,7.92,-9999,7.9,-9999
,17.06.2008,35.96239518,8.05,-9999,8.1,-9999
,18.06.2008,30.86536279,7.94,-9999,7.9,-9999
