@T,Climate,,,
name,wind,,,
desc,wind speed,,,

missing_val,-9999,
date_start,01.01.1979
date_end,31.12.2000
date_format,dd.MM.yyyy

tres,d,,,
unit,m/s,,,
,,,,
@H,date,wind[0],wind[1],wind[2]
name,,Artern,Erfurt,Schmuecke
ID,,198,1270,4501
elevation,,164,316,937
,31.05.1979,1.09,1.43,1.43
,01.06.1979,1.67,1.43,1.93
,02.06.1979,1.55,1.55,2.19
,03.06.1979,4.03,2.06,2.76
,04.06.1979,2.47,1.93,2.06
,05.06.1979,1.09,1.2,2.06
,06.06.1979,2.19,2.19,1.43
,07.06.1979,1.09,0.99,1.55
,08.06.1979,2.91,2.19,3.7
,09.06.1979,2.06,2.06,2.91
,10.06.1979,1.8,1.43,1.8
,11.06.1979,1.55,1.55,3.37
,12.06.1979,1.09,1.09,2.76
,13.06.1979,2.19,2.76,4.37
,14.06.1979,2.47,2.76,4.72
,15.06.1979,2.19,3.06,6.61
,16.06.1979,2.76,2.47,1.93
,17.06.1979,4.54,4.2,5.08
,18.06.1979,2.47,2.47,2.91
,19.06.1979,2.47,2.06,2.91
,20.06.1979,2.06,1.67,3.53
,21.06.1979,1.09,0.89,1.31
,22.06.1979,1.09,1.43,1.31
,23.06.1979,2.06,1.93,2.06
,24.06.1979,1.93,2.06,3.53
,25.06.1979,1.8,2.19,3.7
,26.06.1979,1.2,1.09,2.47
,27.06.1979,1.31,1.67,2.06
,28.06.1979,0.89,1.67,2.33
,29.06.1979,2.06,2.19,2.91
,30.06.1979,3.7,3.06,4.03
,01.07.1979,2.91,2.76,3.53
,02.07.1979,1.43,1.67,1.2
,03.07.1979,0.7,0.99,1.8
,04.07.1979,2.33,2.76,2.06
,05.07.1979,2.47,2.47,1.43
,06.07.1979,2.62,2.62,2.06
,07.07.1979,1.93,2.06,3.53
,08.07.1979,4.03,4.03,4.54
,09.07.1979,3.53,3.06,5.08
,10.07.1979,3.7,2.91,2.91
,11.07.1979,1.09,1.2,0.99
,12.07.1979,1.43,1.93,1.09
,13.07.1979,1.09,0.89,0.7
,14.07.1979,1.67,2.76,1.55
,15.07.1979,2.06,2.19,2.19
,16.07.1979,2.62,2.06,1.93
,17.07.1979,2.06,2.76,2.33
,18.07.1979,3.06,2.47,3.53
,19.07.1979,4.2,2.91,3.86
,20.07.1979,3.7,2.33,3.7
,21.07.1979,4.03,2.47,3.53
,22.07.1979,4.37,3.22,4.37
