@T,Parameter,,,,,,,,,,,,,
descr,hrus.csv,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,slopelength,sedpool
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,9999,999999,9999999,10000,9999999999,3,90,360,999999,9999,9999,9999,9999,9999
unit,n/a,m,m,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,m,t
,73,4417262,5646813,296,86250,2,0.6,186.0869,0,84,7,7,10,0
,74,4418250,5646719,296,150625,3,0.4,194.1463,0,71,7,7,29.4504,0
,75,4416250,5646387,288,483750,3,0.7,208.8741,0,85,7,7,244.097,0
,76,4410350,5646779,300,26875,2,0.4,60.8395,0,84,2,17,60.0662,0
,77,4411575,5646812,301,51875,2,2.3,152.9397,0,51,7,9,33.9655,0
,78,4410487,5646611,299,28750,2,0.7,27.1327,0,84,1,19,23.321,0
,79,4411837,5646674,291,90000,3,1.6,154.4434,0,61,7,7,26.0713,0
,80,4411925,5646491,292,103750,2,1.5,250.5461,0,85,7,7,30.4371,0
,81,4412737,5646704,292,32500,3,1,25.8733,0,82,7,8,20.8333,0
,82,4416512,5646320,288,82500,3,0.6,236.506,0,85,7,7,166.42,0
,83,4411237,5646643,302,33750,2,2.5,154.9504,0,23,7,9,35.2185,0
,84,4411475,5646574,295,71250,2,2.9,150.6064,0,32,7,9,44.6832,0
,85,4412900,5646596,293,46875,2,2,33.2769,0,82,7,8,59.2843,0
,86,4411087,5646622,299,49375,2,2.3,210.0618,0,23,1,7,23.7743,0
,87,4412587,5646593,297,61250,2,2.7,14.7754,0,85,7,5,41.6667,0
,88,4414200,5646444,283,57500,2,0.7,200.2918,0,84,7,17,66.2856,0
,89,4417450,5646527,294,23125,2,0.3,204.1147,0,85,7,7,10,0
,90,4424800,5646170,306,1052500,3,0.6,196.3646,0,84,7,17,153.976,0
,91,4410950,5646408,293,91250,2,1.9,200.1156,0,32,1,9,73.3374,0
,92,4413037,5646524,289,23750,2,1.2,68.588,0,82,7,8,25,0
,93,4414925,5646300,282,58750,2,0.8,200.4091,0,73,1,17,64.3491,0
,94,4417175,5646511,294,119375,2,0.5,195.2104,0,85,7,7,76.889,0
,95,4410487,5646233,294,53750,3,2,155.2666,0,32,1,9,29.4625,0
,96,4411775,5646468,292,50625,2,2.5,293.1592,0,85,2,7,34.7356,0
,97,4412175,5646435,290,61875,2,0.9,118.3633,0,85,1,7,29.8406,0
,98,4414412,5646479,283,36875,2,1,154.4832,0,84,2,17,10,0
,99,4414737,5646413,281,57500,3,0.9,194.2889,0,84,1,17,25.8664,0
,100,4418025,5646347,297,181875,2,0.6,330.6379,0,85,7,7,155.761,0
,101,4410500,5646391,300,63125,2,1.1,115.7577,0,52,1,19,48.4827,0
,102,4411250,5646454,295,35625,2,3.6,155.9866,0,23,7,7,28.5162,0
,103,4417325,5646266,292,18125,3,0.4,216.8889,0,71,7,7,10,0
,104,4411537,5646396,287,33750,3,1.8,160.0048,0,61,3,7,30,0
,105,4412000,5646418,293,30625,2,1.8,106.6015,0,85,3,7,35.7777,0
,106,4414850,5645908,278,83750,3,0.2,196.3579,0,93,7,18,74.1108,0
,107,4417387,5646199,292,178125,2,0.5,216.2389,0,85,7,7,291.872,0
,108,4418350,5646269,299,39375,2,0.7,324.7816,0,84,7,7,42.6775,0
,109,4412450,5646404,293,51250,2,3.4,204.2202,0,85,1,7,10,0
,110,4413112,5646327,287,194375,2,2.1,160.8043,0,82,7,8,90.8656,0
,111,4417275,5646294,292,40625,2,0.5,218.6332,0,85,7,7,10,0
,112,4419925,5646366,306,400000,2,0.3,287.6974,0,84,7,17,113.795,0
,113,4415212,5646357,282,78125,3,0.6,190.7774,0,73,1,17,10,0
,114,4410350,5646116,300,40625,2,0.6,155.3049,0,41,1,17,26.1078,0
,115,4411250,5646066,285,76250,2,1.2,155.3773,0,85,7,9,59.9986,0
,116,4412512,5646255,287,126875,2,3,191.4436,0,85,1,7,67.524,0
,117,4415625,5646441,279,120000,3,0.5,239.7159,0,53,7,8,44.45,0
,118,4413537,5646371,282,43125,2,0.8,155.0118,0,84,7,18,42.6775,0
,119,4414325,5646307,280,45625,2,1.6,166.7749,0,84,7,7,28.3469,0
,120,4417325,5646416,292,48750,2,0.7,193.9407,0,73,7,7,10,0
,121,4418487,5646238,301,22500,2,0.6,298.6421,0,84,7,17,53.284,0
,122,4419412,5646394,305,22500,2,0.2,259.5549,0,84,7,17,21.875,0
,123,4411400,5646213,284,37500,2,1.1,170.0343,0,32,3,7,90.625,0
,124,4411775,5646290,294,38750,2,4.9,208.9223,0,44,1,7,34.0192,0
,125,4413425,5646366,282,25625,2,1.2,163.3663,0,82,7,8,37.5,0
,126,4414787,5646301,280,6875,3,1.3,207.6212,0,84,1,7,10,0
,127,4410675,5646254,292,40625,3,1.8,118.1747,0,61,3,9,36.785,0
,128,4417025,5646166,290,47500,3,0.6,202.375,0,71,7,7,25,0
,129,4418962,5646166,303,243125,2,0.6,195.683,0,85,7,17,143.277,0
,130,4423662,5645936,302,941875,3,0.9,193.8306,0,84,7,7,127.827,0
,131,4411112,5646240,286,28750,2,1.6,167.2221,0,61,3,9,25,0
,132,4412262,5646119,284,186875,3,1.7,154.5747,0,85,1,9,79.505,0
,133,4417762,5646083,294,229375,2,0.8,241.8385,0,85,7,7,186.831,0
,134,4419762,5646006,304,379375,3,0.5,289.9292,0,84,7,7,99.871,0
,135,4422162,5645952,299,490000,3,0.7,196.0938,0,84,7,17,143.2,0
,136,4410612,5646080,290,125625,2,1.3,112.423,0,85,2,9,71.2853,0
,137,4414275,5646213,278,120000,3,0.6,164.3361,0,73,7,8,31.9212,0
,138,4414550,5645905,277,23125,3,0.1,188.2451,0,93,3,18,25,0
,139,4414812,5646135,277,63125,3,0.5,210.0284,0,93,3,18,22.1507,0
,140,4415712,5646124,282,60625,3,1,242.33,0,85,7,7,37.7767,0
,141,4410800,5646158,286,70625,3,0.9,158.5679,0,85,2,9,49.0347,0
,142,4413012,5646088,279,126875,3,1,164.8533,0,93,7,17,29.1339,0
,143,4415150,5646110,279,54375,3,0.7,201.5447,0,73,1,7,27.741,0
,144,4411650,5646074,284,121250,3,1.7,202.7458,0,85,1,7,39.767,0
,145,4416775,5645811,286,103750,2,0.6,188.5467,0,85,7,7,28.125,0
,146,4411800,5645772,281,83125,3,1.2,193.7725,0,93,1,19,42.5085,0
,147,4415162,5645939,278,68750,3,0.5,236.572,0,73,7,8,35.6775,0
,148,4415512,5646071,281,42500,3,0.8,157.5039,0,53,7,7,21.875,0
,149,4412150,5646066,279,58125,2,1.1,148.6165,0,93,1,19,27.2727,0
,150,4413475,5646040,278,44375,3,1.2,189.1986,0,53,7,18,28.125,0
,151,4413675,5646104,278,61875,3,1,171.0788,0,85,7,8,25.9259,0
,152,4416875,5645958,285,23125,2,0.6,192.8308,0,85,7,7,10,0
,153,4414387,5646065,277,47500,2,0.1,160.2717,0,93,3,18,10,0
